CL,TP,FP,FN,T,T_T,T_P,Instances,Precision,Recall
1956,1551,405,15,105.65881395339966,3.5824153423309326,102.07639861106873,144_1566,0.7929447852760736,0.9904214559386973
608,80,528,150,19.861191272735596,3.5824153423309326,16.278775930404663,144_230,0.13157894736842105,0.34782608695652173
1275,150,1125,360,37.30457592010498,3.5824153423309326,33.72216057777405,144_510,0.11764705882352941,0.29411764705882354
1173,96,1077,448,38.74847602844238,3.5824153423309326,35.16606068611145,144_544,0.08184143222506395,0.17647058823529413
777,669,108,15,58.80687928199768,3.5824153423309326,55.22446393966675,144_684,0.861003861003861,0.9780701754385965
908,728,180,112,81.24006485939026,3.5824153423309326,77.65764951705933,144_840,0.801762114537445,0.8666666666666667
1281,966,315,0,58.49990653991699,3.5824153423309326,54.91749119758606,144_966,0.7540983606557377,1.0
168,144,24,0,21.978227853775024,5.182337522506714,16.79589033126831,1566_144,0.8571428571428571,1.0
1701,1566,135,0,114.74757075309753,5.182337522506714,109.56523323059082,1566_1566,0.9206349206349206,1.0
320,230,90,0,24.68607258796692,5.182337522506714,19.503735065460205,1566_230,0.71875,1.0
657,510,147,0,45.40299606323242,5.182337522506714,40.22065854072571,1566_510,0.776255707762557,1.0
608,528,80,16,47.30895209312439,5.182337522506714,42.126614570617676,1566_544,0.868421052631579,0.9705882352941176
738,684,54,0,71.56891632080078,5.182337522506714,66.38657879829407,1566_684,0.926829268292683,1.0
900,840,60,0,98.32007074356079,5.182337522506714,93.13773322105408,1566_840,0.9333333333333333,1.0
1071,966,105,0,70.7165093421936,5.182337522506714,65.53417181968689,1566_966,0.9019607843137255,1.0
184,136,48,8,17.626160621643066,3.365203857421875,14.260956764221191,230_144,0.7391304347826086,0.9444444444444444
1746,1467,279,99,107.34361457824707,3.365203857421875,103.9784107208252,230_1566,0.8402061855670103,0.9367816091954023
510,510,0,0,37.60044288635254,3.365203857421875,34.235239028930664,230_510,1.0,1.0
568,520,48,24,39.4439013004303,3.365203857421875,36.07869744300842,230_544,0.9154929577464789,0.9558823529411765
864,666,198,18,60.335463762283325,3.365203857421875,56.97025990486145,230_684,0.7708333333333334,0.9736842105263158
1115,695,420,145,82.50221276283264,3.365203857421875,79.13700890541077,230_840,0.6233183856502242,0.8273809523809523
1064,875,189,91,59.15973615646362,3.365203857421875,55.79453229904175,230_966,0.8223684210526315,0.9057971014492754
264,48,216,96,18.647887706756592,3.7905566692352295,14.857331037521362,510_144,0.18181818181818182,0.3333333333333333
2997,270,2727,1296,112.22774600982666,3.7905566692352295,108.43718934059143,510_1566,0.09009009009009009,0.1724137931034483
230,230,0,0,21.08187437057495,3.7905566692352295,17.29131770133972,510_230,1.0,1.0
592,544,48,0,41.14132809638977,3.7905566692352295,37.35077142715454,510_544,0.918918918918919,1.0
1314,108,1206,576,62.28589653968811,3.7905566692352295,58.49533987045288,510_684,0.0821917808219178,0.15789473684210525
1592,120,1472,720,86.26224279403687,3.7905566692352295,82.47168612480164,510_840,0.07537688442211055,0.14285714285714285
1827,210,1617,756,61.94318652153015,3.7905566692352295,58.15262985229492,510_966,0.11494252873563218,0.21739130434782608
144,48,96,96,33.86429286003113,3.5552639961242676,30.30902886390686,544_144,0.3333333333333333,0.3333333333333333
2997,270,2727,1296,126.96605658531189,3.5552639961242676,123.41079258918762,544_1566,0.09009009009009009,0.1724137931034483
270,230,40,0,24.000792741775513,3.5552639961242676,20.445528745651245,544_230,0.8518518518518519,1.0
585,510,75,0,43.07464003562927,3.5552639961242676,39.519376039505005,544_510,0.8717948717948718,1.0
1040,96,944,448,48.66160321235657,3.5552639961242676,45.1063392162323,544_544,0.09230769230769231,0.17647058823529413
1314,108,1206,576,84.46880173683167,3.5552639961242676,80.9135377407074,544_684,0.0821917808219178,0.15789473684210525
1604,120,1484,720,107.55912685394287,3.5552639961242676,104.0038628578186,544_840,0.07481296758104738,0.14285714285714285
1827,210,1617,756,64.381276845932,3.5552639961242676,60.82601284980774,544_966,0.11494252873563218,0.21739130434782608
144,144,0,0,18.183896780014038,3.4817492961883545,14.702147483825684,684_144,1.0,1.0
1701,1566,135,0,110.43405032157898,3.4817492961883545,106.95230102539062,684_1566,0.9206349206349206,1.0
270,230,40,0,20.65181064605713,3.4817492961883545,17.170061349868774,684_230,0.8518518518518519,1.0
585,510,75,0,38.647329330444336,3.4817492961883545,35.16558003425598,684_510,0.8717948717948718,1.0
592,544,48,0,40.27174973487854,3.4817492961883545,36.790000438690186,684_544,0.918918918918919,1.0
900,840,60,0,84.72788119316101,3.4817492961883545,81.24613189697266,684_840,0.9333333333333333,1.0
1071,966,105,0,60.863271713256836,3.4817492961883545,57.38152241706848,684_966,0.9019607843137255,1.0
144,144,0,0,173.75132250785828,14.674181699752808,159.07714080810547,840_144,1.0,1.0
1566,1566,0,0,348.58541679382324,14.674181699752808,333.91123509407043,840_1566,1.0,1.0
230,80,150,150,84.71690201759338,14.674181699752808,70.04272031784058,840_230,0.34782608695652173,0.34782608695652173
510,150,360,360,139.9026620388031,14.674181699752808,125.2284803390503,840_510,0.29411764705882354,0.29411764705882354
544,96,448,448,127.0432710647583,14.674181699752808,112.3690893650055,840_544,0.17647058823529413,0.17647058823529413
684,684,0,0,257.6947319507599,14.674181699752808,243.02055025100708,840_684,1.0,1.0
966,966,0,0,163.23722577095032,14.674181699752808,148.5630440711975,840_966,1.0,1.0
168,144,24,0,13.853504419326782,2.4962339401245117,11.35727047920227,966_144,0.8571428571428571,1.0
1701,1566,135,0,85.77038741111755,2.4962339401245117,83.27415347099304,966_1566,0.9206349206349206,1.0
420,80,340,150,15.743319988250732,2.4962339401245117,13.24708604812622,966_230,0.19047619047619047,0.34782608695652173
945,150,795,360,29.995606422424316,2.4962339401245117,27.499372482299805,966_510,0.15873015873015872,0.29411764705882354
1040,96,944,448,31.23183298110962,2.4962339401245117,28.735599040985107,966_544,0.09230769230769231,0.17647058823529413
738,684,54,0,47.413103103637695,2.4962339401245117,44.916869163513184,966_684,0.926829268292683,1.0
900,840,60,0,65.72886991500854,2.4962339401245117,63.23263597488403,966_840,0.9333333333333333,1.0
941.5172413793103,512.8448275862069,428.67241379310343,185.39655172413794,72.30820094305894,4.993675823869376,67.31452511918955,average_results,0.6280445021978182,0.7246415755212169
