CL,TP,FP,FN,T,T_T,T_P,Instances,Precision,Recall
1836,1431,405,135,0.0864415168762207,0.02326035499572754,0.06318116188049316,144_1566,0.7794117647058824,0.9137931034482759
310,190,120,40,0.06304430961608887,0.02326035499572754,0.03978395462036133,144_230,0.6129032258064516,0.8260869565217391
660,435,225,75,0.0679168701171875,0.02326035499572754,0.04465651512145996,144_510,0.6590909090909091,0.8529411764705882
640,544,96,0,0.06685948371887207,0.02326035499572754,0.04359912872314453,144_544,0.85,1.0
792,684,108,0,0.06864786148071289,0.02326035499572754,0.04538750648498535,144_684,0.8636363636363636,1.0
960,780,180,60,0.06884026527404785,0.02326035499572754,0.04557991027832031,144_840,0.8125,0.9285714285714286
1176,861,315,105,0.07379913330078125,0.02326035499572754,0.05053877830505371,144_966,0.7321428571428571,0.8913043478260869
168,144,24,0,0.21546316146850586,0.16532325744628906,0.0501399040222168,1566_144,0.8571428571428571,1.0
1701,1566,135,0,0.3961002826690674,0.16532325744628906,0.23077702522277832,1566_1566,0.9206349206349206,1.0
270,230,40,0,0.22432756423950195,0.16532325744628906,0.05900430679321289,1566_230,0.8518518518518519,1.0
585,510,75,0,0.2587261199951172,0.16532325744628906,0.09340286254882812,1566_510,0.8717948717948718,1.0
592,544,48,0,0.2656552791595459,0.16532325744628906,0.10033202171325684,1566_544,0.918918918918919,1.0
738,684,54,0,0.2875533103942871,0.16532325744628906,0.12223005294799805,1566_684,0.926829268292683,1.0
900,840,60,0,0.31253862380981445,0.16532325744628906,0.1472153663635254,1566_840,0.9333333333333333,1.0
1071,966,105,0,0.3181326389312744,0.16532325744628906,0.15280938148498535,1566_966,0.9019607843137255,1.0
168,144,24,0,0.07123589515686035,0.026630163192749023,0.04460573196411133,230_144,0.8571428571428571,1.0
1701,1566,135,0,0.21719813346862793,0.026630163192749023,0.1905679702758789,230_1566,0.9206349206349206,1.0
510,510,0,0,0.10738444328308105,0.026630163192749023,0.08075428009033203,230_510,1.0,1.0
592,544,48,0,0.11279988288879395,0.026630163192749023,0.08616971969604492,230_544,0.918918918918919,1.0
738,684,54,0,0.12821602821350098,0.026630163192749023,0.10158586502075195,230_684,0.926829268292683,1.0
900,840,60,0,0.147613525390625,0.026630163192749023,0.12098336219787598,230_840,0.9333333333333333,1.0
1071,966,105,0,0.15417790412902832,0.026630163192749023,0.1275477409362793,230_966,0.9019607843137255,1.0
168,144,24,0,0.09853625297546387,0.05424618721008301,0.04429006576538086,510_144,0.8571428571428571,1.0
1701,1566,135,0,0.2121715545654297,0.05424618721008301,0.15792536735534668,510_1566,0.9206349206349206,1.0
230,230,0,0,0.1051478385925293,0.05424618721008301,0.05090165138244629,510_230,1.0,1.0
592,544,48,0,0.12487411499023438,0.05424618721008301,0.07062792778015137,510_544,0.918918918918919,1.0
738,684,54,0,0.13822078704833984,0.05424618721008301,0.08397459983825684,510_684,0.926829268292683,1.0
900,840,60,0,0.15173816680908203,0.05424618721008301,0.09749197959899902,510_840,0.9333333333333333,1.0
1071,966,105,0,0.16047334671020508,0.05424618721008301,0.10622715950012207,510_966,0.9019607843137255,1.0
144,144,0,0,0.1805722713470459,0.0693821907043457,0.1111900806427002,544_144,1.0,1.0
1701,1566,135,0,0.1961064338684082,0.0693821907043457,0.1267242431640625,544_1566,0.9206349206349206,1.0
270,230,40,0,0.12335705757141113,0.0693821907043457,0.05397486686706543,544_230,0.8518518518518519,1.0
585,510,75,0,0.14273357391357422,0.0693821907043457,0.07335138320922852,544_510,0.8717948717948718,1.0
592,544,48,0,0.14245176315307617,0.0693821907043457,0.07306957244873047,544_544,0.918918918918919,1.0
738,684,54,0,0.15286874771118164,0.0693821907043457,0.08348655700683594,544_684,0.926829268292683,1.0
900,840,60,0,0.16124987602233887,0.0693821907043457,0.09186768531799316,544_840,0.9333333333333333,1.0
1071,966,105,0,0.16867375373840332,0.0693821907043457,0.09929156303405762,544_966,0.9019607843137255,1.0
144,144,0,0,0.15044212341308594,0.08977603912353516,0.06066608428955078,684_144,1.0,1.0
1701,1566,135,0,0.17335748672485352,0.08977603912353516,0.08358144760131836,684_1566,0.9206349206349206,1.0
270,230,40,0,0.14971065521240234,0.08977603912353516,0.05993461608886719,684_230,0.8518518518518519,1.0
585,510,75,0,0.1578061580657959,0.08977603912353516,0.06803011894226074,684_510,0.8717948717948718,1.0
592,544,48,0,0.15905213356018066,0.08977603912353516,0.06927609443664551,684_544,0.918918918918919,1.0
900,840,60,0,0.16298675537109375,0.08977603912353516,0.0732107162475586,684_840,0.9333333333333333,1.0
1071,966,105,0,0.16417193412780762,0.08977603912353516,0.07439589500427246,684_966,0.9019607843137255,1.0
144,144,0,0,0.43208932876586914,0.37877893447875977,0.053310394287109375,840_144,1.0,1.0
1566,1566,0,0,0.5856328010559082,0.37877893447875977,0.20685386657714844,840_1566,1.0,1.0
230,230,0,0,0.439070463180542,0.37877893447875977,0.06029152870178223,840_230,1.0,1.0
510,510,0,0,0.531529426574707,0.37877893447875977,0.15275049209594727,840_510,1.0,1.0
544,544,0,0,0.4747014045715332,0.37877893447875977,0.09592247009277344,840_544,1.0,1.0
684,684,0,0,0.48973894119262695,0.37877893447875977,0.11096000671386719,840_684,1.0,1.0
966,966,0,0,0.5147213935852051,0.37877893447875977,0.1359424591064453,840_966,1.0,1.0
168,144,24,0,0.13991951942443848,0.08766055107116699,0.052258968353271484,966_144,0.8571428571428571,1.0
1701,1566,135,0,0.24813532829284668,0.08766055107116699,0.1604747772216797,966_1566,0.9206349206349206,1.0
270,230,40,0,0.14337730407714844,0.08766055107116699,0.055716753005981445,966_230,0.8518518518518519,1.0
585,510,75,0,0.16570639610290527,0.08766055107116699,0.07804584503173828,966_510,0.8717948717948718,1.0
592,544,48,0,0.16560077667236328,0.08766055107116699,0.07794022560119629,966_544,0.918918918918919,1.0
738,684,54,0,0.17168736457824707,0.08766055107116699,0.08402681350708008,966_684,0.926829268292683,1.0
900,840,60,0,0.18516182899475098,0.08766055107116699,0.09750127792358398,966_840,0.9333333333333333,1.0
764.5,691.0862068965517,73.41379310344827,7.155172413793103,0.20304219476107893,0.11207084820188325,0.09097134655919568,average_results,0.9036916679982043,0.9898740864282435
