CL,TP,FP,FN,T,T_T,T_P,Instances,Precision,Recall
1971,1566,405,0,286.2654778957367,0.19270682334899902,286.0727710723877,144_1566,0.7945205479452054,1.0
350,230,120,0,29.900313138961792,0.19270682334899902,29.707606315612793,144_230,0.6571428571428571,1.0
735,510,225,0,77.65069317817688,0.19270682334899902,77.45798635482788,144_510,0.6938775510204082,1.0
640,544,96,0,88.41486930847168,0.19270682334899902,88.22216248512268,144_544,0.85,1.0
792,684,108,0,112.49771809577942,0.19270682334899902,112.30501127243042,144_684,0.8636363636363636,1.0
996,816,180,24,156.7920868396759,0.19270682334899902,156.5993800163269,144_840,0.8192771084337349,0.9714285714285714
1281,966,315,0,134.54489541053772,0.19270682334899902,134.35218858718872,144_966,0.7540983606557377,1.0
168,144,24,0,11.515269756317139,0.6480393409729004,10.867230415344238,1566_144,0.8571428571428571,1.0
1701,1566,135,0,225.01618313789368,0.6480393409729004,224.36814379692078,1566_1566,0.9206349206349206,1.0
270,230,40,0,30.558485984802246,0.6480393409729004,29.910446643829346,1566_230,0.8518518518518519,1.0
585,510,75,0,78.83336281776428,0.6480393409729004,78.18532347679138,1566_510,0.8717948717948718,1.0
592,544,48,0,89.67655205726624,0.6480393409729004,89.02851271629333,1566_544,0.918918918918919,1.0
738,684,54,0,113.8214499950409,0.6480393409729004,113.173410654068,1566_684,0.926829268292683,1.0
900,840,60,0,156.99016094207764,0.6480393409729004,156.34212160110474,1566_840,0.9333333333333333,1.0
1071,966,105,0,135.81303095817566,0.6480393409729004,135.16499161720276,1566_966,0.9019607843137255,1.0
168,144,24,0,10.96724820137024,0.19975686073303223,10.767491340637207,230_144,0.8571428571428571,1.0
1701,1566,135,0,286.90894079208374,0.19975686073303223,286.7091839313507,230_1566,0.9206349206349206,1.0
510,510,0,0,77.83982491493225,0.19975686073303223,77.64006805419922,230_510,1.0,1.0
592,544,48,0,88.54625988006592,0.19975686073303223,88.34650301933289,230_544,0.918918918918919,1.0
738,684,54,0,112.85622978210449,0.19975686073303223,112.65647292137146,230_684,0.926829268292683,1.0
900,840,60,0,157.1055862903595,0.19975686073303223,156.90582942962646,230_840,0.9333333333333333,1.0
1071,966,105,0,134.63951897621155,0.19975686073303223,134.43976211547852,230_966,0.9019607843137255,1.0
168,144,24,0,11.068257570266724,0.290024995803833,10.77823257446289,510_144,0.8571428571428571,1.0
1701,1566,135,0,287.0339517593384,0.290024995803833,286.74392676353455,510_1566,0.9206349206349206,1.0
230,230,0,0,29.932056188583374,0.290024995803833,29.64203119277954,510_230,1.0,1.0
591,543,48,1,88.64813995361328,0.290024995803833,88.35811495780945,510_544,0.9187817258883249,0.9981617647058824
738,684,54,0,112.6856803894043,0.290024995803833,112.39565539360046,510_684,0.926829268292683,1.0
899,839,60,1,156.99607825279236,0.290024995803833,156.70605325698853,510_840,0.9332591768631813,0.9988095238095238
1071,966,105,0,134.78849840164185,0.290024995803833,134.498473405838,510_966,0.9019607843137255,1.0
144,144,0,0,11.455231666564941,0.3152167797088623,11.140014886856079,544_144,1.0,1.0
1701,1566,135,0,290.9705140590668,0.3152167797088623,290.6552972793579,544_1566,0.9206349206349206,1.0
270,230,40,0,30.746012449264526,0.3152167797088623,30.430795669555664,544_230,0.8518518518518519,1.0
585,510,75,0,79.58271288871765,0.3152167797088623,79.26749610900879,544_510,0.8717948717948718,1.0
592,544,48,0,90.70650815963745,0.3152167797088623,90.39129137992859,544_544,0.918918918918919,1.0
738,684,54,0,115.41456341743469,0.3152167797088623,115.09934663772583,544_684,0.926829268292683,1.0
900,840,60,0,159.2875738143921,0.3152167797088623,158.97235703468323,544_840,0.9333333333333333,1.0
1071,966,105,0,136.53272151947021,0.3152167797088623,136.21750473976135,544_966,0.9019607843137255,1.0
144,144,0,0,11.177197217941284,0.3992786407470703,10.777918577194214,684_144,1.0,1.0
1701,1566,135,0,286.6905884742737,0.3992786407470703,286.2913098335266,684_1566,0.9206349206349206,1.0
270,230,40,0,30.017667055130005,0.3992786407470703,29.618388414382935,684_230,0.8518518518518519,1.0
585,510,75,0,77.93007516860962,0.3992786407470703,77.53079652786255,684_510,0.8717948717948718,1.0
591,543,48,1,88.88050746917725,0.3992786407470703,88.48122882843018,684_544,0.9187817258883249,0.9981617647058824
899,839,60,1,156.90793323516846,0.3992786407470703,156.5086545944214,684_840,0.9332591768631813,0.9988095238095238
1071,966,105,0,134.96919131278992,0.3992786407470703,134.56991267204285,684_966,0.9019607843137255,1.0
144,144,0,0,12.431616306304932,1.1457481384277344,11.285868167877197,840_144,1.0,1.0
1566,1566,0,0,297.9614336490631,1.1457481384277344,296.8156855106354,840_1566,1.0,1.0
230,230,0,0,31.67708134651184,1.1457481384277344,30.531333208084106,840_230,1.0,1.0
510,510,0,0,81.17105388641357,1.1457481384277344,80.02530574798584,840_510,1.0,1.0
544,544,0,0,92.06047081947327,1.1457481384277344,90.91472268104553,840_544,1.0,1.0
684,684,0,0,117.7222466468811,1.1457481384277344,116.57649850845337,840_684,1.0,1.0
966,966,0,0,144.78338742256165,1.1457481384277344,143.6376392841339,840_966,1.0,1.0
168,144,24,0,11.184377193450928,0.3884603977203369,10.79591679573059,966_144,0.8571428571428571,1.0
1701,1566,135,0,287.3325207233429,0.3884603977203369,286.94406032562256,966_1566,0.9206349206349206,1.0
270,230,40,0,30.030951738357544,0.3884603977203369,29.642491340637207,966_230,0.8518518518518519,1.0
585,510,75,0,78.12810826301575,0.3884603977203369,77.73964786529541,966_510,0.8717948717948718,1.0
592,544,48,0,88.96380472183228,0.3884603977203369,88.57534432411194,966_544,0.918918918918919,1.0
738,684,54,0,113.07176470756531,0.3884603977203369,112.68330430984497,966_684,0.926829268292683,1.0
900,840,60,0,158.43063354492188,0.3884603977203369,158.04217314720154,966_840,0.9333333333333333,1.0
771.1724137931035,697.7586206896551,73.41379310344827,0.4827586206896552,114.90560809908241,0.44858413729174385,114.45702396179068,average_results,0.9058027881611415,0.9994029508355067
