CL,TP,FP,FN,T,T_T,T_P,Instances,Precision,Recall
1485,1485,0,0,1.493830919265747,0.0034804344177246094,1.4903504848480225,105_1485,1.0,1.0
210,210,0,0,0.21390581130981445,0.0034804344177246094,0.21042537689208984,105_210,1.0,1.0
2145,2145,0,0,2.2989566326141357,0.0034804344177246094,2.295476198196411,105_2145,1.0,1.0
3003,3003,0,0,3.0092785358428955,0.0034804344177246094,3.005798101425171,105_3003,1.0,1.0
378,378,0,0,0.38190603256225586,0.0034804344177246094,0.37842559814453125,105_378,1.0,1.0
4095,4095,0,0,4.252935409545898,0.0034804344177246094,4.249454975128174,105_4095,1.0,1.0
45,45,0,0,0.05180048942565918,0.0034804344177246094,0.04832005500793457,105_45,1.0,1.0
630,630,0,0,0.6351287364959717,0.0034804344177246094,0.6316483020782471,105_630,1.0,1.0
990,990,0,0,0.9966964721679688,0.0034804344177246094,0.9932160377502441,105_990,1.0,1.0
105,105,0,0,0.11513543128967285,0.010068416595458984,0.10506701469421387,1485_105,1.0,1.0
210,210,0,0,0.21920156478881836,0.010068416595458984,0.20913314819335938,1485_210,1.0,1.0
2145,2145,0,0,2.1450583934783936,0.010068416595458984,2.1349899768829346,1485_2145,1.0,1.0
3003,3003,0,0,3.131664514541626,0.010068416595458984,3.121596097946167,1485_3003,1.0,1.0
378,378,0,0,0.38612961769104004,0.010068416595458984,0.37606120109558105,1485_378,1.0,1.0
4095,4095,0,0,4.225755453109741,0.010068416595458984,4.215687036514282,1485_4095,1.0,1.0
45,45,0,0,0.057996511459350586,0.010068416595458984,0.0479280948638916,1485_45,1.0,1.0
630,630,0,0,0.63596510887146,0.010068416595458984,0.625896692276001,1485_630,1.0,1.0
990,990,0,0,0.9989228248596191,0.010068416595458984,0.9888544082641602,1485_990,1.0,1.0
105,105,0,0,0.1098027229309082,0.003948688507080078,0.10585403442382812,210_105,1.0,1.0
1485,1485,0,0,1.6215393543243408,0.003948688507080078,1.6175906658172607,210_1485,1.0,1.0
2145,2145,0,0,2.1440176963806152,0.003948688507080078,2.140069007873535,210_2145,1.0,1.0
3003,3003,0,0,3.1319291591644287,0.003948688507080078,3.1279804706573486,210_3003,1.0,1.0
378,378,0,0,0.38321971893310547,0.003948688507080078,0.3792710304260254,210_378,1.0,1.0
4095,4095,0,0,4.265485763549805,0.003948688507080078,4.261537075042725,210_4095,1.0,1.0
45,45,0,0,0.05234336853027344,0.003948688507080078,0.04839468002319336,210_45,1.0,1.0
630,630,0,0,0.6371631622314453,0.003948688507080078,0.6332144737243652,210_630,1.0,1.0
990,990,0,0,0.9913675785064697,0.003948688507080078,0.9874188899993896,210_990,1.0,1.0
105,105,0,0,0.11779308319091797,0.013175249099731445,0.10461783409118652,2145_105,1.0,1.0
1485,1485,0,0,1.49257230758667,0.013175249099731445,1.4793970584869385,2145_1485,1.0,1.0
210,210,0,0,0.22229480743408203,0.013175249099731445,0.20911955833435059,2145_210,1.0,1.0
3003,3003,0,0,3.009434700012207,0.013175249099731445,2.9962594509124756,2145_3003,1.0,1.0
378,378,0,0,0.3894639015197754,0.013175249099731445,0.37628865242004395,2145_378,1.0,1.0
4095,4095,0,0,4.230817794799805,0.013175249099731445,4.217642545700073,2145_4095,1.0,1.0
45,45,0,0,0.06090235710144043,0.013175249099731445,0.047727108001708984,2145_45,1.0,1.0
630,630,0,0,0.6390376091003418,0.013175249099731445,0.6258623600006104,2145_630,1.0,1.0
990,990,0,0,1.1430294513702393,0.013175249099731445,1.1298542022705078,2145_990,1.0,1.0
105,105,0,0,0.12227916717529297,0.017198801040649414,0.10508036613464355,3003_105,1.0,1.0
1485,1485,0,0,1.6366724967956543,0.017198801040649414,1.6194736957550049,3003_1485,1.0,1.0
210,210,0,0,0.22692084312438965,0.017198801040649414,0.20972204208374023,3003_210,1.0,1.0
2145,2145,0,0,2.153529167175293,0.017198801040649414,2.1363303661346436,3003_2145,1.0,1.0
378,378,0,0,0.3952202796936035,0.017198801040649414,0.3780214786529541,3003_378,1.0,1.0
4095,4095,0,0,4.101866006851196,0.017198801040649414,4.084667205810547,3003_4095,1.0,1.0
45,45,0,0,0.0652153491973877,0.017198801040649414,0.04801654815673828,3003_45,1.0,1.0
630,630,0,0,0.7799954414367676,0.017198801040649414,0.7627966403961182,3003_630,1.0,1.0
990,990,0,0,1.0058329105377197,0.017198801040649414,0.9886341094970703,3003_990,1.0,1.0
105,105,0,0,0.11029171943664551,0.004735469818115234,0.10555624961853027,378_105,1.0,1.0
1485,1485,0,0,1.4931323528289795,0.004735469818115234,1.4883968830108643,378_1485,1.0,1.0
210,210,0,0,0.21534347534179688,0.004735469818115234,0.21060800552368164,378_210,1.0,1.0
2145,2145,0,0,2.3020482063293457,0.004735469818115234,2.2973127365112305,378_2145,1.0,1.0
3003,3003,0,0,3.008558750152588,0.004735469818115234,3.0038232803344727,378_3003,1.0,1.0
4095,4095,0,0,4.248544931411743,0.004735469818115234,4.243809461593628,378_4095,1.0,1.0
45,45,0,0,0.05280351638793945,0.004735469818115234,0.04806804656982422,378_45,1.0,1.0
630,630,0,0,0.6359140872955322,0.004735469818115234,0.631178617477417,378_630,1.0,1.0
990,990,0,0,0.9982752799987793,0.004735469818115234,0.9935398101806641,378_990,1.0,1.0
105,105,0,0,0.1273183822631836,0.02234363555908203,0.10497474670410156,4095_105,1.0,1.0
1485,1485,0,0,1.5015184879302979,0.02234363555908203,1.4791748523712158,4095_1485,1.0,1.0
210,210,0,0,0.23198223114013672,0.02234363555908203,0.2096385955810547,4095_210,1.0,1.0
2145,2145,0,0,2.163947820663452,0.02234363555908203,2.14160418510437,4095_2145,1.0,1.0
3003,3003,0,0,3.0063724517822266,0.02234363555908203,2.9840288162231445,4095_3003,1.0,1.0
378,378,0,0,0.5366554260253906,0.02234363555908203,0.5143117904663086,4095_378,1.0,1.0
45,45,0,0,0.0684504508972168,0.02234363555908203,0.046106815338134766,4095_45,1.0,1.0
630,630,0,0,0.650033712387085,0.02234363555908203,0.6276900768280029,4095_630,1.0,1.0
990,990,0,0,1.011415719985962,0.02234363555908203,0.9890720844268799,4095_990,1.0,1.0
105,105,0,0,0.10807585716247559,0.0031595230102539062,0.10491633415222168,45_105,1.0,1.0
1485,1485,0,0,1.477989673614502,0.0031595230102539062,1.474830150604248,45_1485,1.0,1.0
210,210,0,0,0.21531987190246582,0.0031595230102539062,0.21216034889221191,45_210,1.0,1.0
2145,2145,0,0,2.2803964614868164,0.0031595230102539062,2.2772369384765625,45_2145,1.0,1.0
3003,3003,0,0,2.991657018661499,0.0031595230102539062,2.988497495651245,45_3003,1.0,1.0
378,378,0,0,0.38009142875671387,0.0031595230102539062,0.37693190574645996,45_378,1.0,1.0
4095,4095,0,0,4.221578121185303,0.0031595230102539062,4.218418598175049,45_4095,1.0,1.0
630,630,0,0,0.6299514770507812,0.0031595230102539062,0.6267919540405273,45_630,1.0,1.0
990,990,0,0,0.9883208274841309,0.0031595230102539062,0.985161304473877,45_990,1.0,1.0
105,105,0,0,0.11191821098327637,0.0061664581298828125,0.10575175285339355,630_105,1.0,1.0
1485,1485,0,0,1.6367366313934326,0.0061664581298828125,1.6305701732635498,630_1485,1.0,1.0
210,210,0,0,0.21741867065429688,0.0061664581298828125,0.21125221252441406,630_210,1.0,1.0
2145,2145,0,0,2.164721965789795,0.0061664581298828125,2.158555507659912,630_2145,1.0,1.0
3003,3003,0,0,3.158867597579956,0.0061664581298828125,3.1527011394500732,630_3003,1.0,1.0
378,378,0,0,0.3853647708892822,0.0061664581298828125,0.3791983127593994,630_378,1.0,1.0
4095,4095,0,0,4.259050369262695,0.0061664581298828125,4.2528839111328125,630_4095,1.0,1.0
45,45,0,0,0.05431199073791504,0.0061664581298828125,0.04814553260803223,630_45,1.0,1.0
990,990,0,0,1.0013799667358398,0.0061664581298828125,0.995213508605957,630_990,1.0,1.0
105,105,0,0,0.11297607421875,0.007669210433959961,0.10530686378479004,990_105,1.0,1.0
1485,1485,0,0,1.4893624782562256,0.007669210433959961,1.4816932678222656,990_1485,1.0,1.0
210,210,0,0,0.21750426292419434,0.007669210433959961,0.20983505249023438,990_210,1.0,1.0
2145,2145,0,0,2.156275749206543,0.007669210433959961,2.148606538772583,990_2145,1.0,1.0
3003,3003,0,0,2.994814872741699,0.007669210433959961,2.9871456623077393,990_3003,1.0,1.0
378,378,0,0,0.38569140434265137,0.007669210433959961,0.3780221939086914,990_378,1.0,1.0
4095,4095,0,0,4.236013412475586,0.007669210433959961,4.228344202041626,990_4095,1.0,1.0
45,45,0,0,0.0554196834564209,0.007669210433959961,0.04775047302246094,990_45,1.0,1.0
630,630,0,0,0.6367313861846924,0.007669210433959961,0.6290621757507324,990_630,1.0,1.0
1308.6,1308.6,0.0,0.0,1.347895132170783,0.009194588661193848,1.3387005435095893,average_results,1.0,1.0
