CL,TP,FP,FN,T,T_T,T_P,Instances,Precision,Recall
1485,1485,0,0,0.3313283920288086,0.0018568038940429688,0.3294715881347656,105_1485,1.0,1.0
210,210,0,0,0.030523061752319336,0.0018568038940429688,0.028666257858276367,105_210,1.0,1.0
2145,2145,0,0,0.426952600479126,0.0018568038940429688,0.425095796585083,105_2145,1.0,1.0
3003,3003,0,0,0.5234155654907227,0.0018568038940429688,0.5215587615966797,105_3003,1.0,1.0
378,378,0,0,0.1851673126220703,0.0018568038940429688,0.18331050872802734,105_378,1.0,1.0
4095,4095,0,0,0.6769955158233643,0.0018568038940429688,0.6751387119293213,105_4095,1.0,1.0
45,45,0,0,0.012184381484985352,0.0018568038940429688,0.010327577590942383,105_45,1.0,1.0
630,630,0,0,0.08409643173217773,0.0018568038940429688,0.08223962783813477,105_630,1.0,1.0
990,990,0,0,0.1319892406463623,0.0018568038940429688,0.13013243675231934,105_990,1.0,1.0
105,105,0,0,0.02355670928955078,0.00799703598022461,0.015559673309326172,1485_105,1.0,1.0
210,210,0,0,0.0368046760559082,0.00799703598022461,0.028807640075683594,1485_210,1.0,1.0
2145,2145,0,0,0.4419240951538086,0.00799703598022461,0.433927059173584,1485_2145,1.0,1.0
3003,3003,0,0,0.5379576683044434,0.00799703598022461,0.5299606323242188,1485_3003,1.0,1.0
378,378,0,0,0.058255910873413086,0.00799703598022461,0.05025887489318848,1485_378,1.0,1.0
4095,4095,0,0,0.6876645088195801,0.00799703598022461,0.6796674728393555,1485_4095,1.0,1.0
45,45,0,0,0.018708229064941406,0.00799703598022461,0.010711193084716797,1485_45,1.0,1.0
630,630,0,0,0.0899813175201416,0.00799703598022461,0.08198428153991699,1485_630,1.0,1.0
990,990,0,0,0.13932514190673828,0.00799703598022461,0.13132810592651367,1485_990,1.0,1.0
105,105,0,0,0.01795363426208496,0.002343893051147461,0.0156097412109375,210_105,1.0,1.0
1485,1485,0,0,0.33812570571899414,0.002343893051147461,0.3357818126678467,210_1485,1.0,1.0
2145,2145,0,0,0.43172144889831543,0.002343893051147461,0.42937755584716797,210_2145,1.0,1.0
3003,3003,0,0,0.5276241302490234,0.002343893051147461,0.525280237197876,210_3003,1.0,1.0
378,378,0,0,0.05295968055725098,0.002343893051147461,0.050615787506103516,210_378,1.0,1.0
4095,4095,0,0,0.6820547580718994,0.002343893051147461,0.679710865020752,210_4095,1.0,1.0
45,45,0,0,0.012689590454101562,0.002343893051147461,0.010345697402954102,210_45,1.0,1.0
630,630,0,0,0.08465456962585449,0.002343893051147461,0.08231067657470703,210_630,1.0,1.0
990,990,0,0,0.13304591178894043,0.002343893051147461,0.13070201873779297,210_990,1.0,1.0
105,105,0,0,0.026192426681518555,0.010857582092285156,0.015334844589233398,2145_105,1.0,1.0
1485,1485,0,0,0.3424680233001709,0.010857582092285156,0.33161044120788574,2145_1485,1.0,1.0
210,210,0,0,0.03977537155151367,0.010857582092285156,0.028917789459228516,2145_210,1.0,1.0
