CL,TP,FP,FN,T,T_T,T_P,Instances,Precision,Recall
1214,1214,0,0,1.641991376876831,0.0991373062133789,1.5428540706634521,1208_1214,1.0,1.0
1405,1405,0,0,1.4146461486816406,0.0991373062133789,1.3155088424682617,1208_1405,1.0,1.0
1480,1480,0,0,1.0763964653015137,0.0991373062133789,0.9772591590881348,1208_1480,1.0,1.0
1926,1566,360,0,3.091811180114746,0.0991373062133789,2.992673873901367,1208_1566,0.8130841121495327,1.0
1706,1706,0,0,2.9537203311920166,0.0991373062133789,2.8545830249786377,1208_1706,1.0,1.0
2484,2016,468,0,5.035438299179077,0.0991373062133789,4.936300992965698,1208_2016,0.8115942028985508,1.0
2315,2315,0,0,3.362929344177246,0.0991373062133789,3.263792037963867,1208_2315,1.0,1.0
2432,2432,0,0,3.902712106704712,0.0991373062133789,3.803574800491333,1208_2432,1.0,1.0
624,516,108,0,0.5044379234313965,0.0991373062133789,0.4053006172180176,1208_516,0.8269230769230769,1.0
1208,1208,0,0,1.2619152069091797,0.16567540168762207,1.0962398052215576,1214_1208,1.0,1.0
1405,1405,0,0,1.6295185089111328,0.16567540168762207,1.4638431072235107,1214_1405,1.0,1.0
1480,1480,0,0,1.2389936447143555,0.16567540168762207,1.0733182430267334,1214_1480,1.0,1.0
1926,1566,360,0,3.27243971824646,0.16567540168762207,3.106764316558838,1214_1566,0.8130841121495327,1.0
1706,1706,0,0,3.2487387657165527,0.16567540168762207,3.0830633640289307,1214_1706,1.0,1.0
2484,2016,468,0,5.225191116333008,0.16567540168762207,5.059515714645386,1214_2016,0.8115942028985508,1.0
2315,2315,0,0,3.721329689025879,0.16567540168762207,3.555654287338257,1214_2315,1.0,1.0
2432,2432,0,0,4.265726089477539,0.16567540168762207,4.100050687789917,1214_2432,1.0,1.0
624,516,108,0,0.5898878574371338,0.16567540168762207,0.4242124557495117,1214_516,0.8269230769230769,1.0
1208,1208,0,0,1.6450371742248535,0.0801997184753418,1.5648374557495117,1405_1208,1.0,1.0
1214,1214,0,0,2.4101712703704834,0.0801997184753418,2.3299715518951416,1405_1214,1.0,1.0
1480,1480,0,0,1.5493028163909912,0.0801997184753418,1.4691030979156494,1405_1480,1.0,1.0
1926,1566,360,0,4.35016131401062,0.0801997184753418,4.269961595535278,1405_1566,0.8130841121495327,1.0
1706,1706,0,0,4.356139659881592,0.0801997184753418,4.27593994140625,1405_1706,1.0,1.0
2484,2016,468,0,7.0322585105896,0.0801997184753418,6.952058792114258,1405_2016,0.8115942028985508,1.0
2315,2315,0,0,5.017898321151733,0.0801997184753418,4.937698602676392,1405_2315,1.0,1.0
2432,2432,0,0,5.7083423137664795,0.0801997184753418,5.628142595291138,1405_2432,1.0,1.0
624,516,108,0,0.667039155960083,0.0801997184753418,0.5868394374847412,1405_516,0.8269230769230769,1.0
1208,1208,0,0,0.8943314552307129,0.07084918022155762,0.8234822750091553,1480_1208,1.0,1.0
1214,1214,0,0,1.2942721843719482,0.07084918022155762,1.2234230041503906,1480_1214,1.0,1.0
1405,1405,0,0,1.1077609062194824,0.07084918022155762,1.0369117259979248,1480_1405,1.0,1.0
1926,1566,360,0,2.278785228729248,0.07084918022155762,2.2079360485076904,1480_1566,0.8130841121495327,1.0
1706,1706,0,0,2.2109460830688477,0.07084918022155762,2.14009690284729,1480_1706,1.0,1.0
2484,2016,468,0,3.5578534603118896,0.07084918022155762,3.487004280090332,1480_2016,0.8115942028985508,1.0
2315,2315,0,0,2.5546019077301025,0.07084918022155762,2.483752727508545,1480_2315,1.0,1.0
2432,2432,0,0,2.9510128498077393,0.07084918022155762,2.8801636695861816,1480_2432,1.0,1.0
624,516,108,0,0.4016075134277344,0.07084918022155762,0.33075833320617676,1480_516,0.8269230769230769,1.0
1208,1208,0,0,1.6040868759155273,0.32962512969970703,1.2744617462158203,1566_1208,1.0,1.0
1214,1214,0,0,2.2279300689697266,0.32962512969970703,1.8983049392700195,1566_1214,1.0,1.0
1405,1405,0,0,2.009187698364258,0.32962512969970703,1.6795625686645508,1566_1405,1.0,1.0
1480,1480,0,0,1.622642993927002,0.32962512969970703,1.293017864227295,1566_1480,1.0,1.0
1706,1706,0,0,3.912802219390869,0.32962512969970703,3.583177089691162,1566_1706,1.0,1.0
2016,2016,0,0,6.214220762252808,0.32962512969970703,5.884595632553101,1566_2016,1.0,1.0
2315,2315,0,0,4.444739580154419,0.32962512969970703,4.115114450454712,1566_2315,1.0,1.0
2432,2432,0,0,5.1572253704071045,0.32962512969970703,4.8276002407073975,1566_2432,1.0,1.0
516,516,0,0,0.8149549961090088,0.32962512969970703,0.48532986640930176,1566_516,1.0,1.0
1208,1208,0,0,1.1602580547332764,0.3284718990325928,0.8317861557006836,1706_1208,1.0,1.0
1214,1214,0,0,1.5504796504974365,0.3284718990325928,1.2220077514648438,1706_1214,1.0,1.0
1405,1405,0,0,1.349766731262207,0.3284718990325928,1.0212948322296143,1706_1405,1.0,1.0
1480,1480,0,0,1.1590216159820557,0.3284718990325928,0.8305497169494629,1706_1480,1.0,1.0
1926,1566,360,0,2.5397911071777344,0.3284718990325928,2.2113192081451416,1706_1566,0.8130841121495327,1.0
2484,2016,468,0,3.8192837238311768,0.3284718990325928,3.490811824798584,1706_2016,0.8115942028985508,1.0
2315,2315,0,0,2.854210376739502,0.3284718990325928,2.525738477706909,1706_2315,1.0,1.0
2432,2432,0,0,3.1599934101104736,0.3284718990325928,2.831521511077881,1706_2432,1.0,1.0
624,516,108,0,0.6598811149597168,0.3284718990325928,0.331409215927124,1706_516,0.8269230769230769,1.0
1208,1208,0,0,1.6310803890228271,0.529184103012085,1.1018962860107422,2016_1208,1.0,1.0
1214,1214,0,0,2.2113330364227295,0.529184103012085,1.6821489334106445,2016_1214,1.0,1.0
1405,1405,0,0,1.9083795547485352,0.529184103012085,1.3791954517364502,2016_1405,1.0,1.0
1480,1480,0,0,1.5978963375091553,0.529184103012085,1.0687122344970703,2016_1480,1.0,1.0
