CL,TP,FP,FN,T,T_T,T_P,Instances,Precision,Recall
1214,1214,0,0,28.821975708007812,12.140271663665771,16.68170404434204,1208_1214,1.0,1.0
1405,1405,0,0,25.963164806365967,12.140271663665771,13.822893142700195,1208_1405,1.0,1.0
1480,1480,0,0,22.168256998062134,12.140271663665771,10.027985334396362,1208_1480,1.0,1.0
1926,1566,360,0,44.725133180618286,12.140271663665771,32.584861516952515,1208_1566,0.8130841121495327,1.0
1706,1706,0,0,44.70411682128906,12.140271663665771,32.56384515762329,1208_1706,1.0,1.0
2484,2016,468,0,65.71073055267334,12.140271663665771,53.57045888900757,1208_2016,0.8115942028985508,1.0
2315,2315,0,0,49.88613319396973,12.140271663665771,37.745861530303955,1208_2315,1.0,1.0
2432,2432,0,0,54.74831438064575,12.140271663665771,42.60804271697998,1208_2432,1.0,1.0
624,516,108,0,15.72938323020935,12.140271663665771,3.589111566543579,1208_516,0.8269230769230769,1.0
1208,1208,0,0,25.532398223876953,13.328303813934326,12.204094409942627,1214_1208,1.0,1.0
1405,1405,0,0,29.064844131469727,13.328303813934326,15.7365403175354,1214_1405,1.0,1.0
1480,1480,0,0,24.731125354766846,13.328303813934326,11.40282154083252,1214_1480,1.0,1.0
1566,1566,0,0,50.43152356147766,13.328303813934326,37.103219747543335,1214_1566,1.0,1.0
1706,1706,0,0,50.50077271461487,13.328303813934326,37.17246890068054,1214_1706,1.0,1.0
2016,2016,0,0,74.57167196273804,13.328303813934326,61.24336814880371,1214_2016,1.0,1.0
2315,2315,0,0,55.5829803943634,13.328303813934326,42.25467658042908,1214_2315,1.0,1.0
2432,2432,0,0,62.0846221446991,13.328303813934326,48.75631833076477,1214_2432,1.0,1.0
516,516,0,0,17.440353870391846,13.328303813934326,4.1120500564575195,1214_516,1.0,1.0
1208,1208,0,0,21.958025693893433,11.270391464233398,10.687634229660034,1405_1208,1.0,1.0
1214,1214,0,0,27.91010546684265,11.270391464233398,16.639714002609253,1405_1214,1.0,1.0
1480,1480,0,0,21.310213327407837,11.270391464233398,10.039821863174438,1405_1480,1.0,1.0
1926,1566,360,0,43.8851158618927,11.270391464233398,32.6147243976593,1405_1566,0.8130841121495327,1.0
1706,1706,0,0,43.75170278549194,11.270391464233398,32.481311321258545,1405_1706,1.0,1.0
2484,2016,468,0,65.0163094997406,11.270391464233398,53.7459180355072,1405_2016,0.8115942028985508,1.0
2315,2315,0,0,48.58193612098694,11.270391464233398,37.31154465675354,1405_2315,1.0,1.0
2432,2432,0,0,53.78987169265747,11.270391464233398,42.51948022842407,1405_2432,1.0,1.0
624,516,108,0,14.87962794303894,11.270391464233398,3.609236478805542,1405_516,0.8269230769230769,1.0
1208,1208,0,0,21.372661590576172,10.675441980361938,10.697219610214233,1480_1208,1.0,1.0
1214,1214,0,0,27.142513036727905,10.675441980361938,16.467071056365967,1480_1214,1.0,1.0
1405,1405,0,0,24.436845302581787,10.675441980361938,13.761403322219849,1480_1405,1.0,1.0
1806,1566,240,0,43.04169678688049,10.675441980361938,32.366254806518555,1480_1566,0.867109634551495,1.0
1706,1706,0,0,43.07683300971985,10.675441980361938,32.40139102935791,1480_1706,1.0,1.0
2328,2016,312,0,64.30221605300903,10.675441980361938,53.626774072647095,1480_2016,0.865979381443299,1.0
2315,2315,0,0,47.59216642379761,10.675441980361938,36.91672444343567,1480_2315,1.0,1.0
2432,2432,0,0,53.049381732940674,10.675441980361938,42.373939752578735,1480_2432,1.0,1.0
588,516,72,0,14.2524733543396,10.675441980361938,3.577031373977661,1480_516,0.8775510204081632,1.0
1080,1080,0,128,32.075865507125854,19.77111506462097,12.304750442504883,1566_1208,1.0,0.8940397350993378
990,990,0,224,38.76316595077515,19.77111506462097,18.992050886154175,1566_1214,1.0,0.8154859967051071
1155,1155,0,250,35.54920768737793,19.77111506462097,15.778092622756958,1566_1405,1.0,0.8220640569395018
1330,1330,0,150,31.22604012489319,19.77111506462097,11.454925060272217,1566_1480,1.0,0.8986486486486487
1386,1386,0,320,57.0011260509491,19.77111506462097,37.230010986328125,1566_1706,1.0,0.8124267291910903
1944,1944,0,72,81.25478792190552,19.77111506462097,61.483672857284546,1566_2016,1.0,0.9642857142857143
1890,1890,0,425,62.162964820861816,19.77111506462097,42.391849756240845,1566_2315,1.0,0.816414686825054
2160,2160,0,272,68.70433807373047,19.77111506462097,48.9332230091095,1566_2432,1.0,0.8881578947368421
462,462,0,54,23.882091283798218,19.77111506462097,4.110976219177246,1566_516,1.0,0.8953488372093024
1208,1208,0,0,28.73984694480896,16.499366521835327,12.240480422973633,1706_1208,1.0,1.0
1214,1214,0,0,35.463608264923096,16.499366521835327,18.96424174308777,1706_1214,1.0,1.0
1405,1405,0,0,32.221235275268555,16.499366521835327,15.721868753433228,1706_1405,1.0,1.0
1480,1480,0,0,27.97578763961792,16.499366521835327,11.476421117782593,1706_1480,1.0,1.0
1566,1566,0,0,53.56477999687195,16.499366521835327,37.06541347503662,1706_1566,1.0,1.0
2016,2016,0,0,77.72789788246155,16.499366521835327,61.22853136062622,1706_2016,1.0,1.0
