CL,TP,FP,FN,T,T_T,T_P,Instances,Precision,Recall
2016,2016,0,0,28.354360103607178,13.41709017753601,14.937269926071167,2016_2016,1.0,1.0
216,216,0,0,14.429705381393433,13.41709017753601,1.0126152038574219,2016_216,1.0,1.0
3136,3136,0,0,41.752880573272705,13.41709017753601,28.335790395736694,2016_3136,1.0,1.0
4050,4050,0,0,49.746582984924316,13.41709017753601,36.329492807388306,2016_4050,1.0,1.0
4992,4992,0,0,61.21745252609253,13.41709017753601,47.80036234855652,2016_4992,1.0,1.0
544,544,0,0,16.448253631591797,13.41709017753601,3.031163454055786,2016_544,1.0,1.0
56,56,0,0,14.088387250900269,13.41709017753601,0.6712970733642578,2016_56,1.0,1.0
810,810,0,0,18.209948539733887,13.41709017753601,4.792858362197876,2016_810,1.0,1.0
2016,2016,0,0,21.780882596969604,6.872899055480957,14.907983541488647,216_2016,1.0,1.0
3136,3136,0,0,35.34301567077637,6.872899055480957,28.47011661529541,216_3136,1.0,1.0
4050,4050,0,0,43.05312967300415,6.872899055480957,36.18023061752319,216_4050,1.0,1.0
4992,4992,0,0,54.57836604118347,6.872899055480957,47.705466985702515,216_4992,1.0,1.0
544,544,0,0,9.907788515090942,6.872899055480957,3.0348894596099854,216_544,1.0,1.0
56,56,0,0,7.543180227279663,6.872899055480957,0.670281171798706,216_56,1.0,1.0
810,810,0,0,11.678057432174683,6.872899055480957,4.805158376693726,216_810,1.0,1.0
2016,2016,0,0,36.84707427024841,21.467129707336426,15.379944562911987,3136_2016,1.0,1.0
216,216,0,0,22.52578091621399,21.467129707336426,1.0586512088775635,3136_216,1.0,1.0
3136,3136,0,0,50.919978618621826,21.467129707336426,29.4528489112854,3136_3136,1.0,1.0
4050,4050,0,0,58.09213995933533,21.467129707336426,36.6250102519989,3136_4050,1.0,1.0
4992,4992,0,0,70.92765355110168,21.467129707336426,49.46052384376526,3136_4992,1.0,1.0
544,544,0,0,24.61904239654541,21.467129707336426,3.1519126892089844,3136_544,1.0,1.0
56,56,0,0,22.156517267227173,21.467129707336426,0.6893875598907471,3136_56,1.0,1.0
810,810,0,0,26.44378900527954,21.467129707336426,4.976659297943115,3136_810,1.0,1.0
2016,2016,0,0,29.431808471679688,14.480034351348877,14.95177412033081,4050_2016,1.0,1.0
216,216,0,0,15.491840839385986,14.480034351348877,1.0118064880371094,4050_216,1.0,1.0
3136,3136,0,0,42.89258885383606,14.480034351348877,28.412554502487183,4050_3136,1.0,1.0
4992,4992,0,0,62.389376401901245,14.480034351348877,47.90934205055237,4050_4992,1.0,1.0
544,544,0,0,17.524138689041138,14.480034351348877,3.0441043376922607,4050_544,1.0,1.0
56,56,0,0,15.15001368522644,14.480034351348877,0.6699793338775635,4050_56,1.0,1.0
810,810,0,0,19.2923526763916,14.480034351348877,4.812318325042725,4050_810,1.0,1.0
