CL,TP,FP,FN,T,T_T,T_P,Instances,Precision,Recall
1728,1566,162,0,26.492003202438354,3.0543158054351807,23.437687397003174,144_1566,0.90625,1.0
290,190,100,40,5.53234338760376,3.0543158054351807,2.478027582168579,144_230,0.6551724137931034,0.8260869565217391
610,435,175,75,9.419829845428467,3.0543158054351807,6.365514039993286,144_510,0.7131147540983607,0.8529411764705882
592,496,96,48,10.297928810119629,3.0543158054351807,7.243613004684448,144_544,0.8378378378378378,0.9117647058823529
747,684,63,0,12.305962324142456,3.0543158054351807,9.251646518707275,144_684,0.9156626506024096,1.0
950,780,170,60,15.94053030014038,3.0543158054351807,12.8862144947052,144_840,0.8210526315789474,0.9285714285714286
1071,861,210,105,14.041277170181274,3.0543158054351807,10.986961364746094,144_966,0.803921568627451,0.8913043478260869
120,120,0,24,14.519396305084229,13.611488342285156,0.9079079627990723,1566_144,1.0,0.8333333333333334
1431,1431,0,135,31.929900884628296,13.611488342285156,18.31841254234314,1566_1566,1.0,0.9137931034482759
190,190,0,40,16.106716632843018,13.611488342285156,2.4952282905578613,1566_230,1.0,0.8260869565217391
435,435,0,75,20.01607656478882,13.611488342285156,6.404588222503662,1566_510,1.0,0.8529411764705882
496,496,0,48,20.90368151664734,13.611488342285156,7.292193174362183,1566_544,1.0,0.9117647058823529
630,630,0,54,22.916520833969116,13.611488342285156,9.30503249168396,1566_684,1.0,0.9210526315789473
780,780,0,60,26.59767198562622,13.611488342285156,12.986183643341064,1566_840,1.0,0.9285714285714286
861,861,0,105,24.648198127746582,13.611488342285156,11.036709785461426,1566_966,1.0,0.8913043478260869
120,120,0,24,3.462507486343384,2.549931287765503,0.9125761985778809,230_144,1.0,0.8333333333333334
1431,1431,0,135,26.081109762191772,2.549931287765503,23.53117847442627,230_1566,1.0,0.9137931034482759
435,435,0,75,8.963042974472046,2.549931287765503,6.413111686706543,230_510,1.0,0.8529411764705882
496,496,0,48,9.810467720031738,2.549931287765503,7.260536432266235,230_544,1.0,0.9117647058823529
630,630,0,54,11.814759731292725,2.549931287765503,9.264828443527222,230_684,1.0,0.9210526315789473
780,780,0,60,15.486117124557495,2.549931287765503,12.936185836791992,230_840,1.0,0.9285714285714286
861,861,0,105,13.563258409500122,2.549931287765503,11.01332712173462,230_966,1.0,0.8913043478260869
144,120,24,24,12.440234184265137,11.539006233215332,0.9012279510498047,510_144,0.8333333333333334,0.8333333333333334
1566,1431,135,135,34.98560690879822,11.539006233215332,23.446600675582886,510_1566,0.9137931034482759,0.9137931034482759
230,230,0,0,14.020979166030884,11.539006233215332,2.4819729328155518,510_230,1.0,1.0
544,496,48,48,18.77743625640869,11.539006233215332,7.238430023193359,510_544,0.9117647058823529,0.9117647058823529
684,630,54,54,20.784323692321777,11.539006233215332,9.245317459106445,510_684,0.9210526315789473,0.9210526315789473
840,780,60,60,24.447871685028076,11.539006233215332,12.908865451812744,510_840,0.9285714285714286,0.9285714285714286
966,861,105,105,22.541311264038086,11.539006233215332,11.002305030822754,510_966,0.8913043478260869,0.8913043478260869
88,88,0,56,8.805629968643188,7.376743793487549,1.4288861751556396,544_144,1.0,0.6111111111111112
441,441,0,1125,34.97497582435608,7.376743793487549,27.59823203086853,544_1566,1.0,0.28160919540229884
128,128,0,102,10.274791240692139,7.376743793487549,2.89804744720459,544_230,1.0,0.5565217391304348
240,240,0,270,14.862916707992554,7.376743793487549,7.486172914505005,544_510,1.0,0.47058823529411764
496,496,0,48,15.92451548576355,7.376743793487549,8.547771692276001,544_544,1.0,0.9117647058823529
198,198,0,486,18.313618898391724,7.376743793487549,10.936875104904175,544_684,1.0,0.2894736842105263
218,218,0,622,22.559434413909912,7.376743793487549,15.182690620422363,544_840,1.0,0.25952380952380955
357,357,0,609,20.298511743545532,7.376743793487549,12.921767950057983,544_966,1.0,0.3695652173913043
120,120,0,24,9.240280628204346,8.333131790161133,0.9071488380432129,684_144,1.0,0.8333333333333334
1431,1431,0,135,31.912498235702515,8.333131790161133,23.579366445541382,684_1566,1.0,0.9137931034482759
190,190,0,40,10.835451126098633,8.333131790161133,2.5023193359375,684_230,1.0,0.8260869565217391
435,435,0,75,14.747617959976196,8.333131790161133,6.4144861698150635,684_510,1.0,0.8529411764705882
496,496,0,48,15.618926286697388,8.333131790161133,7.285794496536255,684_544,1.0,0.9117647058823529
780,780,0,60,21.329784154891968,8.333131790161133,12.996652364730835,684_840,1.0,0.9285714285714286
861,861,0,105,19.407766342163086,8.333131790161133,11.074634552001953,684_966,1.0,0.8913043478260869
120,120,0,24,10.217577934265137,8.216680765151978,2.000897169113159,840_144,1.0,0.8333333333333334
1431,1431,0,135,39.60889506340027,8.216680765151978,31.39221429824829,840_1566,1.0,0.9137931034482759
190,190,0,40,11.544087886810303,8.216680765151978,3.327407121658325,840_230,1.0,0.8260869565217391
435,435,0,75,16.773457527160645,8.216680765151978,8.556776762008667,840_510,1.0,0.8529411764705882
496,496,0,48,17.914323806762695,8.216680765151978,9.697643041610718,840_544,1.0,0.9117647058823529
630,630,0,54,20.678848028182983,8.216680765151978,12.462167263031006,840_684,1.0,0.9210526315789473
861,861,0,105,22.884052515029907,8.216680765151978,14.66737174987793,840_966,1.0,0.8913043478260869
168,144,24,0,17.835556030273438,16.92171597480774,0.9138400554656982,966_144,0.8571428571428571,1.0
1503,1368,135,198,40.617427349090576,16.92171597480774,23.695711374282837,966_1566,0.9101796407185628,0.8735632183908046
208,168,40,62,19.435874938964844,16.92171597480774,2.5141589641571045,966_230,0.8076923076923077,0.7304347826086957
498,423,75,87,23.348299980163574,16.92171597480774,6.426584005355835,966_510,0.8493975903614458,0.8294117647058824
520,472,48,72,24.23932981491089,16.92171597480774,7.317613840103149,966_544,0.9076923076923077,0.8676470588235294
738,684,54,0,26.27678918838501,16.92171597480774,9.35507321357727,966_684,0.926829268292683,1.0
752,692,60,148,29.968741178512573,16.92171597480774,13.047025203704834,966_840,0.9202127659574468,0.8238095238095238
615.2931034482758,583.6034482758621,31.689655172413794,114.63793103448276,18.95339731923465,9.003609139343787,9.949788179890863,average_results,0.9522754852592438,0.8331929643113087
