CL,TP,FP,FN,T,T_T,T_P,Instances,Precision,Recall
1014,990,24,224,17.64566683769226,0.10621452331542969,17.53945231437683,1208_1214,0.9763313609467456,0.8154859967051071
1155,1155,0,250,14.718333721160889,0.10621452331542969,14.612119197845459,1208_1405,1.0,0.8220640569395018
1330,1330,0,150,10.758221626281738,0.10621452331542969,10.652007102966309,1208_1480,1.0,0.8986486486486487
1476,1386,90,180,34.584901332855225,0.10621452331542969,34.478686809539795,1208_1566,0.9390243902439024,0.8850574712643678
1474,1386,88,320,34.49608826637268,0.10621452331542969,34.38987374305725,1208_1706,0.9402985074626866,0.8124267291910903
2304,1782,522,234,57.01955509185791,0.10621452331542969,56.91334056854248,1208_2016,0.7734375,0.8839285714285714
1938,1890,48,425,39.44286823272705,0.10621452331542969,39.33665370941162,1208_2315,0.9752321981424149,0.816414686825054
2160,2160,0,272,45.19882154464722,0.10621452331542969,45.09260702133179,1208_2432,1.0,0.8881578947368421
462,462,0,54,3.9050421714782715,0.10621452331542969,3.798827648162842,1208_516,1.0,0.8953488372093024
1080,1080,0,128,13.128983497619629,0.17457938194274902,12.95440411567688,1214_1208,1.0,0.8940397350993378
1155,1155,0,250,16.932103157043457,0.17457938194274902,16.757523775100708,1214_1405,1.0,0.8220640569395018
1330,1330,0,150,12.267526388168335,0.17457938194274902,12.092947006225586,1214_1480,1.0,0.8986486486486487
1386,1386,0,180,39.68498992919922,0.17457938194274902,39.51041054725647,1214_1566,1.0,0.8850574712643678
2534,1610,924,96,39.535563707351685,0.17457938194274902,39.360984325408936,1214_1706,0.6353591160220995,0.943728018757327
1782,1782,0,234,65.32809352874756,0.17457938194274902,65.15351414680481,1214_2016,1.0,0.8839285714285714
3450,2190,1260,125,44.95920181274414,0.17457938194274902,44.78462243080139,1214_2315,0.6347826086956522,0.9460043196544277
2160,2160,0,272,51.82753276824951,0.17457938194274902,51.65295338630676,1214_2432,1.0,0.8881578947368421
462,462,0,54,4.5356409549713135,0.17457938194274902,4.3610615730285645,1214_516,1.0,0.8953488372093024
1272,1112,160,96,11.46956491470337,0.08669805526733398,11.382866859436035,1405_1208,0.8742138364779874,0.9205298013245033
990,990,0,224,17.737098932266235,0.08669805526733398,17.6504008769989,1405_1214,1.0,0.8154859967051071
1474,1330,144,150,10.776312112808228,0.08669805526733398,10.689614057540894,1405_1480,0.9023066485753053,0.8986486486486487
1656,1386,270,180,34.927234172821045,0.08669805526733398,34.84053611755371,1405_1566,0.8369565217391305,0.8850574712643678
1386,1386,0,320,34.76437067985535,0.08669805526733398,34.67767262458801,1405_1706,1.0,0.8124267291910903
3348,1782,1566,234,57.3711884021759,0.08669805526733398,57.28449034690857,1405_2016,0.532258064516129,0.8839285714285714
1890,1890,0,425,39.69982695579529,0.08669805526733398,39.613128900527954,1405_2315,1.0,0.816414686825054
3108,2228,880,204,45.583253383636475,0.08669805526733398,45.49655532836914,1405_2432,0.7168597168597168,0.9161184210526315
462,462,0,54,3.9164228439331055,0.08669805526733398,3.8297247886657715,1405_516,1.0,0.8953488372093024
1080,1080,0,128,11.35320496559143,0.07561850547790527,11.277586460113525,1480_1208,1.0,0.8940397350993378
990,990,0,224,17.618699073791504,0.07561850547790527,17.5430805683136,1480_1214,1.0,0.8154859967051071
1155,1155,0,250,14.70950198173523,0.07561850547790527,14.633883476257324,1480_1405,1.0,0.8220640569395018
1476,1386,90,180,34.565635204315186,0.07561850547790527,34.49001669883728,1480_1566,0.9390243902439024,0.8850574712643678
1386,1386,0,320,34.5831024646759,0.07561850547790527,34.507483959198,1480_1706,1.0,0.8124267291910903
2304,1782,522,234,56.960071086883545,0.07561850547790527,56.88445258140564,1480_2016,0.7734375,0.8839285714285714
1890,1890,0,425,39.3530056476593,0.07561850547790527,39.2773871421814,1480_2315,1.0,0.816414686825054
2200,2160,40,272,45.272238969802856,0.07561850547790527,45.19662046432495,1480_2432,0.9818181818181818,0.8881578947368421
462,462,0,54,3.881094217300415,0.07561850547790527,3.8054757118225098,1480_516,1.0,0.8953488372093024
