CL,TP,FP,FN,T,T_T,T_P,Instances,Precision,Recall
0,0,0,2016,0.024419069290161133,0.024400711059570312,1.8358230590820312e-05,2016_2016,0,0.0
0,0,0,216,0.02440786361694336,0.024400711059570312,7.152557373046875e-06,2016_216,0,0.0
0,0,0,3136,0.02441716194152832,0.024400711059570312,1.6450881958007812e-05,2016_3136,0,0.0
0,0,0,4050,0.024409055709838867,0.024400711059570312,8.344650268554688e-06,2016_4050,0,0.0
0,0,0,4992,0.024417638778686523,0.024400711059570312,1.6927719116210938e-05,2016_4992,0,0.0
0,0,0,544,0.02440810203552246,0.024400711059570312,7.3909759521484375e-06,2016_544,0,0.0
0,0,0,56,0.024408340454101562,0.024400711059570312,7.62939453125e-06,2016_56,0,0.0
0,0,0,810,0.02440810203552246,0.024400711059570312,7.3909759521484375e-06,2016_810,0,0.0
0,0,0,2016,0.0031616687774658203,0.003153562545776367,8.106231689453125e-06,216_2016,0,0.0
0,0,0,3136,0.003169536590576172,0.003153562545776367,1.5974044799804688e-05,216_3136,0,0.0
0,0,0,4050,0.0031609535217285156,0.003153562545776367,7.3909759521484375e-06,216_4050,0,0.0
0,0,0,4992,0.003169536590576172,0.003153562545776367,1.5974044799804688e-05,216_4992,0,0.0
0,0,0,544,0.0031609535217285156,0.003153562545776367,7.3909759521484375e-06,216_544,0,0.0
0,0,0,56,0.0031604766845703125,0.003153562545776367,6.9141387939453125e-06,216_56,0,0.0
0,0,0,810,0.0031609535217285156,0.003153562545776367,7.3909759521484375e-06,216_810,0,0.0
0,0,0,2016,0.03831195831298828,0.03829193115234375,2.002716064453125e-05,3136_2016,0,0.0
0,0,0,216,0.038300514221191406,0.03829193115234375,8.58306884765625e-06,3136_216,0,0.0
0,0,0,3136,0.03830766677856445,0.03829193115234375,1.5735626220703125e-05,3136_3136,0,0.0
0,0,0,4050,0.038307905197143555,0.03829193115234375,1.5974044799804688e-05,3136_4050,0,0.0
0,0,0,4992,0.03830838203430176,0.03829193115234375,1.6450881958007812e-05,3136_4992,0,0.0
0,0,0,544,0.038305044174194336,0.03829193115234375,1.3113021850585938e-05,3136_544,0,0.0
0,0,0,56,0.03830099105834961,0.03829193115234375,9.059906005859375e-06,3136_56,0,0.0
0,0,0,810,0.0382993221282959,0.03829193115234375,7.3909759521484375e-06,3136_810,0,0.0
0,0,0,2016,0.04867362976074219,0.04866600036621094,7.62939453125e-06,4050_2016,0,0.0
0,0,0,216,0.04868292808532715,0.04866600036621094,1.6927719116210938e-05,4050_216,0,0.0
0,0,0,3136,0.04868197441101074,0.04866600036621094,1.5974044799804688e-05,4050_3136,0,0.0
0,0,0,4992,0.048682212829589844,0.04866600036621094,1.621246337890625e-05,4050_4992,0,0.0
0,0,0,544,0.048673391342163086,0.04866600036621094,7.3909759521484375e-06,4050_544,0,0.0
0,0,0,56,0.048673391342163086,0.04866600036621094,7.3909759521484375e-06,4050_56,0,0.0
0,0,0,810,0.048673152923583984,0.04866600036621094,7.152557373046875e-06,4050_810,0,0.0
0,0,0,2016,0.1324763298034668,0.13246870040893555,7.62939453125e-06,4992_2016,0,0.0
0,0,0,216,0.1324775218963623,0.13246870040893555,8.821487426757812e-06,4992_216,0,0.0
0,0,0,3136,0.13248515129089355,0.13246870040893555,1.6450881958007812e-05,4992_3136,0,0.0
0,0,0,4050,0.132476806640625,0.13246870040893555,8.106231689453125e-06,4992_4050,0,0.0
0,0,0,544,0.1324763298034668,0.13246870040893555,7.62939453125e-06,4992_544,0,0.0
0,0,0,56,0.1324927806854248,0.13246870040893555,2.4080276489257812e-05,4992_56,0,0.0
0,0,0,810,0.1324760913848877,0.13246870040893555,7.3909759521484375e-06,4992_810,0,0.0
0,0,0,2016,0.007219552993774414,0.007199764251708984,1.9788742065429688e-05,544_2016,0,0.0
0,0,0,216,0.007215023040771484,0.007199764251708984,1.52587890625e-05,544_216,0,0.0
0,0,0,3136,0.007216215133666992,0.007199764251708984,1.6450881958007812e-05,544_3136,0,0.0
0,0,0,4050,0.007208108901977539,0.007199764251708984,8.344650268554688e-06,544_4050,0,0.0
0,0,0,4992,0.00722193717956543,0.007199764251708984,2.2172927856445312e-05,544_4992,0,0.0
0,0,0,56,0.00721287727355957,0.007199764251708984,1.3113021850585938e-05,544_56,0,0.0
0,0,0,810,0.007207632064819336,0.007199764251708984,7.867813110351562e-06,544_810,0,0.0
0,0,0,2016,0.0009353160858154297,0.0009279251098632812,7.3909759521484375e-06,56_2016,0,0.0
0,0,0,216,0.0009350776672363281,0.0009279251098632812,7.152557373046875e-06,56_216,0,0.0
0,0,0,3136,0.0009438991546630859,0.0009279251098632812,1.5974044799804688e-05,56_3136,0,0.0
0,0,0,4050,0.0009357929229736328,0.0009279251098632812,7.867813110351562e-06,56_4050,0,0.0
0,0,0,4992,0.0009436607360839844,0.0009279251098632812,1.5735626220703125e-05,56_4992,0,0.0
0,0,0,544,0.0009360313415527344,0.0009279251098632812,8.106231689453125e-06,56_544,0,0.0
0,0,0,810,0.0009355545043945312,0.0009279251098632812,7.62939453125e-06,56_810,0,0.0
0,0,0,2016,0.0102386474609375,0.010219335556030273,1.9311904907226562e-05,810_2016,0,0.0
0,0,0,216,0.010238885879516602,0.010219335556030273,1.9550323486328125e-05,810_216,0,0.0
0,0,0,3136,0.010241031646728516,0.010219335556030273,2.1696090698242188e-05,810_3136,0,0.0
0,0,0,4050,0.010233163833618164,0.010219335556030273,1.3828277587890625e-05,810_4050,0,0.0
0,0,0,4992,0.01024007797241211,0.010219335556030273,2.0742416381835938e-05,810_4992,0,0.0
0,0,0,544,0.010233163833618164,0.010219335556030273,1.3828277587890625e-05,810_544,0,0.0
