CL,TP,FP,FN,T,T_T,T_P,Instances,Precision,Recall
1485,1485,0,0,2.30763578414917,0.021566152572631836,2.286069631576538,105_1485,1.0,1.0
210,210,0,0,0.34551119804382324,0.021566152572631836,0.3239450454711914,105_210,1.0,1.0
2145,2145,0,0,3.4764795303344727,0.021566152572631836,3.454913377761841,105_2145,1.0,1.0
3003,3003,0,0,4.634403228759766,0.021566152572631836,4.612837076187134,105_3003,1.0,1.0
378,378,0,0,0.6048014163970947,0.021566152572631836,0.5832352638244629,105_378,1.0,1.0
4095,4095,0,0,6.319980144500732,0.021566152572631836,6.298413991928101,105_4095,1.0,1.0
45,45,0,0,0.0946502685546875,0.021566152572631836,0.07308411598205566,105_45,1.0,1.0
630,630,0,0,0.9941930770874023,0.021566152572631836,0.9726269245147705,105_630,1.0,1.0
990,990,0,0,1.5479204654693604,0.021566152572631836,1.5263543128967285,105_990,1.0,1.0
105,105,0,0,0.2097020149230957,0.047331809997558594,0.1623702049255371,1485_105,1.0,1.0
210,210,0,0,0.37054920196533203,0.047331809997558594,0.32321739196777344,1485_210,1.0,1.0
2145,2145,0,0,3.3492090702056885,0.047331809997558594,3.30187726020813,1485_2145,1.0,1.0
3003,3003,0,0,4.659261465072632,0.047331809997558594,4.611929655075073,1485_3003,1.0,1.0
378,378,0,0,0.6313686370849609,0.047331809997558594,0.5840368270874023,1485_378,1.0,1.0
4095,4095,0,0,6.482196092605591,0.047331809997558594,6.434864282608032,1485_4095,1.0,1.0
45,45,0,0,0.1203620433807373,0.047331809997558594,0.07303023338317871,1485_45,1.0,1.0
630,630,0,0,1.0163660049438477,0.047331809997558594,0.9690341949462891,1485_630,1.0,1.0
990,990,0,0,1.569782018661499,0.047331809997558594,1.5224502086639404,1485_990,1.0,1.0
105,105,0,0,0.18632173538208008,0.023707866668701172,0.1626138687133789,210_105,1.0,1.0
1485,1485,0,0,2.310223340988159,0.023707866668701172,2.286515474319458,210_1485,1.0,1.0
2145,2145,0,0,3.332662343978882,0.023707866668701172,3.3089544773101807,210_2145,1.0,1.0
3003,3003,0,0,4.794504880905151,0.023707866668701172,4.77079701423645,210_3003,1.0,1.0
378,378,0,0,0.6076140403747559,0.023707866668701172,0.5839061737060547,210_378,1.0,1.0
4095,4095,0,0,6.333334445953369,0.023707866668701172,6.309626579284668,210_4095,1.0,1.0
45,45,0,0,0.09678912162780762,0.023707866668701172,0.07308125495910645,210_45,1.0,1.0
630,630,0,0,1.1368255615234375,0.023707866668701172,1.1131176948547363,210_630,1.0,1.0
990,990,0,0,1.5488245487213135,0.023707866668701172,1.5251166820526123,210_990,1.0,1.0
105,105,0,0,0.22104620933532715,0.05882716178894043,0.16221904754638672,2145_105,1.0,1.0
1485,1485,0,0,2.3399641513824463,0.05882716178894043,2.281136989593506,2145_1485,1.0,1.0
210,210,0,0,0.3821597099304199,0.05882716178894043,0.3233325481414795,2145_210,1.0,1.0
3003,3003,0,0,4.821823835372925,0.05882716178894043,4.762996673583984,2145_3003,1.0,1.0
378,378,0,0,0.6408686637878418,0.05882716178894043,0.5820415019989014,2145_378,1.0,1.0
4095,4095,0,0,6.501316070556641,0.05882716178894043,6.4424889087677,2145_4095,1.0,1.0
45,45,0,0,0.13176703453063965,0.05882716178894043,0.07293987274169922,2145_45,1.0,1.0
630,630,0,0,1.0275354385375977,0.05882716178894043,0.9687082767486572,2145_630,1.0,1.0
