CL,TP,FP,FN,T,T_T,T_P,Instances,Precision,Recall
1262,1214,48,0,68.36331224441528,3.1067235469818115,65.25658869743347,1208_1214,0.9619651347068146,1.0
1405,1405,0,0,46.944387435913086,3.1067235469818115,43.837663888931274,1208_1405,1.0,1.0
1480,1480,0,0,41.170007944107056,3.1067235469818115,38.063284397125244,1208_1480,1.0,1.0
2286,1566,720,0,127.17427134513855,3.1067235469818115,124.06754779815674,1208_1566,0.6850393700787402,1.0
1882,1706,176,0,127.23786163330078,3.1067235469818115,124.13113808631897,1208_1706,0.9064824654622742,1.0
3762,2016,1746,0,205.25767636299133,3.1067235469818115,202.15095281600952,1208_2016,0.5358851674641149,1.0
2390,2315,75,0,121.50488948822021,3.1067235469818115,118.3981659412384,1208_2315,0.9686192468619247,1.0
2512,2432,80,0,200.979106426239,3.1067235469818115,197.8723828792572,1208_2432,0.9681528662420382,1.0
678,516,162,0,17.833143949508667,3.1067235469818115,14.726420402526855,1208_516,0.7610619469026548,1.0
1848,1208,640,0,76.65142750740051,3.3886172771453857,73.26281023025513,1214_1208,0.6536796536796536,1.0
1405,1405,0,0,45.469364643096924,3.3886172771453857,42.08074736595154,1214_1405,1.0,1.0
2080,1480,600,0,47.94882249832153,3.3886172771453857,44.56020522117615,1214_1480,0.7115384615384616,1.0
2466,1566,900,0,140.44748783111572,3.3886172771453857,137.05887055397034,1214_1566,0.635036496350365,1.0
1706,1706,0,0,140.7768132686615,3.3886172771453857,137.3881959915161,1214_1706,1.0,1.0
3186,2016,1170,0,220.37853264808655,3.3886172771453857,216.98991537094116,1214_2016,0.632768361581921,1.0
2315,2315,0,0,117.81977868080139,3.3886172771453857,114.431161403656,1214_2315,1.0,1.0
3792,2432,1360,0,250.62553358078003,3.3886172771453857,247.23691630363464,1214_2432,0.6413502109704642,1.0
786,516,270,0,21.478368759155273,3.3886172771453857,18.089751482009888,1214_516,0.6564885496183206,1.0
1248,1208,40,0,44.72153425216675,2.038459539413452,42.683074712753296,1405_1208,0.967948717948718,1.0
1262,1214,48,0,54.47998642921448,2.038459539413452,52.441526889801025,1405_1214,0.9619651347068146,1.0
1504,1480,24,0,32.72265815734863,2.038459539413452,30.68419861793518,1405_1480,0.9840425531914894,1.0
1736,1566,170,0,101.99705982208252,2.038459539413452,99.95860028266907,1405_1566,0.902073732718894,1.0
1882,1706,176,0,101.79585075378418,2.038459539413452,99.75739121437073,1405_1706,0.9064824654622742,1.0
2552,2016,536,0,164.73863649368286,2.038459539413452,162.7001769542694,1405_2016,0.7899686520376176,1.0
2390,2315,75,0,97.49422192573547,2.038459539413452,95.45576238632202,1405_2315,0.9686192468619247,1.0
2622,2432,190,0,161.03246569633484,2.038459539413452,158.9940061569214,1405_2432,0.927536231884058,1.0
546,516,30,0,13.884045124053955,2.038459539413452,11.845585584640503,1405_516,0.945054945054945,1.0
1208,1208,0,0,47.596848011016846,2.335946798324585,45.26090121269226,1480_1208,1.0,1.0
1262,1214,48,0,57.91025900840759,2.335946798324585,55.57431221008301,1480_1214,0.9619651347068146,1.0
1405,1405,0,0,39.867151498794556,2.335946798324585,37.53120470046997,1480_1405,1.0,1.0
1611,1566,45,0,108.38062500953674,2.335946798324585,106.04467821121216,1480_1566,0.9720670391061452,1.0
1882,1706,176,0,108.34584140777588,2.335946798324585,106.0098946094513,1480_1706,0.9064824654622742,1.0
2277,2016,261,0,175.02420663833618,2.335946798324585,172.6882598400116,1480_2016,0.8853754940711462,1.0
2390,2315,75,0,103.34365606307983,2.335946798324585,101.00770926475525,1480_2315,0.9686192468619247,1.0
2512,2432,80,0,171.00265264511108,2.335946798324585,168.6667058467865,1480_2432,0.9681528662420382,1.0
516,516,0,0,14.911571502685547,2.335946798324585,12.575624704360962,1480_516,1.0,1.0
1720,1208,512,0,81.61118578910828,4.413635015487671,77.1975507736206,1566_1208,0.7023255813953488,1.0
1214,1214,0,0,84.568430185318,4.413635015487671,80.15479516983032,1566_1214,1.0,1.0
1405,1405,0,0,49.30030560493469,4.413635015487671,44.88667058944702,1566_1405,1.0,1.0
2080,1480,600,0,51.64485573768616,4.413635015487671,47.231220722198486,1566_1480,0.7115384615384616,1.0
1706,1706,0,0,149.85841035842896,4.413635015487671,145.44477534294128,1566_1706,1.0,1.0
2016,2016,0,0,239.29985642433167,4.413635015487671,234.886221408844,1566_2016,1.0,1.0
2315,2315,0,0,127.14551305770874,4.413635015487671,122.73187804222107,1566_2315,1.0,1.0
3520,2432,1088,0,266.74071049690247,4.413635015487671,262.3270754814148,1566_2432,0.6909090909090909,1.0
516,516,0,0,23.641285181045532,4.413635015487671,19.22765016555786,1566_516,1.0,1.0
1848,1208,640,0,79.7979199886322,4.301521301269531,75.49639868736267,1706_1208,0.6536796536796536,1.0
1214,1214,0,0,78.89315176010132,4.301521301269531,74.59163045883179,1706_1214,1.0,1.0
1385,1385,0,20,48.34408092498779,4.301521301269531,44.04255962371826,1706_1405,1.0,0.9857651245551602
2080,1480,600,0,50.59158992767334,4.301521301269531,46.29006862640381,1706_1480,0.7115384615384616,1.0
2466,1566,900,0,147.06922268867493,4.301521301269531,142.7677013874054,1706_1566,0.635036496350365,1.0
3186,2016,1170,0,231.75280952453613,4.301521301269531,227.4512882232666,1706_2016,0.632768361581921,1.0
2305,2305,0,10,123.29387545585632,4.301521301269531,118.99235415458679,1706_2315,1.0,0.9956803455723542
3792,2432,1360,0,261.46155548095703,4.301521301269531,257.1600341796875,1706_2432,0.6413502109704642,1.0
786,516,270,0,23.14921545982361,4.301521301269531,18.847694158554077,1706_516,0.6564885496183206,1.0
1424,1168,256,40,80.96411395072937,5.511854410171509,75.45225954055786,2016_1208,0.8202247191011236,0.9668874172185431
1144,1144,0,70,83.94555997848511,5.511854410171509,78.4337055683136,2016_1214,1.0,0.942339373970346
1295,1295,0,110,49.53047013282776,5.511854410171509,44.01861572265625,2016_1405,1.0,0.9217081850533808
1654,1414,240,66,51.65785455703735,5.511854410171509,46.146000146865845,2016_1480,0.8548972188633616,0.9554054054054054
1566,1566,0,0,148.0706558227539,5.511854410171509,142.5588014125824,2016_1566,1.0,1.0
1606,1606,0,100,148.10471534729004,5.511854410171509,142.59286093711853,2016_1706,1.0,0.9413833528722158
2128,2128,0,187,125.72435784339905,5.511854410171509,120.21250343322754,2016_2315,1.0,0.9192224622030237
2891,2347,544,85,262.1964716911316,5.511854410171509,256.6846172809601,2016_2432,0.8118298166724317,0.9650493421052632
516,516,0,0,24.313503742218018,5.511854410171509,18.80164933204651,2016_516,1.0,1.0
1248,1208,40,0,76.65269780158997,3.8567733764648438,72.79592442512512,2315_1208,0.967948717948718,1.0
1214,1214,0,0,75.72457766532898,3.8567733764648438,71.86780428886414,2315_1214,1.0,1.0
1405,1405,0,0,46.346702098846436,3.8567733764648438,42.48992872238159,2315_1405,1.0,1.0
1528,1480,48,0,48.474061250686646,3.8567733764648438,44.6172878742218,2315_1480,0.9685863874345549,1.0
1566,1566,0,0,141.35888624191284,3.8567733764648438,137.502112865448,2315_1566,1.0,1.0
1706,1706,0,0,141.64322066307068,3.8567733764648438,137.78644728660583,2315_1706,1.0,1.0
2016,2016,0,0,223.01877975463867,3.8567733764648438,219.16200637817383,2315_2016,1.0,1.0
2517,2432,85,0,251.71406817436218,3.8567733764648438,247.85729479789734,2315_2432,0.9662296384584823,1.0
516,516,0,0,22.004361629486084,3.8567733764648438,18.14758825302124,2315_516,1.0,1.0
1208,1208,0,0,57.739314556121826,5.251406669616699,52.48790788650513,2432_1208,1.0,1.0
1214,1214,0,0,69.84062886238098,5.251406669616699,64.58922219276428,2432_1214,1.0,1.0
1405,1405,0,0,48.59268641471863,5.251406669616699,43.34127974510193,2432_1405,1.0,1.0
1480,1480,0,0,42.842950105667114,5.251406669616699,37.591543436050415,2432_1480,1.0,1.0
2106,1566,540,0,127.7966103553772,5.251406669616699,122.5452036857605,2432_1566,0.7435897435897436,1.0
1706,1706,0,0,127.69441747665405,5.251406669616699,122.44301080703735,2432_1706,1.0,1.0
2718,2016,702,0,205.07551336288452,5.251406669616699,199.82410669326782,2432_2016,0.7417218543046358,1.0
2315,2315,0,0,122.34511184692383,5.251406669616699,117.09370517730713,2432_2315,1.0,1.0
