CL,TP,FP,FN,T,T_T,T_P,Instances,Precision,Recall
876,876,0,338,24.14443826675415,0.11857843399047852,24.025859832763672,1208_1214,1.0,0.7215815485996705
974,974,0,431,19.715803861618042,0.11857843399047852,19.597225427627563,1208_1405,1.0,0.6932384341637011
1244,1244,0,236,14.383787393569946,0.11857843399047852,14.265208959579468,1208_1480,1.0,0.8405405405405405
1386,1146,240,420,46.47485661506653,0.11857843399047852,46.35627818107605,1208_1566,0.8268398268398268,0.7318007662835249
1230,1230,0,476,46.16395092010498,0.11857843399047852,46.0453724861145,1208_1706,1.0,0.7209847596717468
1788,1476,312,540,76.88917207717896,0.11857843399047852,76.77059364318848,1208_2016,0.825503355704698,0.7321428571428571
1604,1604,0,711,52.293848752975464,0.11857843399047852,52.175270318984985,1208_2315,1.0,0.6928725701943844
2270,2270,0,162,61.20625019073486,0.11857843399047852,61.087671756744385,1208_2432,1.0,0.9333881578947368
448,376,72,140,5.23630428314209,0.11857843399047852,5.117725849151611,1208_516,0.8392857142857143,0.7286821705426356
1074,1074,0,134,17.77162194252014,0.19824504852294922,17.573376893997192,1214_1208,1.0,0.8890728476821192
1156,1156,0,249,21.757922887802124,0.19824504852294922,21.559677839279175,1214_1405,1.0,0.8227758007117437
1272,1272,0,208,16.12435507774353,0.19824504852294922,15.926110029220581,1214_1480,1.0,0.8594594594594595
1614,1294,320,272,51.75176191329956,0.19824504852294922,51.55351686477661,1214_1566,0.8017348203221809,0.8263090676883781
1421,1421,0,285,51.62759804725647,0.19824504852294922,51.42935299873352,1214_1706,1.0,0.8329425556858148
2082,1666,416,350,85.37171769142151,0.19824504852294922,85.17347264289856,1214_2016,0.8001921229586936,0.8263888888888888
1857,1857,0,458,57.8904972076416,0.19824504852294922,57.69225215911865,1214_2315,1.0,0.8021598272138228
2163,2163,0,269,69.70788502693176,0.19824504852294922,69.50963997840881,1214_2432,1.0,0.889391447368421
522,426,96,90,5.948808670043945,0.19824504852294922,5.750563621520996,1214_516,0.8160919540229885,0.8255813953488372
923,923,0,285,15.50190019607544,0.09412217140197754,15.407778024673462,1405_1208,1.0,0.7640728476821192
904,904,0,310,23.786424160003662,0.09412217140197754,23.692301988601685,1405_1214,1.0,0.7446457990115322
1143,1143,0,337,14.450964450836182,0.09412217140197754,14.356842279434204,1405_1480,1.0,0.7722972972972973
1368,1128,240,438,46.53499984741211,0.09412217140197754,46.44087767601013,1405_1566,0.8245614035087719,0.7203065134099617
1270,1270,0,436,46.57990598678589,0.09412217140197754,46.48578381538391,1405_1706,1.0,0.7444314185228605
1764,1452,312,564,76.99530673027039,0.09412217140197754,76.90118455886841,1405_2016,0.8231292517006803,0.7202380952380952
1765,1765,0,550,52.882397174835205,0.09412217140197754,52.78827500343323,1405_2315,1.0,0.7624190064794817
1859,1859,0,573,61.77858376502991,0.09412217140197754,61.68446159362793,1405_2432,1.0,0.764391447368421
444,372,72,144,5.248214483261108,0.09412217140197754,5.154092311859131,1405_516,0.8378378378378378,0.7209302325581395
721,721,0,487,15.493649244308472,0.08257293701171875,15.411076307296753,1480_1208,1.0,0.5968543046357616
934,934,0,280,23.58948826789856,0.08257293701171875,23.50691533088684,1480_1214,1.0,0.7693574958813838
1050,1050,0,355,19.640466451644897,0.08257293701171875,19.55789351463318,1480_1405,1.0,0.7473309608540926
1371,1171,200,395,46.16577649116516,0.08257293701171875,46.08320355415344,1480_1566,0.8541210795040116,0.7477650063856961
1312,1312,0,394,46.11802697181702,0.08257293701171875,46.0354540348053,1480_1706,1.0,0.7690504103165299
1767,1507,260,509,76.35818266868591,0.08257293701171875,76.2756097316742,1480_2016,0.8528579513299378,0.7475198412698413
1729,1729,0,586,52.4425151348114,0.08257293701171875,52.35994219779968,1480_2315,1.0,0.7468682505399568
1450,1450,0,982,61.231926918029785,0.08257293701171875,61.149353981018066,1480_2432,1.0,0.5962171052631579
447,387,60,129,5.189576148986816,0.08257293701171875,5.107003211975098,1480_516,0.8657718120805369,0.75
915,915,0,293,18.096586227416992,0.39751577377319336,17.6990704536438,1566_1208,1.0,0.7574503311258278
815,815,0,399,27.027312994003296,0.39751577377319336,26.629797220230103,1566_1214,1.0,0.671334431630972
975,975,0,430,22.235839128494263,0.39751577377319336,21.83832335472107,1566_1405,1.0,0.693950177935943
1046,1046,0,434,16.4524245262146,0.39751577377319336,16.054908752441406,1566_1480,1.0,0.7067567567567568
1145,1145,0,561,52.31318473815918,0.39751577377319336,51.915668964385986,1566_1706,1.0,0.6711606096131302
1431,1431,0,585,86.3719744682312,0.39751577377319336,85.97445869445801,1566_2016,1.0,0.7098214285714286
1605,1605,0,710,58.94379258155823,0.39751577377319336,58.546276807785034,1566_2315,1.0,0.693304535637149
1842,1842,0,590,70.34177684783936,0.39751577377319336,69.94426107406616,1566_2432,1.0,0.7574013157894737
369,369,0,147,6.190927743911743,0.39751577377319336,5.79341197013855,1566_516,1.0,0.7151162790697675
687,687,0,521,18.325478315353394,0.3969748020172119,17.92850351333618,1706_1208,1.0,0.5687086092715232
929,929,0,285,27.026058673858643,0.3969748020172119,26.62908387184143,1706_1214,1.0,0.7652388797364086
1012,1012,0,393,22.30379009246826,0.3969748020172119,21.90681529045105,1706_1405,1.0,0.7202846975088968
870,870,0,610,16.56232786178589,0.3969748020172119,16.165353059768677,1706_1480,1.0,0.5878378378378378
1026,986,40,580,52.92298698425293,0.3969748020172119,52.52601218223572,1706_1566,0.9610136452241715,0.6296296296296297
1320,1268,52,748,86.89714479446411,0.3969748020172119,86.5001699924469,1706_2016,0.9606060606060606,0.628968253968254
1783,1783,0,532,58.82932114601135,0.3969748020172119,58.43234634399414,1706_2315,1.0,0.770194384449244
1380,1380,0,1052,70.96495199203491,0.3969748020172119,70.5679771900177,1706_2432,1.0,0.5674342105263158
340,328,12,188,6.2687437534332275,0.3969748020172119,5.871768951416016,1706_516,0.9647058823529412,0.6356589147286822
1028,1028,0,180,18.6248619556427,0.651881217956543,17.972980737686157,2016_1208,1.0,0.8509933774834437
1155,1155,0,59,27.58269214630127,0.651881217956543,26.930810928344727,2016_1214,1.0,0.9514003294892917
1309,1309,0,96,22.51642346382141,0.651881217956543,21.864542245864868,2016_1405,1.0,0.9316725978647686
1222,1222,0,258,16.8004047870636,0.651881217956543,16.148523569107056,2016_1480,1.0,0.8256756756756757
1392,1392,0,174,53.20741033554077,0.651881217956543,52.55552911758423,2016_1566,1.0,0.8888888888888888
1623,1623,0,83,53.210331439971924,0.651881217956543,52.55845022201538,2016_1706,1.0,0.9513481828839391
2156,2156,0,159,59.865159034729004,0.651881217956543,59.21327781677246,2016_2315,1.0,0.931317494600432
2072,2072,0,360,72.46301889419556,0.651881217956543,71.81113767623901,2016_2432,1.0,0.8519736842105263
454,454,0,62,6.478459358215332,0.651881217956543,5.826578140258789,2016_516,1.0,0.8798449612403101
1095,839,256,369,18.601274967193604,0.32641005516052246,18.27486491203308,2315_1208,0.7662100456621005,0.6945364238410596
879,827,52,387,27.74311137199402,0.32641005516052246,27.416701316833496,2315_1214,0.9408418657565415,0.6812191103789127
1281,1015,266,390,22.08683466911316,0.32641005516052246,21.760424613952637,2315_1405,0.7923497267759563,0.7224199288256228
1138,1028,110,452,16.959611415863037,0.32641005516052246,16.633201360702515,2315_1480,0.9033391915641477,0.6945945945945946
4398,958,3440,608,52.60770630836487,0.32641005516052246,52.281296253204346,2315_1566,0.2178262846748522,0.611749680715198
