CL,TP,FP,FN,T,T_T,T_P,Instances,Precision,Recall
2016,2016,0,0,1.394164800643921,0.14978384971618652,1.2443809509277344,2016_2016,1.0,1.0
216,216,0,0,0.2634615898132324,0.14978384971618652,0.1136777400970459,2016_216,1.0,1.0
3136,3136,0,0,2.7918477058410645,0.14978384971618652,2.642063856124878,2016_3136,1.0,1.0
4050,4050,0,0,3.13777756690979,0.14978384971618652,2.9879937171936035,2016_4050,1.0,1.0
4992,4992,0,0,3.78336501121521,0.14978384971618652,3.6335811614990234,2016_4992,1.0,1.0
544,544,0,0,0.40874314308166504,0.14978384971618652,0.2589592933654785,2016_544,1.0,1.0
56,56,0,0,0.20935511589050293,0.14978384971618652,0.059571266174316406,2016_56,1.0,1.0
810,810,0,0,0.5731141567230225,0.14978384971618652,0.42333030700683594,2016_810,1.0,1.0
2016,2016,0,0,1.050623893737793,0.08395814895629883,0.9666657447814941,216_2016,1.0,1.0
3136,3136,0,0,1.798563003540039,0.08395814895629883,1.7146048545837402,216_3136,1.0,1.0
4050,4050,0,0,2.1810333728790283,0.08395814895629883,2.0970752239227295,216_4050,1.0,1.0
4992,4992,0,0,2.7454285621643066,0.08395814895629883,2.661470413208008,216_4992,1.0,1.0
544,544,0,0,0.31141233444213867,0.08395814895629883,0.22745418548583984,216_544,1.0,1.0
56,56,0,0,0.14562106132507324,0.08395814895629883,0.061662912368774414,216_56,1.0,1.0
810,810,0,0,0.40850090980529785,0.08395814895629883,0.324542760848999,216_810,1.0,1.0
2016,2016,0,0,1.0180027484893799,0.742419958114624,0.27558279037475586,3136_2016,1.0,1.0
216,216,0,0,0.8237185478210449,0.742419958114624,0.0812985897064209,3136_216,1.0,1.0
3136,3136,0,0,1.2669541835784912,0.742419958114624,0.5245342254638672,3136_3136,1.0,1.0
4050,4050,0,0,1.21211576461792,0.742419958114624,0.4696958065032959,3136_4050,1.0,1.0
4992,4992,0,0,1.357424259185791,0.742419958114624,0.615004301071167,3136_4992,1.0,1.0
544,544,0,0,0.8628942966461182,0.742419958114624,0.12047433853149414,3136_544,1.0,1.0
56,56,0,0,0.7969975471496582,0.742419958114624,0.05457758903503418,3136_56,1.0,1.0
810,810,0,0,0.8823513984680176,0.742419958114624,0.13993144035339355,3136_810,1.0,1.0
2016,2016,0,0,0.625971794128418,0.24790310859680176,0.3780686855316162,4050_2016,1.0,1.0
216,216,0,0,0.32529497146606445,0.24790310859680176,0.0773918628692627,4050_216,1.0,1.0
3136,3136,0,0,1.2937662601470947,0.24790310859680176,1.045863151550293,4050_3136,1.0,1.0
4992,4992,0,0,1.3514125347137451,0.24790310859680176,1.1035094261169434,4050_4992,1.0,1.0
544,544,0,0,0.3788759708404541,0.24790310859680176,0.13097286224365234,4050_544,1.0,1.0
56,56,0,0,0.305492639541626,0.24790310859680176,0.05758953094482422,4050_56,1.0,1.0
810,810,0,0,0.43237733840942383,0.24790310859680176,0.18447422981262207,4050_810,1.0,1.0
2232,1872,360,144,1.0787622928619385,0.7949967384338379,0.2837655544281006,4992_2016,0.8387096774193549,0.9285714285714286
252,204,48,12,0.8628518581390381,0.7949967384338379,0.0678551197052002,4992_216,0.8095238095238095,0.9444444444444444
2646,2632,14,504,1.2015657424926758,0.7949967384338379,0.4065690040588379,4992_3136,0.9947089947089947,0.8392857142857143
3600,3480,120,570,1.2523038387298584,0.7949967384338379,0.4573071002960205,4992_4050,0.9666666666666667,0.8592592592592593
736,544,192,0,0.9109058380126953,0.7949967384338379,0.11590909957885742,4992_544,0.7391304347826086,1.0
56,56,0,0,0.8526489734649658,0.7949967384338379,0.05765223503112793,4992_56,1.0,1.0
810,810,0,0,0.9321811199188232,0.7949967384338379,0.13718438148498535,4992_810,1.0,1.0
2016,2016,0,0,0.5478379726409912,0.1059269905090332,0.441910982131958,544_2016,1.0,1.0
216,216,0,0,0.1893770694732666,0.1059269905090332,0.0834500789642334,544_216,1.0,1.0
3136,3136,0,0,0.8882961273193359,0.1059269905090332,0.7823691368103027,544_3136,1.0,1.0
3930,3930,0,120,1.072568416595459,0.1059269905090332,0.9666414260864258,544_4050,1.0,0.9703703703703703
4992,4992,0,0,1.3565123081207275,0.1059269905090332,1.2505853176116943,544_4992,1.0,1.0
56,56,0,0,0.15918350219726562,0.1059269905090332,0.05325651168823242,544_56,1.0,1.0
810,810,0,0,0.29661035537719727,0.1059269905090332,0.19068336486816406,544_810,1.0,1.0
2016,2016,0,0,0.8608126640319824,0.11986899375915527,0.7409436702728271,56_2016,1.0,1.0
216,216,0,0,0.2049083709716797,0.11986899375915527,0.08503937721252441,56_216,1.0,1.0
3136,3136,0,0,1.417264699935913,0.11986899375915527,1.2973957061767578,56_3136,1.0,1.0
3990,3990,0,60,1.8708546161651611,0.11986899375915527,1.7509856224060059,56_4050,1.0,0.9851851851851852
4992,4992,0,0,2.3821961879730225,0.11986899375915527,2.262327194213867,56_4992,1.0,1.0
544,544,0,0,0.30219221115112305,0.11986899375915527,0.18232321739196777,56_544,1.0,1.0
810,810,0,0,0.3963134288787842,0.11986899375915527,0.2764444351196289,56_810,1.0,1.0
2016,1712,304,304,0.3713850975036621,0.11952352523803711,0.251861572265625,810_2016,0.8492063492063492,0.8492063492063492
216,188,28,28,0.19332456588745117,0.11952352523803711,0.07380104064941406,810_216,0.8703703703703703,0.8703703703703703
3136,2620,516,516,0.48787903785705566,0.11952352523803711,0.36835551261901855,810_3136,0.8354591836734694,0.8354591836734694
4050,3392,658,658,0.5597503185272217,0.11952352523803711,0.44022679328918457,810_4050,0.8375308641975309,0.8375308641975309
4992,4992,0,0,0.6784501075744629,0.11952352523803711,0.5589265823364258,810_4992,1.0,1.0
544,480,64,64,0.2206130027770996,0.11952352523803711,0.1010894775390625,810_544,0.8823529411764706,0.8823529411764706
56,56,0,0,0.16811394691467285,0.11952352523803711,0.04859042167663574,810_56,1.0,1.0
1986.4827586206898,1946.7586206896551,39.724137931034484,51.37931034482759,0.9629711405984287,0.30073918967411434,0.6622319509243143,average_results,0.976269987788373,0.9793454501851827
