CL,TP,FP,FN,T,T_T,T_P,Instances,Precision,Recall
1259,980,279,586,34.91487908363342,0.026716947555541992,34.88816213607788,144_1566,0.778395552025417,0.6257982120051085
263,171,92,59,3.7360966205596924,0.026716947555541992,3.7093796730041504,144_230,0.6501901140684411,0.7434782608695653
518,353,165,157,9.60111141204834,0.026716947555541992,9.574394464492798,144_510,0.6814671814671814,0.692156862745098
459,403,56,141,10.832743406295776,0.026716947555541992,10.806026458740234,144_544,0.8779956427015251,0.7408088235294118
583,475,108,209,13.962929010391235,0.026716947555541992,13.936212062835693,144_684,0.8147512864493996,0.6944444444444444
923,743,180,97,19.43092942237854,0.026716947555541992,19.404212474822998,144_840,0.8049837486457205,0.8845238095238095
742,525,217,441,16.53438711166382,0.026716947555541992,16.507670164108276,144_966,0.7075471698113207,0.5434782608695652
125,101,24,43,1.7411577701568604,0.19768667221069336,1.543471097946167,1566_144,0.808,0.7013888888888888
1301,1166,135,400,27.518118381500244,0.19768667221069336,27.32043170928955,1566_1566,0.8962336664104535,0.7445721583652618
190,150,40,80,3.8871827125549316,0.19768667221069336,3.6894960403442383,1566_230,0.7894736842105263,0.6521739130434783
407,332,75,178,9.690778493881226,0.19768667221069336,9.493091821670532,1566_510,0.8157248157248157,0.6509803921568628
476,428,48,116,10.978030920028687,0.19768667221069336,10.780344247817993,1566_544,0.8991596638655462,0.7867647058823529
621,567,54,117,14.109085321426392,0.19768667221069336,13.911398649215698,1566_684,0.9130434782608695,0.8289473684210527
739,699,40,141,19.517885208129883,0.19768667221069336,19.32019853591919,1566_840,0.945872801082544,0.8321428571428572
821,716,105,250,16.71210241317749,0.19768667221069336,16.514415740966797,1566_966,0.8721071863580999,0.7412008281573499
142,118,24,26,1.5033061504364014,0.030526399612426758,1.4727797508239746,230_144,0.8309859154929577,0.8194444444444444
1244,1109,135,457,34.89686107635498,0.030526399612426758,34.866334676742554,230_1566,0.8914790996784566,0.7081736909323116
394,394,0,116,9.55317997932434,0.030526399612426758,9.522653579711914,230_510,1.0,0.7725490196078432
475,427,48,117,10.853432655334473,0.030526399612426758,10.822906255722046,230_544,0.8989473684210526,0.7849264705882353
620,566,54,118,13.98820161819458,0.030526399612426758,13.957675218582153,230_684,0.9129032258064517,0.827485380116959
771,711,60,129,19.56343722343445,0.030526399612426758,19.53291082382202,230_840,0.9221789883268483,0.8464285714285714
798,693,105,273,16.491500854492188,0.030526399612426758,16.46097445487976,230_966,0.868421052631579,0.717391304347826
130,106,24,38,1.5409491062164307,0.0643930435180664,1.4765560626983643,510_144,0.8153846153846154,0.7361111111111112
1295,1169,126,397,35.01137137413025,0.0643930435180664,34.94697833061218,510_1566,0.9027027027027027,0.7464878671775224
154,154,0,76,3.7662291526794434,0.0643930435180664,3.701836109161377,510_230,1.0,0.6695652173913044
410,370,40,174,10.872368574142456,0.0643930435180664,10.80797553062439,510_544,0.9024390243902439,0.6801470588235294
589,535,54,149,14.02363634109497,0.0643930435180664,13.959243297576904,510_684,0.9083191850594228,0.7821637426900585
623,593,30,247,19.600563764572144,0.0643930435180664,19.536170721054077,510_840,0.9518459069020867,0.705952380952381
873,775,98,191,16.566646337509155,0.0643930435180664,16.50225329399109,510_966,0.8877434135166093,0.8022774327122153
110,110,0,34,1.982849359512329,0.08167862892150879,1.9011707305908203,544_144,1.0,0.7638888888888888
974,929,45,637,39.35981106758118,0.08167862892150879,39.27813243865967,544_1566,0.9537987679671458,0.5932311621966795
178,158,20,72,4.266247510910034,0.08167862892150879,4.184568881988525,544_230,0.8876404494382022,0.6869565217391305
367,337,30,173,10.801032781600952,0.08167862892150879,10.719354152679443,544_510,0.9182561307901907,0.6607843137254902
360,336,24,208,12.306370973587036,0.08167862892150879,12.224692344665527,544_544,0.9333333333333333,0.6176470588235294
492,465,27,219,16.075740098953247,0.08167862892150879,15.994061470031738,544_684,0.9451219512195121,0.6798245614035088
796,766,30,74,22.20455527305603,0.08167862892150879,22.12287664413452,544_840,0.9623115577889447,0.9119047619047619
569,534,35,432,18.569655179977417,0.08167862892150879,18.487976551055908,544_966,0.9384885764499121,0.5527950310559007
113,113,0,31,1.5924019813537598,0.10663628578186035,1.4857656955718994,684_144,1.0,0.7847222222222222
