CL,TP,FP,FN,T,T_T,T_P,Instances,Precision,Recall
0,0,0,1214,0.01809525489807129,0.018079757690429688,1.5497207641601562e-05,1208_1214,0,0.0
0,0,0,1405,0.018095016479492188,0.018079757690429688,1.52587890625e-05,1208_1405,0,0.0
0,0,0,1480,0.01809525489807129,0.018079757690429688,1.5497207641601562e-05,1208_1480,0,0.0
0,0,0,1566,0.018087148666381836,0.018079757690429688,7.3909759521484375e-06,1208_1566,0,0.0
0,0,0,1706,0.01810312271118164,0.018079757690429688,2.3365020751953125e-05,1208_1706,0,0.0
0,0,0,2016,0.018087148666381836,0.018079757690429688,7.3909759521484375e-06,1208_2016,0,0.0
0,0,0,2315,0.018095016479492188,0.018079757690429688,1.52587890625e-05,1208_2315,0,0.0
0,0,0,2432,0.01809859275817871,0.018079757690429688,1.8835067749023438e-05,1208_2432,0,0.0
0,0,0,516,0.018086910247802734,0.018079757690429688,7.152557373046875e-06,1208_516,0,0.0
0,0,0,1208,0.02468419075012207,0.02467656135559082,7.62939453125e-06,1214_1208,0,0.0
0,0,0,1405,0.024683713912963867,0.02467656135559082,7.152557373046875e-06,1214_1405,0,0.0
0,0,0,1480,0.024692535400390625,0.02467656135559082,1.5974044799804688e-05,1214_1480,0,0.0
0,0,0,1566,0.02469182014465332,0.02467656135559082,1.52587890625e-05,1214_1566,0,0.0
0,0,0,1706,0.024692535400390625,0.02467656135559082,1.5974044799804688e-05,1214_1706,0,0.0
0,0,0,2016,0.02469182014465332,0.02467656135559082,1.52587890625e-05,1214_2016,0,0.0
0,0,0,2315,0.024683475494384766,0.02467656135559082,6.9141387939453125e-06,1214_2315,0,0.0
0,0,0,2432,0.02469491958618164,0.02467656135559082,1.8358230590820312e-05,1214_2432,0,0.0
0,0,0,516,0.02468395233154297,0.02467656135559082,7.3909759521484375e-06,1214_516,0,0.0
0,0,0,1208,0.0868988037109375,0.08689165115356445,7.152557373046875e-06,1405_1208,0,0.0
0,0,0,1214,0.08690690994262695,0.08689165115356445,1.52587890625e-05,1405_1214,0,0.0
0,0,0,1480,0.08690762519836426,0.08689165115356445,1.5974044799804688e-05,1405_1480,0,0.0
0,0,0,1566,0.0868985652923584,0.08689165115356445,6.9141387939453125e-06,1405_1566,0,0.0
0,0,0,1706,0.08690714836120605,0.08689165115356445,1.5497207641601562e-05,1405_1706,0,0.0
0,0,0,2016,0.08690690994262695,0.08689165115356445,1.52587890625e-05,1405_2016,0,0.0
0,0,0,2315,0.08690762519836426,0.08689165115356445,1.5974044799804688e-05,1405_2315,0,0.0
0,0,0,2432,0.08690953254699707,0.08689165115356445,1.7881393432617188e-05,1405_2432,0,0.0
0,0,0,516,0.08690643310546875,0.08689165115356445,1.4781951904296875e-05,1405_516,0,0.0
0,0,0,1208,0.019025325775146484,0.01901841163635254,6.9141387939453125e-06,1480_1208,0,0.0
0,0,0,1214,0.019025325775146484,0.01901841163635254,6.9141387939453125e-06,1480_1214,0,0.0
0,0,0,1405,0.019025564193725586,0.01901841163635254,7.152557373046875e-06,1480_1405,0,0.0
0,0,0,1566,0.019025325775146484,0.01901841163635254,6.9141387939453125e-06,1480_1566,0,0.0
0,0,0,1706,0.019034385681152344,0.01901841163635254,1.5974044799804688e-05,1480_1706,0,0.0
0,0,0,2016,0.019025802612304688,0.01901841163635254,7.3909759521484375e-06,1480_2016,0,0.0
0,0,0,2315,0.019034147262573242,0.01901841163635254,1.5735626220703125e-05,1480_2315,0,0.0
0,0,0,2432,0.019036293029785156,0.01901841163635254,1.7881393432617188e-05,1480_2432,0,0.0
0,0,0,516,0.019025564193725586,0.01901841163635254,7.152557373046875e-06,1480_516,0,0.0
0,0,0,1208,0.10827159881591797,0.10826444625854492,7.152557373046875e-06,1566_1208,0,0.0
0,0,0,1214,0.10827136039733887,0.10826444625854492,6.9141387939453125e-06,1566_1214,0,0.0
0,0,0,1405,0.10827159881591797,0.10826444625854492,7.152557373046875e-06,1566_1405,0,0.0
0,0,0,1480,0.10827183723449707,0.10826444625854492,7.3909759521484375e-06,1566_1480,0,0.0
0,0,0,1706,0.10827994346618652,0.10826444625854492,1.5497207641601562e-05,1566_1706,0,0.0
0,0,0,2016,0.10827970504760742,0.10826444625854492,1.52587890625e-05,1566_2016,0,0.0
0,0,0,2315,0.10827159881591797,0.10826444625854492,7.152557373046875e-06,1566_2315,0,0.0
0,0,0,2432,0.10828256607055664,0.10826444625854492,1.811981201171875e-05,1566_2432,0,0.0
0,0,0,516,0.10827159881591797,0.10826444625854492,7.152557373046875e-06,1566_516,0,0.0
0,0,0,1208,0.04178595542907715,0.0417788028717041,7.152557373046875e-06,1706_1208,0,0.0
0,0,0,1214,0.04178619384765625,0.0417788028717041,7.3909759521484375e-06,1706_1214,0,0.0
0,0,0,1405,0.04178571701049805,0.0417788028717041,6.9141387939453125e-06,1706_1405,0,0.0
0,0,0,1480,0.04180407524108887,0.0417788028717041,2.5272369384765625e-05,1706_1480,0,0.0
0,0,0,1566,0.0417943000793457,0.0417788028717041,1.5497207641601562e-05,1706_1566,0,0.0
0,0,0,2016,0.0417943000793457,0.0417788028717041,1.5497207641601562e-05,1706_2016,0,0.0
0,0,0,2315,0.0417940616607666,0.0417788028717041,1.52587890625e-05,1706_2315,0,0.0
0,0,0,2432,0.04179739952087402,0.0417788028717041,1.8596649169921875e-05,1706_2432,0,0.0
0,0,0,516,0.04178595542907715,0.0417788028717041,7.152557373046875e-06,1706_516,0,0.0
0,0,0,1208,0.06145882606506348,0.06145167350769043,7.152557373046875e-06,2016_1208,0,0.0
0,0,0,1214,0.06146693229675293,0.06145167350769043,1.52587890625e-05,2016_1214,0,0.0
0,0,0,1405,0.06146717071533203,0.06145167350769043,1.5497207641601562e-05,2016_1405,0,0.0
0,0,0,1480,0.06145882606506348,0.06145167350769043,7.152557373046875e-06,2016_1480,0,0.0
0,0,0,1566,0.06146740913391113,0.06145167350769043,1.5735626220703125e-05,2016_1566,0,0.0
0,0,0,1706,0.06146693229675293,0.06145167350769043,1.52587890625e-05,2016_1706,0,0.0
0,0,0,2315,0.06146645545959473,0.06145167350769043,1.4781951904296875e-05,2016_2315,0,0.0
0,0,0,2432,0.06147027015686035,0.06145167350769043,1.8596649169921875e-05,2016_2432,0,0.0
0,0,0,516,0.06145906448364258,0.06145167350769043,7.3909759521484375e-06,2016_516,0,0.0
0,0,0,1208,0.04611659049987793,0.046109676361083984,6.9141387939453125e-06,2315_1208,0,0.0
0,0,0,1214,0.04611682891845703,0.046109676361083984,7.152557373046875e-06,2315_1214,0,0.0
0,0,0,1405,0.04612541198730469,0.046109676361083984,1.5735626220703125e-05,2315_1405,0,0.0
