CL,TP,FP,FN,T,T_T,T_P,Instances,Precision,Recall
2022,1902,120,114,85.98274111747742,6.9091386795043945,79.07360243797302,2016_2016,0.9406528189910979,0.9434523809523809
252,216,36,0,50.12877631187439,6.9091386795043945,43.219637632369995,2016_216,0.8571428571428571,1.0
4940,2996,1944,140,375.14752411842346,6.9091386795043945,368.23838543891907,2016_3136,0.6064777327935222,0.9553571428571429
4199,3668,531,382,131.8514633178711,6.9091386795043945,124.9423246383667,2016_4050,0.8735413193617528,0.905679012345679
5728,4576,1152,416,400.2074279785156,6.9091386795043945,393.29828929901123,2016_4992,0.7988826815642458,0.9166666666666666
640,544,96,0,62.66652011871338,6.9091386795043945,55.757381439208984,2016_544,0.85,1.0
68,56,12,0,69.00413632392883,6.9091386795043945,62.09499764442444,2016_56,0.8235294117647058,1.0
783,783,0,27,69.58765077590942,6.9091386795043945,62.67851209640503,2016_810,1.0,0.9666666666666667
1926,1926,0,90,108.64767098426819,9.626611471176147,99.02105951309204,216_2016,1.0,0.9553571428571429
4560,3038,1522,98,471.06005358695984,9.626611471176147,461.4334421157837,216_3136,0.6662280701754386,0.96875
3925,3610,315,440,165.5783314704895,9.626611471176147,155.95171999931335,216_4050,0.9197452229299363,0.891358024691358
5728,4608,1120,384,501.6040229797363,9.626611471176147,491.9774115085602,216_4992,0.8044692737430168,0.9230769230769231
560,544,16,0,79.5161280632019,9.626611471176147,69.88951659202576,216_544,0.9714285714285714,1.0
68,56,12,0,86.72918200492859,9.626611471176147,77.10257053375244,216_56,0.8235294117647058,1.0
846,810,36,0,88.10962295532227,9.626611471176147,78.48301148414612,216_810,0.9574468085106383,1.0
2292,1836,456,180,150.4806613922119,19.925092458724976,130.55556893348694,3136_2016,0.8010471204188482,0.9107142857142857
348,216,132,0,91.72242903709412,19.925092458724976,71.79733657836914,3136_216,0.6206896551724138,1.0
7732,2996,4736,140,630.4277625083923,19.925092458724976,610.5026700496674,3136_3136,0.38748060010346613,0.9553571428571429
4016,4016,0,34,225.1136646270752,19.925092458724976,205.18857216835022,3136_4050,1.0,0.9916049382716049
7248,4992,2256,0,670.2394602298737,19.925092458724976,650.3143677711487,3136_4992,0.6887417218543046,1.0
784,512,272,32,112.52241969108582,19.925092458724976,92.59732723236084,3136_544,0.6530612244897959,0.9411764705882353
68,56,12,0,122.33334302902222,19.925092458724976,102.40825057029724,3136_56,0.8235294117647058,1.0
954,810,144,0,123.96948003768921,19.925092458724976,104.04438757896423,3136_810,0.8490566037735849,1.0
2148,1860,288,156,90.15836691856384,7.8269758224487305,82.33139109611511,4050_2016,0.8659217877094972,0.9226190476190477
348,216,132,0,52.78151607513428,7.8269758224487305,44.95454025268555,4050_216,0.6206896551724138,1.0
5288,2980,2308,156,390.7609450817108,7.8269758224487305,382.9339692592621,4050_3136,0.5635400907715582,0.9502551020408163
13768,4992,8776,0,416.7492022514343,7.8269758224487305,408.9222264289856,4050_4992,0.3625798954096456,1.0
730,512,218,32,65.96503806114197,7.8269758224487305,58.13806223869324,4050_544,0.7013698630136986,0.9411764705882353
70,56,14,0,72.0679349899292,7.8269758224487305,64.24095916748047,4050_56,0.8,1.0
963,810,153,0,73.1028881072998,7.8269758224487305,65.27591228485107,4050_810,0.8411214953271028,1.0
2508,1872,636,144,85.54934692382812,11.199981689453125,74.349365234375,4992_2016,0.7464114832535885,0.9285714285714286
288,204,84,12,51.80371379852295,11.199981689453125,40.603732109069824,4992_216,0.7083333333333334,0.9444444444444444
4571,2800,1771,336,357.00300002098083,11.199981689453125,345.8030183315277,4992_3136,0.6125574272588055,0.8928571428571429
5198,3480,1718,570,128.71102118492126,11.199981689453125,117.51103949546814,4992_4050,0.6694882647171989,0.8592592592592593
728,512,216,32,63.62885046005249,11.199981689453125,52.428868770599365,4992_544,0.7032967032967034,0.9411764705882353
58,56,2,0,69.06561350822449,11.199981689453125,57.86563181877136,4992_56,0.9655172413793104,1.0
810,810,0,0,70.07830572128296,11.199981689453125,58.878324031829834,4992_810,1.0,1.0
1984,1984,0,32,90.88011598587036,6.925274610519409,83.95484137535095,544_2016,1.0,0.9841269841269841
216,216,0,0,52.91958832740784,6.925274610519409,45.99431371688843,544_216,1.0,1.0
5593,2744,2849,392,398.04254245758057,6.925274610519409,391.11726784706116,544_3136,0.490613266583229,0.875
5310,3600,1710,450,140.2097203731537,6.925274610519409,133.28444576263428,544_4050,0.6779661016949152,0.8888888888888888
6948,4608,2340,384,424.01498651504517,6.925274610519409,417.08971190452576,544_4992,0.6632124352331606,0.9230769230769231
81,56,25,0,72.3232479095459,6.925274610519409,65.39797329902649,544_56,0.691358024691358,1.0
1047,810,237,0,73.53424644470215,6.925274610519409,66.60897183418274,544_810,0.7736389684813754,1.0
2415,1518,897,498,94.60748314857483,8.266494035720825,86.340989112854,56_2016,0.6285714285714286,0.7529761904761905
280,206,74,10,55.507980823516846,8.266494035720825,47.24148678779602,56_216,0.7357142857142858,0.9537037037037037
5265,1788,3477,1348,410.3070046901703,8.266494035720825,402.04051065444946,56_3136,0.3396011396011396,0.5701530612244898
5331,2541,2790,1509,144.65043663978577,8.266494035720825,136.38394260406494,56_4050,0.4766460326392797,0.6274074074074074
8235,3072,5163,1920,437.5633363723755,8.266494035720825,429.29684233665466,56_4992,0.37304189435336976,0.6153846153846154
630,488,142,56,69.22913956642151,8.266494035720825,60.962645530700684,56_544,0.7746031746031746,0.8970588235294118
818,702,116,108,76.79621076583862,8.266494035720825,68.5297167301178,56_810,0.8581907090464548,0.8666666666666667
2232,1872,360,144,67.40195345878601,4.12805700302124,63.27389645576477,810_2016,0.8387096774193549,0.9285714285714286
252,204,48,12,38.40269994735718,4.12805700302124,34.27464294433594,810_216,0.8095238095238095,0.9444444444444444
9460,2804,6656,332,298.01518201828003,4.12805700302124,293.8871250152588,810_3136,0.29640591966173363,0.8941326530612245
5211,3495,1716,555,104.1739251613617,4.12805700302124,100.04586815834045,810_4050,0.6706966033390904,0.8629629629629629
9472,4736,4736,256,316.9314715862274,4.12805700302124,312.8034145832062,810_4992,0.5,0.9487179487179487
576,512,64,32,48.79807996749878,4.12805700302124,44.67002296447754,810_544,0.8888888888888888,0.9411764705882353
62,56,6,0,52.99859642982483,4.12805700302124,48.87053942680359,810_56,0.9032258064516129,1.0
2906.5689655172414,1792.051724137931,1114.5172413793102,206.08620689655172,178.05800283366236,9.491165716072608,168.56683711758976,average_results,0.7460019987049678,0.9324142299369886
