CL,TP,FP,FN,T,T_T,T_P,Instances,Precision,Recall
2810,1936,874,80,16.24407982826233,0.1591663360595703,16.08491349220276,2016_2016,0.6889679715302491,0.9603174603174603
225,212,13,4,1.2376868724822998,0.1591663360595703,1.0785205364227295,2016_216,0.9422222222222222,0.9814814814814815
8600,3126,5474,10,30.571933031082153,0.1591663360595703,30.412766695022583,2016_3136,0.36348837209302326,0.9968112244897959
5884,3834,2050,216,39.18331956863403,0.1591663360595703,39.02415323257446,2016_4050,0.6515975526852481,0.9466666666666667
9188,4992,4196,0,51.35065460205078,0.1591663360595703,51.19148826599121,2016_4992,0.543317370483239,1.0
584,544,40,0,3.4823782444000244,0.1591663360595703,3.323211908340454,2016_544,0.9315068493150684,1.0
80,56,24,0,0.48470377922058105,0.1591663360595703,0.32553744316101074,2016_56,0.7,1.0
1119,810,309,0,5.309005975723267,0.1591663360595703,5.149839639663696,2016_810,0.7238605898123325,1.0
2168,1996,172,20,16.054560661315918,0.0887453556060791,15.965815305709839,216_2016,0.9206642066420664,0.9900793650793651
10000,3126,6874,10,30.248189687728882,0.0887453556060791,30.159444332122803,216_3136,0.3126,0.9968112244897959
5956,3846,2110,204,38.712888956069946,0.0887453556060791,38.62414360046387,216_4050,0.6457353928811282,0.9496296296296296
11280,4992,6288,0,50.769614696502686,0.0887453556060791,50.680869340896606,216_4992,0.4425531914893617,1.0
580,544,36,0,3.3113186359405518,0.0887453556060791,3.2225732803344727,216_544,0.9379310344827586,1.0
80,56,24,0,0.4118008613586426,0.0887453556060791,0.3230555057525635,216_56,0.7,1.0
1089,810,279,0,5.189096927642822,0.0887453556060791,5.100351572036743,216_810,0.743801652892562,1.0
2864,1976,888,40,16.855515241622925,0.7928106784820557,16.06270456314087,3136_2016,0.6899441340782123,0.9801587301587301
396,216,180,0,1.8704802989959717,0.7928106784820557,1.077669620513916,3136_216,0.5454545454545454,1.0
10346,3136,7210,0,31.280447244644165,0.7928106784820557,30.48763656616211,3136_3136,0.30311231393775373,1.0
5099,4038,1061,12,39.72689247131348,0.7928106784820557,38.93408179283142,3136_4050,0.7919199843106491,0.997037037037037
8248,4992,3256,0,52.00557899475098,0.7928106784820557,51.21276831626892,3136_4992,0.6052376333656644,1.0
1112,544,568,0,4.050405979156494,0.7928106784820557,3.2575953006744385,3136_544,0.4892086330935252,1.0
76,56,20,0,1.1179149150848389,0.7928106784820557,0.3251042366027832,3136_56,0.7368421052631579,1.0
1134,810,324,0,5.9426352977752686,0.7928106784820557,5.149824619293213,3136_810,0.7142857142857143,1.0
2720,1968,752,48,16.172834157943726,0.25945329666137695,15.913380861282349,4050_2016,0.7235294117647059,0.9761904761904762
394,216,178,0,1.3306934833526611,0.25945329666137695,1.0712401866912842,4050_216,0.5482233502538071,1.0
3985,3020,965,116,30.493995666503906,0.25945329666137695,30.23454236984253,4050_3136,0.7578419071518193,0.9630102040816326
9400,4992,4408,0,51.30617022514343,0.25945329666137695,51.046716928482056,4050_4992,0.531063829787234,1.0
1046,544,502,0,3.4844884872436523,0.25945329666137695,3.2250351905822754,4050_544,0.5200764818355641,1.0
80,56,24,0,0.5824346542358398,0.25945329666137695,0.3229813575744629,4050_56,0.7,1.0
1116,810,306,0,5.368979454040527,0.25945329666137695,5.10952615737915,4050_810,0.7258064516129032,1.0
2621,1930,691,86,16.759837865829468,0.8444600105285645,15.915377855300903,4992_2016,0.7363601678748569,0.9573412698412699
271,210,61,6,1.9180169105529785,0.8444600105285645,1.073556900024414,4992_216,0.7749077490774908,0.9722222222222222
5075,2984,2091,152,31.098103523254395,0.8444600105285645,30.25364351272583,4992_3136,0.5879802955665024,0.951530612244898
5433,3735,1698,315,39.608948707580566,0.8444600105285645,38.764488697052,4992_4050,0.6874654886802871,0.9222222222222223
