CL,TP,FP,FN,T,T_T,T_P,Instances,Precision,Recall
2016,2016,0,0,121.96407341957092,0.4975156784057617,121.46655774116516,2016_2016,1.0,1.0
216,216,0,0,8.095905542373657,0.4975156784057617,7.5983898639678955,2016_216,1.0,1.0
3136,3136,0,0,227.74898743629456,0.4975156784057617,227.2514717578888,2016_3136,1.0,1.0
4050,4050,0,0,296.5028166770935,0.4975156784057617,296.00530099868774,2016_4050,1.0,1.0
4992,4992,0,0,386.6804955005646,0.4975156784057617,386.1829798221588,2016_4992,1.0,1.0
544,544,0,0,24.574360132217407,0.4975156784057617,24.076844453811646,2016_544,1.0,1.0
56,56,0,0,2.1255953311920166,0.4975156784057617,1.6280796527862549,2016_56,1.0,1.0
810,810,0,0,38.9743218421936,0.4975156784057617,38.47680616378784,2016_810,1.0,1.0
1980,1980,0,36,121.54823279380798,0.3464488983154297,121.20178389549255,216_2016,1.0,0.9821428571428571
3136,3136,0,0,227.48649835586548,0.3464488983154297,227.14004945755005,216_3136,1.0,1.0
3956,3956,0,94,296.5110228061676,0.3464488983154297,296.1645739078522,216_4050,1.0,0.9767901234567902
4944,4944,0,48,385.48192405700684,0.3464488983154297,385.1354751586914,216_4992,1.0,0.9903846153846154
544,544,0,0,24.381839990615845,0.3464488983154297,24.035391092300415,216_544,1.0,1.0
56,56,0,0,1.9709572792053223,0.3464488983154297,1.6245083808898926,216_56,1.0,1.0
792,792,0,18,38.71776270866394,0.3464488983154297,38.37131381034851,216_810,1.0,0.9777777777777777
2016,2016,0,0,123.53921365737915,2.0610876083374023,121.47812604904175,3136_2016,1.0,1.0
216,216,0,0,9.661672592163086,2.0610876083374023,7.600584983825684,3136_216,1.0,1.0
3136,3136,0,0,229.58733534812927,2.0610876083374023,227.52624773979187,3136_3136,1.0,1.0
4044,4044,0,6,298.1043276786804,2.0610876083374023,296.043240070343,3136_4050,1.0,0.9985185185185185
4992,4992,0,0,388.0251531600952,2.0610876083374023,385.9640655517578,3136_4992,1.0,1.0
544,544,0,0,26.14034104347229,2.0610876083374023,24.079253435134888,3136_544,1.0,1.0
56,56,0,0,3.688164710998535,2.0610876083374023,1.6270771026611328,3136_56,1.0,1.0
810,810,0,0,40.64535641670227,2.0610876083374023,38.58426880836487,3136_810,1.0,1.0
2016,2016,0,0,122.28519225120544,0.7389445304870605,121.54624772071838,4050_2016,1.0,1.0
216,216,0,0,8.346406698226929,0.7389445304870605,7.607462167739868,4050_216,1.0,1.0
3136,3136,0,0,227.83517408370972,0.7389445304870605,227.09622955322266,4050_3136,1.0,1.0
4992,4992,0,0,385.9684329032898,0.7389445304870605,385.22948837280273,4050_4992,1.0,1.0
544,544,0,0,24.76220965385437,0.7389445304870605,24.02326512336731,4050_544,1.0,1.0
56,56,0,0,2.366541624069214,0.7389445304870605,1.6275970935821533,4050_56,1.0,1.0
810,810,0,0,39.17496705055237,0.7389445304870605,38.43602252006531,4050_810,1.0,1.0
1712,1712,0,304,123.48638892173767,2.1009089946746826,121.38547992706299,4992_2016,1.0,0.8492063492063492
188,188,0,28,9.682225227355957,2.1009089946746826,7.581316232681274,4992_216,1.0,0.8703703703703703
