CL,TP,FP,FN,T,T_T,T_P,Instances,Precision,Recall
2013,1566,447,0,165.01500940322876,6.213289022445679,158.80172038078308,144_1566,0.7779433681073026,1.0
2506,76,2430,154,31.744471788406372,6.213289022445679,25.531182765960693,144_230,0.030327214684756583,0.33043478260869563
6575,125,6450,385,58.80019950866699,6.213289022445679,52.58691048622131,144_510,0.019011406844106463,0.24509803921568626
7464,72,7392,472,61.06744384765625,6.213289022445679,54.85415482521057,144_544,0.00964630225080386,0.1323529411764706
817,684,133,0,92.39776039123535,6.213289022445679,86.18447136878967,144_684,0.8372093023255814,1.0
1151,840,311,0,127.47324991226196,6.213289022445679,121.25996088981628,144_840,0.7298001737619462,1.0
1283,966,317,0,91.40307569503784,6.213289022445679,85.18978667259216,144_966,0.7529228371005456,1.0
168,144,24,0,77.27516269683838,25.185128211975098,52.09003448486328,1566_144,0.8571428571428571,1.0
1701,1566,135,0,361.248982667923,25.185128211975098,336.0638544559479,1566_1566,0.9206349206349206,1.0
2510,80,2430,150,85.28465557098389,25.185128211975098,60.09952735900879,1566_230,0.03187250996015936,0.34782608695652173
6600,150,6450,360,148.92389464378357,25.185128211975098,123.73876643180847,1566_510,0.022727272727272728,0.29411764705882354
7488,96,7392,448,154.76448559761047,25.185128211975098,129.57935738563538,1566_544,0.01282051282051282,0.17647058823529413
738,684,54,0,229.32135725021362,25.185128211975098,204.13622903823853,1566_684,0.926829268292683,1.0
900,840,60,0,312.0271887779236,25.185128211975098,286.8420605659485,1566_840,0.9333333333333333,1.0
1071,966,105,0,226.98503184318542,25.185128211975098,201.79990363121033,1566_966,0.9019607843137255,1.0
840,24,816,120,26.929875373840332,5.415027618408203,21.51484775543213,230_144,0.02857142857142857,0.16666666666666666
24358,166,24192,1400,159.73702239990234,5.415027618408203,154.32199478149414,230_1566,0.006815009442482962,0.10600255427841634
588,510,78,0,56.759538888931274,5.415027618408203,51.34451127052307,230_510,0.8673469387755102,1.0
912,544,368,0,58.99808359146118,5.415027618408203,53.58305597305298,230_544,0.5964912280701754,1.0
9450,54,9396,630,89.52257251739502,5.415027618408203,84.10754489898682,230_684,0.005714285714285714,0.07894736842105263
13334,134,13200,706,124.2670361995697,5.415027618408203,118.8520085811615,230_840,0.010049497525123744,0.1595238095238095
11193,105,11088,861,88.61397933959961,5.415027618408203,83.1989517211914,230_966,0.009380863039399626,0.10869565217391304
868,52,816,92,53.07442307472229,13.59257459640503,39.48184847831726,510_144,0.059907834101382486,0.3611111111111111
24574,382,24192,1184,297.46243143081665,13.59257459640503,283.8698568344116,510_1566,0.01554488483763327,0.24393358876117496
230,230,0,0,59.24345874786377,13.59257459640503,45.65088415145874,510_230,1.0,1.0
662,544,118,0,111.6351158618927,13.59257459640503,98.04254126548767,510_544,0.8217522658610272,1.0
9552,156,9396,528,167.7332797050476,13.59257459640503,154.14070510864258,510_684,0.016331658291457288,0.22807017543859648
13320,120,13200,720,230.589910030365,13.59257459640503,216.99733543395996,510_840,0.009009009009009009,0.14285714285714285
11352,264,11088,702,166.17843890190125,13.59257459640503,152.58586430549622,510_966,0.023255813953488372,0.2732919254658385
864,48,816,96,86.8925211429596,13.113825798034668,73.77869534492493,544_144,0.05555555555555555,0.3333333333333333
24462,270,24192,1296,309.00066018104553,13.113825798034668,295.88683438301086,544_1566,0.011037527593818985,0.1724137931034483
270,230,40,0,62.470436811447144,13.113825798034668,49.356611013412476,544_230,0.8518518518518519,1.0
585,510,75,0,108.14349675178528,13.113825798034668,95.02967095375061,544_510,0.8717948717948718,1.0
7488,96,7392,448,121.04244542121887,13.113825798034668,107.9286196231842,544_544,0.01282051282051282,0.17647058823529413
9504,108,9396,576,208.8980050086975,13.113825798034668,195.78417921066284,544_684,0.011363636363636364,0.15789473684210525
13320,120,13200,720,263.7031683921814,13.113825798034668,250.58934259414673,544_840,0.009009009009009009,0.14285714285714285
11298,210,11088,756,158.82762503623962,13.113825798034668,145.71379923820496,544_966,0.01858736059479554,0.21739130434782608
144,144,0,0,56.90529489517212,15.602664232254028,41.30263066291809,684_144,1.0,1.0
1701,1566,135,0,312.2556822299957,15.602664232254028,296.6530179977417,684_1566,0.9206349206349206,1.0
2510,80,2430,150,63.21593141555786,15.602664232254028,47.61326718330383,684_230,0.03187250996015936,0.34782608695652173
6600,150,6450,360,114.0245509147644,15.602664232254028,98.42188668251038,684_510,0.022727272727272728,0.29411764705882354
7488,96,7392,448,118.32393312454224,15.602664232254028,102.72126889228821,684_544,0.01282051282051282,0.17647058823529413
900,840,60,0,243.38531804084778,15.602664232254028,227.78265380859375,684_840,0.9333333333333333,1.0
1071,966,105,0,175.71019911766052,15.602664232254028,160.1075348854065,684_966,0.9019607843137255,1.0
144,144,0,0,448.19986510276794,65.55734467506409,382.64252042770386,840_144,1.0,1.0
1566,1566,0,0,866.2538595199585,65.55734467506409,800.6965148448944,840_1566,1.0,1.0
2470,40,2430,190,234.95782589912415,65.55734467506409,169.40048122406006,840_230,0.016194331983805668,0.17391304347826086
6525,75,6450,435,367.05590891838074,65.55734467506409,301.49856424331665,840_510,0.011494252873563218,0.14705882352941177
7440,48,7392,496,335.4715881347656,65.55734467506409,269.91424345970154,840_544,0.0064516129032258064,0.08823529411764706
684,684,0,0,652.5550026893616,65.55734467506409,586.9976580142975,840_684,1.0,1.0
966,966,0,0,421.641916513443,65.55734467506409,356.0845718383789,840_966,1.0,1.0
180,144,36,0,47.60099220275879,12.022951364517212,35.57804083824158,966_144,0.8,1.0
1989,1566,423,0,266.44671654701233,12.022951364517212,254.42376518249512,966_1566,0.7873303167420814,1.0
2470,40,2430,190,52.919939041137695,12.022951364517212,40.89698767662048,966_230,0.016194331983805668,0.17391304347826086
6525,75,6450,435,96.61182498931885,12.022951364517212,84.58887362480164,966_510,0.011494252873563218,0.14705882352941177
7440,48,7392,496,100.04525184631348,12.022951364517212,88.02230048179626,966_544,0.0064516129032258064,0.08823529411764706
858,684,174,0,150.55178546905518,12.022951364517212,138.52883410453796,966_684,0.7972027972027972,1.0
1463,840,623,0,206.67487454414368,12.022951364517212,194.65192317962646,966_840,0.5741626794258373,1.0
5054.189655172414,422.3103448275862,4631.879310344828,275.9310344827586,182.14247854413657,19.572734355926514,162.56974418821005,average_results,0.41252928671997924,0.5729756831580973
