CL,TP,FP,FN,T,T_T,T_P,Instances,Precision,Recall
1971,1566,405,0,0.06626176834106445,0.03998517990112305,0.026276588439941406,144_1566,0.7945205479452054,1.0
350,230,120,0,0.04640388488769531,0.03998517990112305,0.006418704986572266,144_230,0.6571428571428571,1.0
735,510,225,0,0.051987648010253906,0.03998517990112305,0.01200246810913086,144_510,0.6938775510204082,1.0
640,544,96,0,0.050218820571899414,0.03998517990112305,0.010233640670776367,144_544,0.85,1.0
792,684,108,0,0.05173230171203613,0.03998517990112305,0.011747121810913086,144_684,0.8636363636363636,1.0
1020,840,180,0,0.05334115028381348,0.03998517990112305,0.01335597038269043,144_840,0.8235294117647058,1.0
1281,966,315,0,0.1157834529876709,0.03998517990112305,0.07579827308654785,144_966,0.7540983606557377,1.0
168,144,24,0,0.31336188316345215,0.31073451042175293,0.0026273727416992188,1566_144,0.8571428571428571,1.0
1701,1566,135,0,0.38739991188049316,0.31073451042175293,0.07666540145874023,1566_1566,0.9206349206349206,1.0
270,230,40,0,0.31491613388061523,0.31073451042175293,0.004181623458862305,1566_230,0.8518518518518519,1.0
585,510,75,0,0.3185553550720215,0.31073451042175293,0.007820844650268555,1566_510,0.8717948717948718,1.0
592,544,48,0,0.31774020195007324,0.31073451042175293,0.0070056915283203125,1566_544,0.918918918918919,1.0
738,684,54,0,0.3194155693054199,0.31073451042175293,0.008681058883666992,1566_684,0.926829268292683,1.0
900,840,60,0,0.3211491107940674,0.31073451042175293,0.010414600372314453,1566_840,0.9333333333333333,1.0
1071,966,105,0,0.32356858253479004,0.31073451042175293,0.01283407211303711,1566_966,0.9019607843137255,1.0
168,144,24,0,0.06040024757385254,0.05780220031738281,0.0025980472564697266,230_144,0.8571428571428571,1.0
1701,1566,135,0,0.07681918144226074,0.05780220031738281,0.01901698112487793,230_1566,0.9206349206349206,1.0
510,510,0,0,0.06627416610717773,0.05780220031738281,0.008471965789794922,230_510,1.0,1.0
592,544,48,0,0.06480693817138672,0.05780220031738281,0.007004737854003906,230_544,0.918918918918919,1.0
738,684,54,0,0.06658101081848145,0.05780220031738281,0.008778810501098633,230_684,0.926829268292683,1.0
900,840,60,0,0.06776213645935059,0.05780220031738281,0.009959936141967773,230_840,0.9333333333333333,1.0
1071,966,105,0,0.07068610191345215,0.05780220031738281,0.012883901596069336,230_966,0.9019607843137255,1.0
168,144,24,0,0.11881661415100098,0.11620569229125977,0.002610921859741211,510_144,0.8571428571428571,1.0
1701,1566,135,0,0.13536572456359863,0.11620569229125977,0.019160032272338867,510_1566,0.9206349206349206,1.0
