CL,TP,FP,FN,T,T_T,T_P,Instances,Precision,Recall
1485,1485,0,0,1.4966881275177002,0.00296783447265625,1.493720293045044,105_1485,1.0,1.0
210,210,0,0,0.2161412239074707,0.00296783447265625,0.21317338943481445,105_210,1.0,1.0
2145,2145,0,0,2.1676721572875977,0.00296783447265625,2.1647043228149414,105_2145,1.0,1.0
3003,3003,0,0,3.165980577468872,0.00296783447265625,3.163012742996216,105_3003,1.0,1.0
378,378,0,0,0.5210340023040771,0.00296783447265625,0.5180661678314209,105_378,1.0,1.0
4095,4095,0,0,4.136357545852661,0.00296783447265625,4.133389711380005,105_4095,1.0,1.0
45,45,0,0,0.051481008529663086,0.00296783447265625,0.048513174057006836,105_45,1.0,1.0
630,630,0,0,0.6404938697814941,0.00296783447265625,0.6375260353088379,105_630,1.0,1.0
990,990,0,0,0.9998447895050049,0.00296783447265625,0.9968769550323486,105_990,1.0,1.0
105,105,0,0,0.1166696548461914,0.009538650512695312,0.1071310043334961,1485_105,1.0,1.0
210,210,0,0,0.22171759605407715,0.009538650512695312,0.21217894554138184,1485_210,1.0,1.0
2145,2145,0,0,2.326908826828003,0.009538650512695312,2.3173701763153076,1485_2145,1.0,1.0
3003,3003,0,0,3.1752305030822754,0.009538650512695312,3.16569185256958,1485_3003,1.0,1.0
378,378,0,0,0.39174628257751465,0.009538650512695312,0.38220763206481934,1485_378,1.0,1.0
4095,4095,0,0,4.147203207015991,0.009538650512695312,4.137664556503296,1485_4095,1.0,1.0
45,45,0,0,0.05793619155883789,0.009538650512695312,0.04839754104614258,1485_45,1.0,1.0
630,630,0,0,0.7807636260986328,0.009538650512695312,0.7712249755859375,1485_630,1.0,1.0
990,990,0,0,1.0080814361572266,0.009538650512695312,0.9985427856445312,1485_990,1.0,1.0
105,105,0,0,0.10964179039001465,0.003477811813354492,0.10616397857666016,210_105,1.0,1.0
1485,1485,0,0,1.4964408874511719,0.003477811813354492,1.4929630756378174,210_1485,1.0,1.0
2145,2145,0,0,2.1654369831085205,0.003477811813354492,2.161959171295166,210_2145,1.0,1.0
3003,3003,0,0,3.1649720668792725,0.003477811813354492,3.161494255065918,210_3003,1.0,1.0
378,378,0,0,0.38480377197265625,0.003477811813354492,0.38132596015930176,210_378,1.0,1.0
4095,4095,0,0,4.301311016082764,0.003477811813354492,4.297833204269409,210_4095,1.0,1.0
45,45,0,0,0.051787614822387695,0.003477811813354492,0.0483098030090332,210_45,1.0,1.0
630,630,0,0,0.6380505561828613,0.003477811813354492,0.6345727443695068,210_630,1.0,1.0
990,990,0,0,1.0016777515411377,0.003477811813354492,0.9981999397277832,210_990,1.0,1.0
105,105,0,0,0.11916089057922363,0.01251220703125,0.10664868354797363,2145_105,1.0,1.0
1485,1485,0,0,1.6500167846679688,0.01251220703125,1.6375045776367188,2145_1485,1.0,1.0
210,210,0,0,0.22974705696105957,0.01251220703125,0.21723484992980957,2145_210,1.0,1.0
3003,3003,0,0,3.041102409362793,0.01251220703125,3.028590202331543,2145_3003,1.0,1.0
378,378,0,0,0.3973977565765381,0.01251220703125,0.3848855495452881,2145_378,1.0,1.0
4095,4095,0,0,4.133777141571045,0.01251220703125,4.121264934539795,2145_4095,1.0,1.0
45,45,0,0,0.06073164939880371,0.01251220703125,0.04821944236755371,2145_45,1.0,1.0
630,630,0,0,0.6496949195861816,0.01251220703125,0.6371827125549316,2145_630,1.0,1.0
990,990,0,0,1.014296054840088,0.01251220703125,1.001783847808838,2145_990,1.0,1.0
105,105,0,0,0.12287473678588867,0.016441822052001953,0.10643291473388672,3003_105,1.0,1.0
1485,1485,0,0,1.5135498046875,0.016441822052001953,1.497107982635498,3003_1485,1.0,1.0
210,210,0,0,0.22801494598388672,0.016441822052001953,0.21157312393188477,3003_210,1.0,1.0
2145,2145,0,0,2.3119750022888184,0.016441822052001953,2.2955331802368164,3003_2145,1.0,1.0
378,378,0,0,0.39818859100341797,0.016441822052001953,0.381746768951416,3003_378,1.0,1.0
4095,4095,0,0,4.288026809692383,0.016441822052001953,4.271584987640381,3003_4095,1.0,1.0
45,45,0,0,0.06502032279968262,0.016441822052001953,0.048578500747680664,3003_45,1.0,1.0
630,630,0,0,0.6516547203063965,0.016441822052001953,0.6352128982543945,3003_630,1.0,1.0
990,990,0,0,1.0144798755645752,0.016441822052001953,0.9980380535125732,3003_990,1.0,1.0
105,105,0,0,0.11076903343200684,0.0042722225189208984,0.10649681091308594,378_105,1.0,1.0
1485,1485,0,0,1.6408326625823975,0.0042722225189208984,1.6365604400634766,378_1485,1.0,1.0
210,210,0,0,0.21627163887023926,0.0042722225189208984,0.21199941635131836,378_210,1.0,1.0
2145,2145,0,0,2.16890811920166,0.0042722225189208984,2.1646358966827393,378_2145,1.0,1.0
3003,3003,0,0,3.1707282066345215,0.0042722225189208984,3.1664559841156006,378_3003,1.0,1.0
4095,4095,0,0,4.1337339878082275,0.0042722225189208984,4.129461765289307,378_4095,1.0,1.0
45,45,0,0,0.0527043342590332,0.0042722225189208984,0.048432111740112305,378_45,1.0,1.0
630,630,0,0,0.7761929035186768,0.0042722225189208984,0.7719206809997559,378_630,1.0,1.0
990,990,0,0,1.003058671951294,0.0042722225189208984,0.998786449432373,378_990,1.0,1.0
105,105,0,0,0.12763309478759766,0.021480083465576172,0.10615301132202148,4095_105,1.0,1.0
1485,1485,0,0,1.5187797546386719,0.021480083465576172,1.4972996711730957,4095_1485,1.0,1.0
210,210,0,0,0.23311519622802734,0.021480083465576172,0.21163511276245117,4095_210,1.0,1.0
2145,2145,0,0,2.1902549266815186,0.021480083465576172,2.1687748432159424,4095_2145,1.0,1.0
3003,3003,0,0,3.0440592765808105,0.021480083465576172,3.0225791931152344,4095_3003,1.0,1.0
378,378,0,0,0.4027376174926758,0.021480083465576172,0.3812575340270996,4095_378,1.0,1.0
45,45,0,0,0.06853771209716797,0.021480083465576172,0.0470576286315918,4095_45,1.0,1.0
630,630,0,0,0.7923064231872559,0.021480083465576172,0.7708263397216797,4095_630,1.0,1.0
990,990,0,0,1.0218677520751953,0.021480083465576172,1.0003876686096191,4095_990,1.0,1.0
105,105,0,0,0.10953640937805176,0.002683401107788086,0.10685300827026367,45_105,1.0,1.0
1485,1485,0,0,1.5523762702941895,0.002683401107788086,1.5496928691864014,45_1485,1.0,1.0
210,210,0,0,0.21715712547302246,0.002683401107788086,0.21447372436523438,45_210,1.0,1.0
2145,2145,0,0,2.3127613067626953,0.002683401107788086,2.3100779056549072,45_2145,1.0,1.0
3003,3003,0,0,3.0234875679016113,0.002683401107788086,3.0208041667938232,45_3003,1.0,1.0
378,378,0,0,0.38390612602233887,0.002683401107788086,0.3812227249145508,45_378,1.0,1.0
4095,4095,0,0,4.405947923660278,0.002683401107788086,4.40326452255249,45_4095,1.0,1.0
630,630,0,0,0.6380937099456787,0.002683401107788086,0.6354103088378906,45_630,1.0,1.0
990,990,0,0,1.009390115737915,0.002683401107788086,1.006706714630127,45_990,1.0,1.0
105,105,0,0,0.11164259910583496,0.005445957183837891,0.10619664192199707,630_105,1.0,1.0
1485,1485,0,0,1.4996318817138672,0.005445957183837891,1.4941859245300293,630_1485,1.0,1.0
210,210,0,0,0.21951746940612793,0.005445957183837891,0.21407151222229004,630_210,1.0,1.0
2145,2145,0,0,2.315537452697754,0.005445957183837891,2.310091495513916,630_2145,1.0,1.0
3003,3003,0,0,3.025730848312378,0.005445957183837891,3.02028489112854,630_3003,1.0,1.0
378,378,0,0,0.3863551616668701,0.005445957183837891,0.3809092044830322,630_378,1.0,1.0
4095,4095,0,0,4.276385307312012,0.005445957183837891,4.270939350128174,630_4095,1.0,1.0
45,45,0,0,0.053728342056274414,0.005445957183837891,0.04828238487243652,630_45,1.0,1.0
990,990,0,0,1.0055088996887207,0.005445957183837891,1.0000629425048828,630_990,1.0,1.0
105,105,0,0,0.11362743377685547,0.007216691970825195,0.10641074180603027,990_105,1.0,1.0
1485,1485,0,0,1.505976915359497,0.007216691970825195,1.4987602233886719,990_1485,1.0,1.0
210,210,0,0,0.2189178466796875,0.007216691970825195,0.2117011547088623,990_210,1.0,1.0
2145,2145,0,0,2.1728053092956543,0.007216691970825195,2.165588617324829,990_2145,1.0,1.0
3003,3003,0,0,3.026127576828003,0.007216691970825195,3.0189108848571777,990_3003,1.0,1.0
378,378,0,0,0.3903994560241699,0.007216691970825195,0.3831827640533447,990_378,1.0,1.0
4095,4095,0,0,4.342283010482788,0.007216691970825195,4.335066318511963,990_4095,1.0,1.0
45,45,0,0,0.057715654373168945,0.007216691970825195,0.05049896240234375,990_45,1.0,1.0
630,630,0,0,0.6420776844024658,0.007216691970825195,0.6348609924316406,990_630,1.0,1.0
1308.6,1308.6,0.0,0.0,1.361276658376058,0.008603668212890625,1.3526729901631673,average_results,1.0,1.0
