CL,TP,FP,FN,T,T_T,T_P,Instances,Precision,Recall
1485,1485,0,0,17.12494158744812,0.11070489883422852,17.01423668861389,105_1485,1.0,1.0
210,210,0,0,2.5038132667541504,0.11070489883422852,2.393108367919922,105_210,1.0,1.0
2145,2145,0,0,24.501128911972046,0.11070489883422852,24.390424013137817,105_2145,1.0,1.0
3003,3003,0,0,34.3859646320343,0.11070489883422852,34.27525973320007,105_3003,1.0,1.0
378,378,0,0,4.414457321166992,0.11070489883422852,4.303752422332764,105_378,1.0,1.0
4095,4095,0,0,46.80272912979126,0.11070489883422852,46.69202423095703,105_4095,1.0,1.0
45,45,0,0,0.6330380439758301,0.11070489883422852,0.5223331451416016,105_45,1.0,1.0
630,630,0,0,7.2822699546813965,0.11070489883422852,7.171565055847168,105_630,1.0,1.0
990,990,0,0,11.389405965805054,0.11070489883422852,11.278701066970825,105_990,1.0,1.0
105,105,0,0,1.3383913040161133,0.12641477584838867,1.2119765281677246,1485_105,1.0,1.0
210,210,0,0,2.536742687225342,0.12641477584838867,2.410327911376953,1485_210,1.0,1.0
2145,2145,0,0,24.852572679519653,0.12641477584838867,24.726157903671265,1485_2145,1.0,1.0
3003,3003,0,0,34.49320983886719,0.12641477584838867,34.3667950630188,1485_3003,1.0,1.0
378,378,0,0,4.465657472610474,0.12641477584838867,4.339242696762085,1485_378,1.0,1.0
4095,4095,0,0,47.13401246070862,0.12641477584838867,47.00759768486023,1485_4095,1.0,1.0
45,45,0,0,0.6530804634094238,0.12641477584838867,0.5266656875610352,1485_45,1.0,1.0
630,630,0,0,7.352809429168701,0.12641477584838867,7.2263946533203125,1485_630,1.0,1.0
990,990,0,0,11.475122451782227,0.12641477584838867,11.348707675933838,1485_990,1.0,1.0
105,105,0,0,1.3111424446105957,0.11190366744995117,1.1992387771606445,210_105,1.0,1.0
1485,1485,0,0,16.993263006210327,0.11190366744995117,16.881359338760376,210_1485,1.0,1.0
2145,2145,0,0,24.50524067878723,0.11190366744995117,24.39333701133728,210_2145,1.0,1.0
3003,3003,0,0,34.38734006881714,0.11190366744995117,34.27543640136719,210_3003,1.0,1.0
378,378,0,0,4.408786773681641,0.11190366744995117,4.2968831062316895,210_378,1.0,1.0
4095,4095,0,0,46.71748876571655,0.11190366744995117,46.6055850982666,210_4095,1.0,1.0
45,45,0,0,0.6361217498779297,0.11190366744995117,0.5242180824279785,210_45,1.0,1.0
630,630,0,0,7.276706218719482,0.11190366744995117,7.164802551269531,210_630,1.0,1.0
