CL,TP,FP,FN,T,T_T,T_P,Instances,Precision,Recall
1944,1944,0,72,36.56954479217529,0.23349261283874512,36.33605217933655,2016_2016,1.0,0.9642857142857143
216,216,0,0,2.8767809867858887,0.23349261283874512,2.6432883739471436,2016_216,1.0,1.0
3199,2968,231,168,59.826371908187866,0.23349261283874512,59.59287929534912,2016_3136,0.9277899343544858,0.9464285714285714
3900,3900,0,150,72.92683696746826,0.23349261283874512,72.69334435462952,2016_4050,1.0,0.9629629629629629
4992,4992,0,0,98.88226914405823,0.23349261283874512,98.64877653121948,2016_4992,1.0,1.0
544,544,0,0,6.9112021923065186,0.23349261283874512,6.677709579467773,2016_544,1.0,1.0
62,56,6,0,1.8636448383331299,0.23349261283874512,1.6301522254943848,2016_56,0.9032258064516129,1.0
810,810,0,0,10.350158452987671,0.23349261283874512,10.116665840148926,2016_810,1.0,1.0
2016,2016,0,0,27.527229070663452,0.09132599830627441,27.435903072357178,216_2016,1.0,1.0
3185,3052,133,84,54.60804319381714,0.09132599830627441,54.516717195510864,216_3136,0.9582417582417583,0.9732142857142857
3915,3915,0,135,66.26708054542542,0.09132599830627441,66.17575454711914,216_4050,1.0,0.9666666666666667
5088,4992,96,0,90.38334941864014,0.09132599830627441,90.29202342033386,216_4992,0.9811320754716981,1.0
560,544,16,0,6.056921482086182,0.09132599830627441,5.965595483779907,216_544,0.9714285714285714,1.0
60,56,4,0,1.523568868637085,0.09132599830627441,1.4322428703308105,216_56,0.9333333333333333,1.0
828,810,18,0,9.280819654464722,0.09132599830627441,9.189493656158447,216_810,0.9782608695652174,1.0
1872,1872,0,144,54.50903367996216,0.8262333869934082,53.68280029296875,3136_2016,1.0,0.9285714285714286
222,216,6,0,5.750969409942627,0.8262333869934082,4.924736022949219,3136_216,0.972972972972973,1.0
4132,2996,1136,140,106.63237023353577,0.8262333869934082,105.80613684654236,3136_3136,0.7250726040658277,0.9553571428571429
4050,4050,0,0,134.6490020751953,0.8262333869934082,133.8227686882019,3136_4050,1.0,1.0
4992,4992,0,0,172.42682695388794,0.8262333869934082,171.60059356689453,3136_4992,1.0,1.0
520,512,8,32,12.483768463134766,0.8262333869934082,11.657535076141357,3136_544,0.9846153846153847,0.9411764705882353
63,56,7,0,4.422254323959351,0.8262333869934082,3.5960209369659424,3136_56,0.8888888888888888,1.0
810,810,0,0,18.63919234275818,0.8262333869934082,17.81295895576477,3136_810,1.0,1.0
1872,1872,0,144,34.07428216934204,0.25834059715270996,33.81594157218933,4050_2016,1.0,0.9285714285714286
222,216,6,0,3.3098161220550537,0.25834059715270996,3.0514755249023438,4050_216,0.972972972972973,1.0
3185,2940,245,196,67.96182537078857,0.25834059715270996,67.70348477363586,4050_3136,0.9230769230769231,0.9375
5004,4992,12,0,110.84664106369019,0.25834059715270996,110.58830046653748,4050_4992,0.9976019184652278,1.0
520,512,8,32,7.858187913894653,0.25834059715270996,7.599847316741943,4050_544,0.9846153846153847,0.9411764705882353
69,56,13,0,2.224280834197998,0.25834059715270996,1.965940237045288,4050_56,0.8115942028985508,1.0
816,810,6,0,11.848371982574463,0.25834059715270996,11.590031385421753,4050_810,0.9926470588235294,1.0
2156,1944,212,72,55.96422982215881,0.8436260223388672,55.120603799819946,4992_2016,0.9016697588126159,0.9642857142857143
264,216,48,0,6.094476938247681,0.8436260223388672,5.2508509159088135,4992_216,0.8181818181818182,1.0
3550,2828,722,308,107.80039811134338,0.8436260223388672,106.95677208900452,4992_3136,0.7966197183098591,0.9017857142857143
4095,3615,480,435,137.84600925445557,0.8436260223388672,137.0023832321167,4992_4050,0.8827838827838828,0.8925925925925926
576,512,64,32,12.843919038772583,0.8436260223388672,12.000293016433716,4992_544,0.8888888888888888,0.9411764705882353
62,56,6,0,4.611901521682739,0.8436260223388672,3.768275499343872,4992_56,0.9032258064516129,1.0
810,810,0,0,18.844089031219482,0.8436260223388672,18.000463008880615,4992_810,1.0,1.0
2024,1944,80,72,28.184526443481445,0.10999917984008789,28.074527263641357,544_2016,0.9604743083003953,0.9642857142857143
222,216,6,0,2.4670052528381348,0.10999917984008789,2.357006072998047,544_216,0.972972972972973,1.0
4519,2926,1593,210,56.80758309364319,0.10999917984008789,56.6975839138031,544_3136,0.6474883823854836,0.9330357142857143
4014,3630,384,420,69.62437796592712,0.10999917984008789,69.51437878608704,544_4050,0.9043348281016442,0.8962962962962963
4992,4992,0,0,92.41496467590332,0.10999917984008789,92.30496549606323,544_4992,1.0,1.0
56,56,0,0,1.4787793159484863,0.10999917984008789,1.3687801361083984,544_56,1.0,1.0
810,810,0,0,9.64598298072815,0.10999917984008789,9.535983800888062,544_810,1.0,1.0
1824,1792,32,224,28.765820264816284,0.13674020767211914,28.629080057144165,56_2016,0.9824561403508771,0.8888888888888888
198,196,2,20,2.556206226348877,0.13674020767211914,2.419466018676758,56_216,0.98989898989899,0.9074074074074074
3284,2750,534,386,57.88354754447937,0.13674020767211914,57.74680733680725,56_3136,0.8373934226552984,0.8769132653061225
3568,3436,132,614,69.26319169998169,0.13674020767211914,69.12645149230957,56_4050,0.9630044843049327,0.8483950617283951
5007,4992,15,0,93.41140460968018,0.13674020767211914,93.27466440200806,56_4992,0.9970041941282205,1.0
496,496,0,48,6.533096075057983,0.13674020767211914,6.396355867385864,56_544,1.0,0.9117647058823529
818,810,8,0,9.845138311386108,0.13674020767211914,9.70839810371399,56_810,0.9902200488997555,1.0
2156,1944,212,72,29.040597438812256,0.1353616714477539,28.905235767364502,810_2016,0.9016697588126159,0.9642857142857143
264,216,48,0,2.5333640575408936,0.1353616714477539,2.3980023860931396,810_216,0.8181818181818182,1.0
3458,2800,658,336,58.04721140861511,0.1353616714477539,57.91184973716736,810_3136,0.8097165991902834,0.8928571428571429
4095,3615,480,435,70.480388879776,0.1353616714477539,70.34502720832825,810_4050,0.8827838827838828,0.8925925925925926
4992,4992,0,0,94.3367531299591,0.1353616714477539,94.20139145851135,810_4992,1.0,1.0
576,512,64,32,6.7996344566345215,0.1353616714477539,6.664272785186768,810_544,0.8888888888888888,0.9411764705882353
62,56,6,0,1.5731983184814453,0.1353616714477539,1.4378366470336914,810_56,0.9032258064516129,1.0
2045.103448275862,1911.7068965517242,133.39655172413794,86.43103448275862,41.88255931591166,0.3363028230338261,41.54625649287783,average_results,0.9404923286203224,0.9666146656619226
