CL,TP,FP,FN,T,T_T,T_P,Instances,Precision,Recall
1961,1556,405,10,34.61973285675049,0.0267941951751709,34.59293866157532,144_1566,0.7934727180010199,0.9936143039591315
344,224,120,6,3.6972639560699463,0.0267941951751709,3.6704697608947754,144_230,0.6511627906976745,0.9739130434782609
729,504,225,6,9.477828025817871,0.0267941951751709,9.4510338306427,144_510,0.691358024691358,0.9882352941176471
624,528,96,16,10.720672607421875,0.0267941951751709,10.693878412246704,144_544,0.8461538461538461,0.9705882352941176
786,678,108,6,13.86210012435913,0.0267941951751709,13.83530592918396,144_684,0.8625954198473282,0.9912280701754386
1006,826,180,14,19.344411849975586,0.0267941951751709,19.317617654800415,144_840,0.8210735586481114,0.9833333333333333
1277,962,315,4,16.3563973903656,0.0267941951751709,16.32960319519043,144_966,0.7533281127642913,0.9958592132505176
168,144,24,0,1.6817169189453125,0.2005150318145752,1.4812018871307373,1566_144,0.8571428571428571,1.0
1701,1566,135,0,27.481311559677124,0.2005150318145752,27.28079652786255,1566_1566,0.9206349206349206,1.0
270,230,40,0,3.9608867168426514,0.2005150318145752,3.760371685028076,1566_230,0.8518518518518519,1.0
585,510,75,0,9.697179555892944,0.2005150318145752,9.49666452407837,1566_510,0.8717948717948718,1.0
592,544,48,0,11.057623863220215,0.2005150318145752,10.85710883140564,1566_544,0.918918918918919,1.0
738,684,54,0,14.091687202453613,0.2005150318145752,13.891172170639038,1566_684,0.926829268292683,1.0
900,840,60,0,19.620694875717163,0.2005150318145752,19.420179843902588,1566_840,0.9333333333333333,1.0
1071,966,105,0,16.6226327419281,0.2005150318145752,16.422117710113525,1566_966,0.9019607843137255,1.0
168,144,24,0,1.4906129837036133,0.03077387809753418,1.459839105606079,230_144,0.8571428571428571,1.0
1701,1566,135,0,34.66769289970398,0.03077387809753418,34.636919021606445,230_1566,0.9206349206349206,1.0
510,510,0,0,9.46997356414795,0.03077387809753418,9.439199686050415,230_510,1.0,1.0
570,522,48,22,10.788773775100708,0.03077387809753418,10.757999897003174,230_544,0.9157894736842105,0.9595588235294118
738,684,54,0,13.870349168777466,0.03077387809753418,13.839575290679932,230_684,0.926829268292683,1.0
858,798,60,42,19.317928075790405,0.03077387809753418,19.28715419769287,230_840,0.9300699300699301,0.95
1045,940,105,26,16.382891416549683,0.03077387809753418,16.35211753845215,230_966,0.8995215311004785,0.9730848861283644
168,144,24,0,1.529608964920044,0.06345844268798828,1.4661505222320557,510_144,0.8571428571428571,1.0
1701,1566,135,0,34.72273254394531,0.06345844268798828,34.659274101257324,510_1566,0.9206349206349206,1.0
230,230,0,0,3.7308661937713623,0.06345844268798828,3.667407751083374,510_230,1.0,1.0
592,544,48,0,10.881292819976807,0.06345844268798828,10.817834377288818,510_544,0.918918918918919,1.0
738,684,54,0,13.92638897895813,0.06345844268798828,13.862930536270142,510_684,0.926829268292683,1.0
900,840,60,0,19.46953058242798,0.06345844268798828,19.40607213973999,510_840,0.9333333333333333,1.0
1071,966,105,0,16.422794103622437,0.06345844268798828,16.35933566093445,510_966,0.9019607843137255,1.0
144,144,0,0,1.9714784622192383,0.0811467170715332,1.890331745147705,544_144,1.0,1.0
1701,1566,135,0,39.00579619407654,0.0811467170715332,38.924649477005005,544_1566,0.9206349206349206,1.0
270,230,40,0,4.24177098274231,0.0811467170715332,4.160624265670776,544_230,0.8518518518518519,1.0
585,510,75,0,10.7054443359375,0.0811467170715332,10.624297618865967,544_510,0.8717948717948718,1.0
592,544,48,0,12.196851253509521,0.0811467170715332,12.115704536437988,544_544,0.918918918918919,1.0
738,684,54,0,15.930449485778809,0.0811467170715332,15.849302768707275,544_684,0.926829268292683,1.0
900,840,60,0,22.025368690490723,0.0811467170715332,21.94422197341919,544_840,0.9333333333333333,1.0
1071,966,105,0,18.38762879371643,0.0811467170715332,18.306482076644897,544_966,0.9019607843137255,1.0
144,144,0,0,1.5851783752441406,0.10740470886230469,1.477773666381836,684_144,1.0,1.0
1701,1566,135,0,34.84428334236145,0.10740470886230469,34.736878633499146,684_1566,0.9206349206349206,1.0
270,230,40,0,3.7999815940856934,0.10740470886230469,3.6925768852233887,684_230,0.8518518518518519,1.0
585,510,75,0,9.598077297210693,0.10740470886230469,9.490672588348389,684_510,0.8717948717948718,1.0
592,544,48,0,10.915146112442017,0.10740470886230469,10.807741403579712,684_544,0.918918918918919,1.0
900,840,60,0,19.492594480514526,0.10740470886230469,19.38518977165222,684_840,0.9333333333333333,1.0
1071,966,105,0,16.622695684432983,0.10740470886230469,16.51529097557068,684_966,0.9019607843137255,1.0
144,144,0,0,3.551184892654419,0.46080923080444336,3.0903756618499756,840_144,1.0,1.0
1566,1566,0,0,44.31499934196472,0.46080923080444336,43.85419011116028,840_1566,1.0,1.0
230,230,0,0,5.250204086303711,0.46080923080444336,4.789394855499268,840_230,1.0,1.0
510,510,0,0,12.52753210067749,0.46080923080444336,12.066722869873047,840_510,1.0,1.0
544,544,0,0,14.0597562789917,0.46080923080444336,13.598947048187256,840_544,1.0,1.0
684,684,0,0,18.8205509185791,0.46080923080444336,18.359741687774658,840_684,1.0,1.0
966,966,0,0,20.905489921569824,0.46080923080444336,20.44468069076538,840_966,1.0,1.0
168,144,24,0,1.5850894451141357,0.10455989837646484,1.480529546737671,966_144,0.8571428571428571,1.0
1701,1566,135,0,34.8017041683197,0.10455989837646484,34.69714426994324,966_1566,0.9206349206349206,1.0
270,230,40,0,3.7984256744384766,0.10455989837646484,3.6938657760620117,966_230,0.8518518518518519,1.0
585,510,75,0,9.671278715133667,0.10455989837646484,9.566718816757202,966_510,0.8717948717948718,1.0
592,544,48,0,10.848570346832275,0.10455989837646484,10.74401044845581,966_544,0.918918918918919,1.0
738,684,54,0,13.988389015197754,0.10455989837646484,13.883829116821289,966_684,0.926829268292683,1.0
900,840,60,0,19.505064964294434,0.10455989837646484,19.40050506591797,966_840,0.9333333333333333,1.0
769.0344827586207,695.6206896551724,73.41379310344827,2.6206896551724137,14.722664849511508,0.13465338739855537,14.588011462112952,average_results,0.9054266205621665,0.9961968138494177
