CL,TP,FP,FN,T,T_T,T_P,Instances,Precision,Recall
1485,1485,0,0,1.5189108848571777,0.1076509952545166,1.4112598896026611,105_1485,1.0,1.0
210,210,0,0,0.30751490592956543,0.1076509952545166,0.19986391067504883,105_210,1.0,1.0
2145,2145,0,0,2.1456329822540283,0.1076509952545166,2.0379819869995117,105_2145,1.0,1.0
3003,3003,0,0,2.9593749046325684,0.1076509952545166,2.8517239093780518,105_3003,1.0,1.0
378,378,0,0,0.4699878692626953,0.1076509952545166,0.3623368740081787,105_378,1.0,1.0
4095,4095,0,0,3.998412847518921,0.1076509952545166,3.8907618522644043,105_4095,1.0,1.0
45,45,0,0,0.15347623825073242,0.1076509952545166,0.04582524299621582,105_45,1.0,1.0
630,630,0,0,0.7053415775299072,0.1076509952545166,0.5976905822753906,105_630,1.0,1.0
990,990,0,0,1.0480072498321533,0.1076509952545166,0.9403562545776367,105_990,1.0,1.0
105,105,0,0,0.5101604461669922,0.41047024726867676,0.09969019889831543,1485_105,1.0,1.0
210,210,0,0,0.6089634895324707,0.41047024726867676,0.19849324226379395,1485_210,1.0,1.0
2145,2145,0,0,2.4385695457458496,0.41047024726867676,2.028099298477173,1485_2145,1.0,1.0
3003,3003,0,0,3.3800199031829834,0.41047024726867676,2.9695496559143066,1485_3003,1.0,1.0
378,378,0,0,0.7681705951690674,0.41047024726867676,0.3577003479003906,1485_378,1.0,1.0
4095,4095,0,0,4.2779693603515625,0.41047024726867676,3.8674991130828857,1485_4095,1.0,1.0
45,45,0,0,0.45612168312072754,0.41047024726867676,0.04565143585205078,1485_45,1.0,1.0
630,630,0,0,1.003605604171753,0.41047024726867676,0.5931353569030762,1485_630,1.0,1.0
990,990,0,0,1.3464281558990479,0.41047024726867676,0.9359579086303711,1485_990,1.0,1.0
105,105,0,0,0.33677029609680176,0.23678326606750488,0.09998703002929688,210_105,1.0,1.0
1485,1485,0,0,1.7886555194854736,0.23678326606750488,1.5518722534179688,210_1485,1.0,1.0
2145,2145,0,0,2.2785542011260986,0.23678326606750488,2.0417709350585938,210_2145,1.0,1.0
3003,3003,0,0,3.229233503341675,0.23678326606750488,2.99245023727417,210_3003,1.0,1.0
378,378,0,0,0.5962097644805908,0.23678326606750488,0.35942649841308594,210_378,1.0,1.0
4095,4095,0,0,4.279792785644531,0.23678326606750488,4.043009519577026,210_4095,1.0,1.0
45,45,0,0,0.28255271911621094,0.23678326606750488,0.045769453048706055,210_45,1.0,1.0
630,630,0,0,0.8354063034057617,0.23678326606750488,0.5986230373382568,210_630,1.0,1.0
990,990,0,0,1.178457498550415,0.23678326606750488,0.9416742324829102,210_990,1.0,1.0
105,105,0,0,0.5538287162780762,0.4541435241699219,0.0996851921081543,2145_105,1.0,1.0
1485,1485,0,0,1.859253168106079,0.4541435241699219,1.4051096439361572,2145_1485,1.0,1.0
210,210,0,0,0.6529109477996826,0.4541435241699219,0.19876742362976074,2145_210,1.0,1.0
3003,3003,0,0,3.2815182209014893,0.4541435241699219,2.8273746967315674,2145_3003,1.0,1.0
378,378,0,0,0.8116016387939453,0.4541435241699219,0.35745811462402344,2145_378,1.0,1.0
4095,4095,0,0,4.4723124504089355,0.4541435241699219,4.018168926239014,2145_4095,1.0,1.0
45,45,0,0,0.49959540367126465,0.4541435241699219,0.04545187950134277,2145_45,1.0,1.0
630,630,0,0,1.0483288764953613,0.4541435241699219,0.5941853523254395,2145_630,1.0,1.0
