CL,TP,FP,FN,T,T_T,T_P,Instances,Precision,Recall
1214,1214,0,0,33.246384382247925,16.710685968399048,16.535698413848877,1208_1214,1.0,1.0
1405,1405,0,0,30.568055152893066,16.710685968399048,13.857369184494019,1208_1405,1.0,1.0
1480,1480,0,0,26.684382677078247,16.710685968399048,9.9736967086792,1208_1480,1.0,1.0
1926,1566,360,0,49.10459804534912,16.710685968399048,32.39391207695007,1208_1566,0.8130841121495327,1.0
1706,1706,0,0,49.16948127746582,16.710685968399048,32.45879530906677,1208_1706,1.0,1.0
2484,2016,468,0,70.45894241333008,16.710685968399048,53.74825644493103,1208_2016,0.8115942028985508,1.0
2315,2315,0,0,53.76460099220276,16.710685968399048,37.05391502380371,1208_2315,1.0,1.0
2432,2432,0,0,59.42770838737488,16.710685968399048,42.71702241897583,1208_2432,1.0,1.0
624,516,108,0,20.289921760559082,16.710685968399048,3.579235792160034,1208_516,0.8269230769230769,1.0
1416,1208,208,0,28.94536018371582,16.700178146362305,12.245182037353516,1214_1208,0.8531073446327684,1.0
1365,1365,0,40,32.407207012176514,16.700178146362305,15.707028865814209,1214_1405,1.0,0.9715302491103203
1456,1456,0,24,28.102715253829956,16.700178146362305,11.402537107467651,1214_1480,1.0,0.9837837837837838
4656,1566,3090,0,53.862067222595215,16.700178146362305,37.16188907623291,1214_1566,0.33634020618556704,1.0
1688,1688,0,18,53.871405839920044,16.700178146362305,37.17122769355774,1214_1706,1.0,0.9894490035169988
7167,2016,5151,0,78.03155755996704,16.700178146362305,61.331379413604736,1214_2016,0.2812892423608204,1.0
2295,2295,0,20,58.938477516174316,16.700178146362305,42.23829936981201,1214_2315,1.0,0.9913606911447084
3745,2432,1313,0,65.47792267799377,16.700178146362305,48.77774453163147,1214_2432,0.6493991989319092,1.0
666,516,150,0,20.800233602523804,16.700178146362305,4.100055456161499,1214_516,0.7747747747747747,1.0
1272,1208,64,0,22.15869665145874,11.525248527526855,10.633448123931885,1405_1208,0.949685534591195,1.0
1214,1214,0,0,28.096967697143555,11.525248527526855,16.5717191696167,1405_1214,1.0,1.0
1480,1480,0,0,21.485116004943848,11.525248527526855,9.959867477416992,1405_1480,1.0,1.0
2706,1566,1140,0,43.87160778045654,11.525248527526855,32.34635925292969,1405_1566,0.5787139689578714,1.0
1706,1706,0,0,44.00184965133667,11.525248527526855,32.476601123809814,1405_1706,1.0,1.0
3822,2016,1806,0,65.05943179130554,11.525248527526855,53.53418326377869,1405_2016,0.5274725274725275,1.0
2315,2315,0,0,48.58608913421631,11.525248527526855,37.06084060668945,1405_2315,1.0,1.0
2836,2432,404,0,54.08447027206421,11.525248527526855,42.55922174453735,1405_2432,0.8575458392101551,1.0
636,516,120,0,15.090842485427856,11.525248527526855,3.565593957901001,1405_516,0.8113207547169812,1.0
1208,1208,0,0,19.70160222053528,9.079798221588135,10.621803998947144,1480_1208,1.0,1.0
1214,1214,0,0,25.591193914413452,9.079798221588135,16.511395692825317,1480_1214,1.0,1.0
1405,1405,0,0,22.854341506958008,9.079798221588135,13.774543285369873,1480_1405,1.0,1.0
1846,1566,280,0,41.442747592926025,9.079798221588135,32.36294937133789,1480_1566,0.8483206933911159,1.0
1706,1706,0,0,41.38137745857239,9.079798221588135,32.30157923698425,1480_1706,1.0,1.0
2380,2016,364,0,62.70804166793823,9.079798221588135,53.6282434463501,1480_2016,0.8470588235294118,1.0
2315,2315,0,0,46.13538312911987,9.079798221588135,37.05558490753174,1480_2315,1.0,1.0
2432,2432,0,0,51.60988664627075,9.079798221588135,42.53008842468262,1480_2432,1.0,1.0
600,516,84,0,12.656563520431519,9.079798221588135,3.576765298843384,1480_516,0.86,1.0
1080,1080,0,128,44.08012390136719,31.850016593933105,12.230107307434082,1566_1208,1.0,0.8940397350993378
990,990,0,224,50.866103172302246,31.850016593933105,19.01608657836914,1566_1214,1.0,0.8154859967051071
1155,1155,0,250,47.601494789123535,31.850016593933105,15.75147819519043,1566_1405,1.0,0.8220640569395018
1330,1330,0,150,43.286067485809326,31.850016593933105,11.43605089187622,1566_1480,1.0,0.8986486486486487
1386,1386,0,320,68.9705867767334,31.850016593933105,37.12057018280029,1566_1706,1.0,0.8124267291910903
1836,1836,0,180,93.29832863807678,31.850016593933105,61.44831204414368,1566_2016,1.0,0.9107142857142857
1890,1890,0,425,74.14660620689392,31.850016593933105,42.296589612960815,1566_2315,1.0,0.816414686825054
2160,2160,0,272,80.90462017059326,31.850016593933105,49.054603576660156,1566_2432,1.0,0.8881578947368421
462,462,0,54,35.96022653579712,31.850016593933105,4.110209941864014,1566_516,1.0,0.8953488372093024
1336,1208,128,0,43.56194853782654,31.340186834335327,12.221761703491211,1706_1208,0.9041916167664671,1.0
1214,1214,0,0,50.2776620388031,31.340186834335327,18.937475204467773,1706_1214,1.0,1.0
1405,1405,0,0,47.07680606842041,31.340186834335327,15.736619234085083,1706_1405,1.0,1.0
1480,1480,0,0,42.75822448730469,31.340186834335327,11.41803765296936,1706_1480,1.0,1.0
3746,1566,2180,0,68.43210768699646,31.340186834335327,37.09192085266113,1706_1566,0.4180459156433529,1.0
5606,2016,3590,0,92.63716888427734,31.340186834335327,61.29698204994202,1706_2016,0.3596146985372815,1.0
2315,2315,0,0,73.52755093574524,31.340186834335327,42.18736410140991,1706_2315,1.0,1.0
3240,2432,808,0,80.18037533760071,31.340186834335327,48.84018850326538,1706_2432,0.7506172839506173,1.0
652,516,136,0,35.43889856338501,31.340186834335327,4.098711729049683,1706_516,0.7914110429447853,1.0
1208,1208,0,0,140.18562936782837,127.89001703262329,12.295612335205078,2016_1208,1.0,1.0
1186,1186,0,28,146.92476630210876,127.89001703262329,19.034749269485474,2016_1214,1.0,0.9769357495881383
1375,1375,0,30,143.75901794433594,127.89001703262329,15.869000911712646,2016_1405,1.0,0.9786476868327402
1468,1468,0,12,139.34783744812012,127.89001703262329,11.457820415496826,2016_1480,1.0,0.9918918918918919
1566,1566,0,0,165.26596236228943,127.89001703262329,37.37594532966614,2016_1566,1.0,1.0
1666,1666,0,40,165.27049279212952,127.89001703262329,37.380475759506226,2016_1706,1.0,0.9765533411488863
2264,2264,0,51,170.29223322868347,127.89001703262329,42.40221619606018,2016_2315,1.0,0.9779697624190065
2432,2432,0,0,177.55214715003967,127.89001703262329,49.66213011741638,2016_2432,1.0,1.0
516,516,0,0,132.02111721038818,127.89001703262329,4.131100177764893,2016_516,1.0,1.0
1464,1208,256,0,37.66422176361084,25.47422194480896,12.18999981880188,2315_1208,0.825136612021858,1.0
1278,1214,64,0,44.43292856216431,25.47422194480896,18.958706617355347,2315_1214,0.9499217527386542,1.0
1755,1405,350,0,41.25855755805969,25.47422194480896,15.784335613250732,2315_1405,0.8005698005698005,1.0
1605,1480,125,0,36.85091280937195,25.47422194480896,11.376690864562988,2315_1480,0.9221183800623053,1.0
5436,1566,3870,0,62.535385847091675,25.47422194480896,37.061163902282715,2315_1566,0.28807947019867547,1.0
2042,1706,336,0,62.53944778442383,25.47422194480896,37.06522583961487,2315_1706,0.8354554358472086,1.0
8505,2016,6489,0,86.90342903137207,25.47422194480896,61.42920708656311,2315_2016,0.23703703703703705,1.0
4048,2432,1616,0,74.38172769546509,25.47422194480896,48.90750575065613,2315_2432,0.6007905138339921,1.0
678,516,162,0,29.5766818523407,25.47422194480896,4.102459907531738,2315_516,0.7610619469026548,1.0
1208,1208,0,0,87.48568105697632,76.86226892471313,10.623412132263184,2432_1208,1.0,1.0
1214,1214,0,0,93.40283513069153,76.86226892471313,16.540566205978394,2432_1214,1.0,1.0
1405,1405,0,0,90.59620118141174,76.86226892471313,13.733932256698608,2432_1405,1.0,1.0
1480,1480,0,0,86.89168739318848,76.86226892471313,10.029418468475342,2432_1480,1.0,1.0
1926,1566,360,0,109.22926497459412,76.86226892471313,32.36699604988098,2432_1566,0.8130841121495327,1.0
1706,1706,0,0,109.45660305023193,76.86226892471313,32.5943341255188,2432_1706,1.0,1.0
2484,2016,468,0,130.64420795440674,76.86226892471313,53.7819390296936,2432_2016,0.8115942028985508,1.0
2315,2315,0,0,113.88787722587585,76.86226892471313,37.02560830116272,2432_2315,1.0,1.0
624,516,108,0,80.4330153465271,76.86226892471313,3.570746421813965,2432_516,0.8269230769230769,1.0
1080,1080,0,128,13.56082034111023,2.869549512863159,10.69127082824707,516_1208,1.0,0.8940397350993378
990,990,0,224,19.34714365005493,2.869549512863159,16.477594137191772,516_1214,1.0,0.8154859967051071
1155,1155,0,250,16.663086414337158,2.869549512863159,13.793536901473999,516_1405,1.0,0.8220640569395018
1330,1330,0,150,12.79182767868042,2.869549512863159,9.92227816581726,516_1480,1.0,0.8986486486486487
1386,1386,0,180,35.28583645820618,2.869549512863159,32.41628694534302,516_1566,1.0,0.8850574712643678
1386,1386,0,320,35.29345655441284,2.869549512863159,32.42390704154968,516_1706,1.0,0.8124267291910903
1782,1782,0,234,56.51943016052246,2.869549512863159,53.6498806476593,516_2016,1.0,0.8839285714285714
1890,1890,0,425,39.75836205482483,2.869549512863159,36.88881254196167,516_2315,1.0,0.816414686825054
2160,2160,0,272,45.31174159049988,2.869549512863159,42.44219207763672,516_2432,1.0,0.8881578947368421
1938.1,1536.3666666666666,401.73333333333335,49.43333333333333,62.06659673584832,35.03021717071533,27.03637956513299,average_results,0.8946920355528012,0.9700849646816017
