CL,TP,FP,FN,T,T_T,T_P,Instances,Precision,Recall
990,990,0,224,0.043547630310058594,0.03450369834899902,0.00904393196105957,1208_1214,1.0,0.8154859967051071
1155,1155,0,250,0.10947918891906738,0.03450369834899902,0.07497549057006836,1208_1405,1.0,0.8220640569395018
1330,1330,0,150,0.04636025428771973,0.03450369834899902,0.011856555938720703,1208_1480,1.0,0.8986486486486487
1386,1386,0,180,0.0471498966217041,0.03450369834899902,0.012646198272705078,1208_1566,1.0,0.8850574712643678
1386,1386,0,320,0.047130584716796875,0.03450369834899902,0.012626886367797852,1208_1706,1.0,0.8124267291910903
1782,1782,0,234,0.05076265335083008,0.03450369834899902,0.016258955001831055,1208_2016,1.0,0.8839285714285714
1890,1890,0,425,0.051377296447753906,0.03450369834899902,0.016873598098754883,1208_2315,1.0,0.816414686825054
2160,2160,0,272,0.053469181060791016,0.03450369834899902,0.018965482711791992,1208_2432,1.0,0.8881578947368421
462,462,0,54,0.03891348838806152,0.03450369834899902,0.0044097900390625,1208_516,1.0,0.8953488372093024
1080,1080,0,128,0.049436092376708984,0.03981375694274902,0.009622335433959961,1214_1208,1.0,0.8940397350993378
1155,1155,0,250,0.050225019454956055,0.03981375694274902,0.010411262512207031,1214_1405,1.0,0.8220640569395018
1330,1330,0,150,0.05157828330993652,0.03981375694274902,0.0117645263671875,1214_1480,1.0,0.8986486486486487
1386,1386,0,180,0.11744308471679688,0.03981375694274902,0.07762932777404785,1214_1566,1.0,0.8850574712643678
1386,1386,0,320,0.05271148681640625,0.03981375694274902,0.012897729873657227,1214_1706,1.0,0.8124267291910903
1782,1782,0,234,0.055895328521728516,0.03981375694274902,0.016081571578979492,1214_2016,1.0,0.8839285714285714
1890,1890,0,425,0.05671548843383789,0.03981375694274902,0.016901731491088867,1214_2315,1.0,0.816414686825054
2160,2160,0,272,0.0587773323059082,0.03981375694274902,0.01896357536315918,1214_2432,1.0,0.8881578947368421
