CL,TP,FP,FN,T,T_T,T_P,Instances,Precision,Recall
1898,1880,18,136,302.0699362754822,44.916836977005005,257.1530992984772,2016_2016,0.9905163329820864,0.9325396825396826
228,216,12,0,187.8950116634369,44.916836977005005,142.97817468643188,2016_216,0.9473684210526315,1.0
3849,2780,1069,356,1252.4283118247986,44.916836977005005,1207.5114748477936,2016_3136,0.7222655235126006,0.8864795918367347
3681,3615,66,435,450.6169021129608,44.916836977005005,405.7000651359558,2016_4050,0.9820700896495518,0.8925925925925926
4784,4352,432,640,1339.7189548015594,44.916836977005005,1294.8021178245544,2016_4992,0.9096989966555183,0.8717948717948718
566,544,22,0,229.14425110816956,44.916836977005005,184.22741413116455,2016_544,0.9611307420494699,1.0
66,56,10,0,251.30332493782043,44.916836977005005,206.38648796081543,2016_56,0.8484848484848485,1.0
828,810,18,0,250.49121928215027,44.916836977005005,205.57438230514526,2016_810,0.9782608695652174,1.0
2016,2016,0,0,237.73796963691711,34.80845832824707,202.92951130867004,216_2016,1.0,1.0
3466,3030,436,106,986.5721166133881,34.80845832824707,951.763658285141,216_3136,0.8742065781881131,0.9661989795918368
3789,3672,117,378,354.45083117485046,34.80845832824707,319.6423728466034,216_4050,0.9691211401425178,0.9066666666666666
4768,4768,0,224,1050.0583848953247,34.80845832824707,1015.2499265670776,216_4992,1.0,0.9551282051282052
545,544,1,0,178.99145698547363,34.80845832824707,144.18299865722656,216_544,0.998165137614679,1.0
64,56,8,0,195.21023678779602,34.80845832824707,160.40177845954895,216_56,0.875,1.0
810,810,0,0,196.59525299072266,34.80845832824707,161.7867946624756,216_810,1.0,1.0
2297,1908,389,108,890.05837059021,279.74341106414795,610.314959526062,3136_2016,0.8306486721811058,0.9464285714285714
362,216,146,0,618.0746576786041,279.74341106414795,338.3312466144562,3136_216,0.5966850828729282,1.0
6161,2996,3165,140,3149.345929145813,279.74341106414795,2869.602518081665,3136_3136,0.4862846940431748,0.9553571428571429
4058,4050,8,0,1234.3863887786865,279.74341106414795,954.6429777145386,3136_4050,0.9980285855101035,1.0
7836,4992,2844,0,3330.631359577179,279.74341106414795,3050.887948513031,3136_4992,0.6370597243491577,1.0
789,512,277,32,715.8497319221497,279.74341106414795,436.1063208580017,3136_544,0.6489226869455006,0.9411764705882353
72,56,16,0,763.3651883602142,279.74341106414795,483.6217772960663,3136_56,0.7777777777777778,1.0
966,810,156,0,768.2157435417175,279.74341106414795,488.4723324775696,3136_810,0.8385093167701864,1.0
2202,1968,234,48,357.20591497421265,63.0957989692688,294.11011600494385,4050_2016,0.8937329700272479,0.9761904761904762
356,216,140,0,226.75697827339172,63.0957989692688,163.66117930412292,4050_216,0.6067415730337079,1.0
3924,2968,956,168,1446.2776718139648,63.0957989692688,1383.181872844696,4050_3136,0.7563710499490316,0.9464285714285714
5785,4608,1177,384,1533.204005241394,63.0957989692688,1470.1082062721252,4050_4992,0.796542783059637,0.9230769230769231
855,512,343,32,272.15666341781616,63.0957989692688,209.06086444854736,4050_544,0.5988304093567252,0.9411764705882353
93,56,37,0,295.71119952201843,63.0957989692688,232.61540055274963,4050_56,0.6021505376344086,1.0
931,810,121,0,297.6601412296295,63.0957989692688,234.56434226036072,4050_810,0.8700322234156821,1.0
2232,1872,360,144,334.5613877773285,83.08109927177429,251.4802885055542,4992_2016,0.8387096774193549,0.9285714285714286
264,204,60,12,222.05566930770874,83.08109927177429,138.97457003593445,4992_216,0.7727272727272727,0.9444444444444444
3326,2800,526,336,1264.1378993988037,83.08109927177429,1181.0568001270294,4992_3136,0.8418520745640409,0.8928571428571429
