CL,TP,FP,FN,T,T_T,T_P,Instances,Precision,Recall
2016,2016,0,0,33.1163067817688,6.809851169586182,26.306455612182617,2016_2016,1.0,1.0
216,216,0,0,7.854511499404907,6.809851169586182,1.0446603298187256,2016_216,1.0,1.0
3136,3136,0,0,36.01365923881531,6.809851169586182,29.203808069229126,2016_3136,1.0,1.0
4050,4050,0,0,44.76250219345093,6.809851169586182,37.952651023864746,2016_4050,1.0,1.0
4992,4992,0,0,60.50566911697388,6.809851169586182,53.695817947387695,2016_4992,1.0,1.0
544,544,0,0,9.93755578994751,6.809851169586182,3.127704620361328,2016_544,1.0,1.0
56,56,0,0,7.480430841445923,6.809851169586182,0.6705796718597412,2016_56,1.0,1.0
810,810,0,0,11.75274658203125,6.809851169586182,4.942895412445068,2016_810,1.0,1.0
2016,2016,0,0,22.464406967163086,7.090394020080566,15.37401294708252,216_2016,1.0,1.0
3136,3136,0,0,36.34720182418823,7.090394020080566,29.256807804107666,216_3136,1.0,1.0
4050,4050,0,0,44.35337448120117,7.090394020080566,37.262980461120605,216_4050,1.0,1.0
4992,4992,0,0,56.33692908287048,7.090394020080566,49.24653506278992,216_4992,1.0,1.0
544,544,0,0,10.214974164962769,7.090394020080566,3.124580144882202,216_544,1.0,1.0
56,56,0,0,7.933948040008545,7.090394020080566,0.8435540199279785,216_56,1.0,1.0
810,810,0,0,12.039241790771484,7.090394020080566,4.948847770690918,216_810,1.0,1.0
2016,2016,0,0,27.3241868019104,11.688118696212769,15.636068105697632,3136_2016,1.0,1.0
216,216,0,0,12.739758253097534,11.688118696212769,1.0516395568847656,3136_216,1.0,1.0
3136,3136,0,0,41.22907018661499,11.688118696212769,29.54095149040222,3136_3136,1.0,1.0
4050,4050,0,0,49.380369901657104,11.688118696212769,37.692251205444336,3136_4050,1.0,1.0
4992,4992,0,0,71.03169751167297,11.688118696212769,59.343578815460205,3136_4992,1.0,1.0
544,544,0,0,14.849421501159668,11.688118696212769,3.1613028049468994,3136_544,1.0,1.0
56,56,0,0,12.3997323513031,11.688118696212769,0.711613655090332,3136_56,1.0,1.0
810,810,0,0,16.68746042251587,11.688118696212769,4.999341726303101,3136_810,1.0,1.0
2016,2016,0,0,25.59082865715027,10.10731291770935,15.483515739440918,4050_2016,1.0,1.0
216,216,0,0,11.1494300365448,10.10731291770935,1.0421171188354492,4050_216,1.0,1.0
3136,3136,0,0,39.492931604385376,10.10731291770935,29.385618686676025,4050_3136,1.0,1.0
4992,4992,0,0,64.81338739395142,10.10731291770935,54.706074476242065,4050_4992,1.0,1.0
544,544,0,0,13.260831117630005,10.10731291770935,3.1535181999206543,4050_544,1.0,1.0
56,56,0,0,10.77581787109375,10.10731291770935,0.6685049533843994,4050_56,1.0,1.0
810,810,0,0,15.089933395385742,10.10731291770935,4.982620477676392,4050_810,1.0,1.0
1826,1742,84,274,26.22245979309082,10.707476615905762,15.514983177185059,4992_2016,0.9539978094194962,0.8640873015873016
204,194,10,22,11.756627798080444,10.707476615905762,1.0491511821746826,4992_216,0.9509803921568627,0.8981481481481481
2764,2758,6,378,48.13652944564819,10.707476615905762,37.42905282974243,4992_3136,0.9978292329956585,0.8794642857142857
3594,3550,44,500,48.359313011169434,10.707476615905762,37.65183639526367,4992_4050,0.9877573734001113,0.8765432098765432
520,488,32,56,13.860541105270386,10.707476615905762,3.153064489364624,4992_544,0.9384615384615385,0.8970588235294118
56,56,0,0,11.444554090499878,10.707476615905762,0.7370774745941162,4992_56,1.0,1.0
810,810,0,0,15.70967149734497,10.707476615905762,5.002194881439209,4992_810,1.0,1.0
2016,2016,0,0,27.124822854995728,6.480495452880859,20.644327402114868,544_2016,1.0,1.0
