CL,TP,FP,FN,T,T_T,T_P,Instances,Precision,Recall
2016,2016,0,0,126.11317014694214,0.691004753112793,125.42216539382935,2016_2016,1.0,1.0
216,216,0,0,8.539934873580933,0.691004753112793,7.84893012046814,2016_216,1.0,1.0
3136,3136,0,0,235.56981539726257,0.691004753112793,234.87881064414978,2016_3136,1.0,1.0
4050,4050,0,0,305.7500956058502,0.691004753112793,305.0590908527374,2016_4050,1.0,1.0
4992,4992,0,0,397.74325466156006,0.691004753112793,397.05224990844727,2016_4992,1.0,1.0
544,544,0,0,25.47143292427063,0.691004753112793,24.780428171157837,2016_544,1.0,1.0
56,56,0,0,2.404966115951538,0.691004753112793,1.7139613628387451,2016_56,1.0,1.0
810,810,0,0,40.32603883743286,0.691004753112793,39.63503408432007,2016_810,1.0,1.0
2016,2016,0,0,124.49441599845886,0.45060300827026367,124.0438129901886,216_2016,1.0,1.0
3136,3136,0,0,232.90080332756042,0.45060300827026367,232.45020031929016,216_3136,1.0,1.0
4052,4050,2,0,302.9100968837738,0.45060300827026367,302.45949387550354,216_4050,0.9995064165844028,1.0
4992,4992,0,0,394.8176488876343,0.45060300827026367,394.367045879364,216_4992,1.0,1.0
552,544,8,0,25.088339805603027,0.45060300827026367,24.637736797332764,216_544,0.9855072463768116,1.0
58,56,2,0,2.1529743671417236,0.45060300827026367,1.70237135887146,216_56,0.9655172413793104,1.0
810,810,0,0,39.82370710372925,0.45060300827026367,39.373104095458984,216_810,1.0,1.0
2016,2016,0,0,128.78213334083557,3.3040802478790283,125.47805309295654,3136_2016,1.0,1.0
220,216,4,0,11.175522089004517,3.3040802478790283,7.871441841125488,3136_216,0.9818181818181818,1.0
3136,3136,0,0,238.30400729179382,3.3040802478790283,234.9999270439148,3136_3136,1.0,1.0
4050,4050,0,0,308.8418092727661,3.3040802478790283,305.5377290248871,3136_4050,1.0,1.0
4992,4992,0,0,401.9502239227295,3.3040802478790283,398.64614367485046,3136_4992,1.0,1.0
544,544,0,0,28.173638343811035,3.3040802478790283,24.869558095932007,3136_544,1.0,1.0
56,56,0,0,5.0330822467803955,3.3040802478790283,1.7290019989013672,3136_56,1.0,1.0
810,810,0,0,43.155081033706665,3.3040802478790283,39.85100078582764,3136_810,1.0,1.0
2016,2016,0,0,125.18373990058899,1.0529794692993164,124.13076043128967,4050_2016,1.0,1.0
216,216,0,0,8.829028129577637,1.0529794692993164,7.77604866027832,4050_216,1.0,1.0
3136,3136,0,0,233.59940934181213,1.0529794692993164,232.54642987251282,4050_3136,1.0,1.0
4992,4992,0,0,395.6140990257263,1.0529794692993164,394.561119556427,4050_4992,1.0,1.0
544,544,0,0,25.657310009002686,1.0529794692993164,24.60433053970337,4050_544,1.0,1.0
56,56,0,0,2.7556257247924805,1.0529794692993164,1.702646255493164,4050_56,1.0,1.0
810,810,0,0,40.534181118011475,1.0529794692993164,39.48120164871216,4050_810,1.0,1.0
1896,1752,144,264,127.46494197845459,3.1881721019744873,124.2767698764801,4992_2016,0.9240506329113924,0.8690476190476191
210,198,12,18,11.006616830825806,3.1881721019744873,7.818444728851318,4992_216,0.9428571428571428,0.9166666666666666
3304,2866,438,270,235.9688663482666,3.1881721019744873,232.78069424629211,4992_3136,0.8674334140435835,0.9139030612244898
3991,3571,420,479,305.15840435028076,3.1881721019744873,301.9702322483063,4992_4050,0.8947632172387873,0.8817283950617284
536,504,32,40,27.8476881980896,3.1881721019744873,24.659516096115112,4992_544,0.9402985074626866,0.9264705882352942
56,56,0,0,4.900673151016235,3.1881721019744873,1.712501049041748,4992_56,1.0,1.0
810,810,0,0,42.65044116973877,3.1881721019744873,39.46226906776428,4992_810,1.0,1.0
2036,2016,20,0,125.39137578010559,0.5424435138702393,124.84893226623535,544_2016,0.9901768172888016,1.0
220,216,4,0,8.419674396514893,0.5424435138702393,7.877230882644653,544_216,0.9818181818181818,1.0
3172,3136,36,0,235.50216341018677,0.5424435138702393,234.95971989631653,544_3136,0.9886506935687264,1.0
4100,4050,50,0,305.3400926589966,0.5424435138702393,304.79764914512634,544_4050,0.9878048780487805,1.0
4992,4992,0,0,397.8466577529907,0.5424435138702393,397.3042142391205,544_4992,1.0,1.0
61,56,5,0,2.2577145099639893,0.5424435138702393,1.71527099609375,544_56,0.9180327868852459,1.0
810,810,0,0,40.11221790313721,0.5424435138702393,39.56977438926697,544_810,1.0,1.0
1832,1800,32,216,124.82300472259521,0.5627272129058838,124.26027750968933,56_2016,0.982532751091703,0.8928571428571429
208,196,12,20,8.367209672927856,0.5627272129058838,7.804482460021973,56_216,0.9423076923076923,0.9074074074074074
3274,3058,216,78,233.2646460533142,0.5627272129058838,232.70191884040833,56_3136,0.9340256566890653,0.9751275510204082
4007,3790,217,260,302.9134314060211,0.5627272129058838,302.35070419311523,56_4050,0.9458447716496132,0.9358024691358025
5127,4992,135,0,395.2714374065399,0.5627272129058838,394.70871019363403,56_4992,0.9736688121708601,1.0
505,488,17,56,25.223884105682373,0.5627272129058838,24.66115689277649,56_544,0.9663366336633663,0.8970588235294118
842,810,32,0,40.011237144470215,0.5627272129058838,39.44850993156433,56_810,0.9619952494061758,1.0
2016,1822,194,194,126.2865617275238,0.5520055294036865,125.73455619812012,810_2016,0.9037698412698413,0.9037698412698413
224,204,20,12,8.421526193618774,0.5520055294036865,7.869520664215088,810_216,0.9107142857142857,0.9444444444444444
2848,2632,216,504,235.65279626846313,0.5520055294036865,235.10079073905945,810_3136,0.9241573033707865,0.8392857142857143
3729,3436,293,614,305.5717523097992,0.5520055294036865,305.0197467803955,810_4050,0.9214266559399302,0.8483950617283951
4996,4992,4,0,397.5428159236908,0.5520055294036865,396.9908103942871,810_4992,0.9991993594875901,1.0
608,544,64,0,25.400496244430542,0.5520055294036865,24.848490715026855,810_544,0.8947368421052632,1.0
60,56,4,0,2.253957509994507,0.5520055294036865,1.7019519805908203,810_56,0.9333333333333333,1.0
1991.3793103448277,1945.9827586206898,45.39655172413793,52.1551724137931,144.1822046699195,1.3172964803103744,142.86490818960914,average_results,0.9752118025255437,0.9767580135502478
