CL,TP,FP,FN,T,T_T,T_P,Instances,Precision,Recall
1523,1440,83,126,24.9095721244812,0.02616405487060547,24.883408069610596,144_1566,0.9455022980958634,0.9195402298850575
262,202,60,28,2.6107449531555176,0.02616405487060547,2.584580898284912,144_230,0.7709923664122137,0.8782608695652174
519,450,69,60,6.842824459075928,0.02616405487060547,6.816660404205322,144_510,0.8670520231213873,0.8823529411764706
496,496,0,48,7.724995374679565,0.02616405487060547,7.69883131980896,144_544,1.0,0.9117647058823529
630,630,0,54,9.839957475662231,0.02616405487060547,9.813793420791626,144_684,1.0,0.9210526315789473
1084,800,284,40,13.742570877075195,0.02616405487060547,13.71640682220459,144_840,0.7380073800738007,0.9523809523809523
861,861,0,105,11.735042810440063,0.02616405487060547,11.708878755569458,144_966,1.0,0.8913043478260869
124,120,4,24,1.134472131729126,0.17453789710998535,0.9599342346191406,1566_144,0.967741935483871,0.8333333333333334
1431,1431,0,135,19.71126890182495,0.17453789710998535,19.536731004714966,1566_1566,1.0,0.9137931034482759
190,190,0,40,2.782975196838379,0.17453789710998535,2.6084372997283936,1566_230,1.0,0.8260869565217391
435,435,0,75,6.979712724685669,0.17453789710998535,6.805174827575684,1566_510,1.0,0.8529411764705882
496,496,0,48,7.920186281204224,0.17453789710998535,7.745648384094238,1566_544,1.0,0.9117647058823529
630,630,0,54,10.07497763633728,0.17453789710998535,9.900439739227295,1566_684,1.0,0.9210526315789473
780,780,0,60,13.944336414337158,0.17453789710998535,13.769798517227173,1566_840,1.0,0.9285714285714286
861,861,0,105,11.94309401512146,0.17453789710998535,11.768556118011475,1566_966,1.0,0.8913043478260869
180,132,48,12,0.9891321659088135,0.029876232147216797,0.9592559337615967,230_144,0.7333333333333333,0.9166666666666666
2173,1494,679,72,25.10495638847351,0.029876232147216797,25.075080156326294,230_1566,0.6875287620800736,0.9540229885057471
479,455,24,55,6.792578935623169,0.029876232147216797,6.762702703475952,230_510,0.9498956158663883,0.8921568627450981
688,512,176,32,7.768383741378784,0.029876232147216797,7.738507509231567,230_544,0.7441860465116279,0.9411764705882353
882,648,234,36,9.853663921356201,0.029876232147216797,9.823787689208984,230_684,0.7346938775510204,0.9473684210526315
780,780,0,60,13.717477321624756,0.029876232147216797,13.687601089477539,230_840,1.0,0.9285714285714286
1527,924,603,42,11.69914197921753,0.029876232147216797,11.669265747070312,230_966,0.6051080550098232,0.9565217391304348
132,124,8,20,1.0122053623199463,0.058710336685180664,0.9534950256347656,510_144,0.9393939393939394,0.8611111111111112
1431,1431,0,135,24.952670335769653,0.058710336685180664,24.893959999084473,510_1566,1.0,0.9137931034482759
190,190,0,40,2.6602516174316406,0.058710336685180664,2.60154128074646,510_230,1.0,0.8260869565217391
496,496,0,48,7.753399610519409,0.058710336685180664,7.6946892738342285,510_544,1.0,0.9117647058823529
630,630,0,54,9.873943567276001,0.058710336685180664,9.81523323059082,510_684,1.0,0.9210526315789473
780,780,0,60,13.748641967773438,0.058710336685180664,13.689931631088257,510_840,1.0,0.9285714285714286
861,861,0,105,11.740145444869995,0.058710336685180664,11.681435108184814,510_966,1.0,0.8913043478260869
120,120,0,24,1.2343482971191406,0.0751044750213623,1.1592438220977783,544_144,1.0,0.8333333333333334
1431,1431,0,135,29.258747339248657,0.0751044750213623,29.183642864227295,544_1566,1.0,0.9137931034482759
190,190,0,40,3.129027843475342,0.0751044750213623,3.0539233684539795,544_230,1.0,0.8260869565217391
435,435,0,75,8.026081323623657,0.0751044750213623,7.950976848602295,544_510,1.0,0.8529411764705882
496,496,0,48,9.311918020248413,0.0751044750213623,9.23681354522705,544_544,1.0,0.9117647058823529
630,630,0,54,11.699752807617188,0.0751044750213623,11.624648332595825,544_684,1.0,0.9210526315789473
780,780,0,60,16.17854619026184,0.0751044750213623,16.10344171524048,544_840,1.0,0.9285714285714286
861,861,0,105,13.804457426071167,0.0751044750213623,13.729352951049805,544_966,1.0,0.8913043478260869
120,120,0,24,1.0530674457550049,0.0957648754119873,0.9573025703430176,684_144,1.0,0.8333333333333334
1431,1431,0,135,25.19103193283081,0.0957648754119873,25.095267057418823,684_1566,1.0,0.9137931034482759
190,190,0,40,2.708418846130371,0.0957648754119873,2.612653970718384,684_230,1.0,0.8260869565217391
435,435,0,75,6.894012928009033,0.0957648754119873,6.798248052597046,684_510,1.0,0.8529411764705882
496,496,0,48,7.824320554733276,0.0957648754119873,7.728555679321289,684_544,1.0,0.9117647058823529
