CL,TP,FP,FN,T,T_T,T_P,Instances,Precision,Recall
1979,1566,413,0,289.28183913230896,0.23692965507507324,289.0449094772339,144_1566,0.7913087417887822,1.0
351,230,121,0,30.284520864486694,0.23692965507507324,30.04759120941162,144_230,0.6552706552706553,1.0
736,510,226,0,78.50935983657837,0.23692965507507324,78.2724301815033,144_510,0.6929347826086957,1.0
652,544,108,0,89.36481094360352,0.23692965507507324,89.12788128852844,144_544,0.8343558282208589,1.0
803,684,119,0,113.71963620185852,0.23692965507507324,113.48270654678345,144_684,0.8518057285180572,1.0
1035,840,195,0,158.34078812599182,0.23692965507507324,158.10385847091675,144_840,0.8115942028985508,1.0
1283,966,317,0,135.69841647148132,0.23692965507507324,135.46148681640625,144_966,0.7529228371005456,1.0
169,144,25,0,11.815936803817749,1.0293190479278564,10.786617755889893,1566_144,0.8520710059171598,1.0
1701,1566,135,0,223.7436239719391,1.0293190479278564,222.71430492401123,1566_1566,0.9206349206349206,1.0
273,230,43,0,30.6956205368042,1.0293190479278564,29.666301488876343,1566_230,0.8424908424908425,1.0
588,510,78,0,78.5470199584961,1.0293190479278564,77.51770091056824,1566_510,0.8673469387755102,1.0
592,544,48,0,90.0697112083435,1.0293190479278564,89.04039216041565,1566_544,0.918918918918919,1.0
739,684,55,0,114.70021486282349,1.0293190479278564,113.67089581489563,1566_684,0.925575101488498,1.0
903,840,63,0,159.46840643882751,1.0293190479278564,158.43908739089966,1566_840,0.9302325581395349,1.0
1071,966,105,0,136.77773451805115,1.0293190479278564,135.7484154701233,1566_966,0.9019607843137255,1.0
187,144,43,0,11.142543077468872,0.24344372749328613,10.899099349975586,230_144,0.7700534759358288,1.0
2050,1566,484,0,289.775048494339,0.24344372749328613,289.5316047668457,230_1566,0.7639024390243903,1.0
556,510,46,0,78.5495457649231,0.24344372749328613,78.30610203742981,230_510,0.9172661870503597,1.0
672,544,128,0,89.54530334472656,0.24344372749328613,89.30185961723328,230_544,0.8095238095238095,1.0
878,684,194,0,113.97685241699219,0.24344372749328613,113.7334086894989,230_684,0.7790432801822323,1.0
944,840,104,0,158.9754273891449,0.24344372749328613,158.7319836616516,230_840,0.8898305084745762,1.0
