CL,TP,FP,FN,T,T_T,T_P,Instances,Precision,Recall
1485,1485,0,0,0.09450650215148926,0.001850128173828125,0.09265637397766113,105_1485,1.0,1.0
210,210,0,0,0.017401933670043945,0.001850128173828125,0.01555180549621582,105_210,1.0,1.0
2145,2145,0,0,0.1354386806488037,0.001850128173828125,0.13358855247497559,105_2145,1.0,1.0
3003,3003,0,0,0.3260457515716553,0.001850128173828125,0.32419562339782715,105_3003,1.0,1.0
378,378,0,0,0.15788841247558594,0.001850128173828125,0.1560382843017578,105_378,1.0,1.0
4095,4095,0,0,0.2543950080871582,0.001850128173828125,0.2525448799133301,105_4095,1.0,1.0
45,45,0,0,0.007909536361694336,0.001850128173828125,0.006059408187866211,105_45,1.0,1.0
630,630,0,0,0.040869951248168945,0.001850128173828125,0.03901982307434082,105_630,1.0,1.0
990,990,0,0,0.06501889228820801,0.001850128173828125,0.06316876411437988,105_990,1.0,1.0
105,105,0,0,0.01525259017944336,0.00800633430480957,0.007246255874633789,1485_105,1.0,1.0
210,210,0,0,0.021909713745117188,0.00800633430480957,0.013903379440307617,1485_210,1.0,1.0
2145,2145,0,0,0.2888941764831543,0.00800633430480957,0.2808878421783447,1485_2145,1.0,1.0
3003,3003,0,0,0.19284343719482422,0.00800633430480957,0.18483710289001465,1485_3003,1.0,1.0
378,378,0,0,0.03240776062011719,0.00800633430480957,0.024401426315307617,1485_378,1.0,1.0
4095,4095,0,0,0.40445899963378906,0.00800633430480957,0.3964526653289795,1485_4095,1.0,1.0
45,45,0,0,0.014021635055541992,0.00800633430480957,0.006015300750732422,1485_45,1.0,1.0
630,630,0,0,0.0474092960357666,0.00800633430480957,0.03940296173095703,1485_630,1.0,1.0
990,990,0,0,0.07077789306640625,0.00800633430480957,0.06277155876159668,1485_990,1.0,1.0
105,105,0,0,0.009572505950927734,0.00232696533203125,0.007245540618896484,210_105,1.0,1.0
1485,1485,0,0,0.09498929977416992,0.00232696533203125,0.09266233444213867,210_1485,1.0,1.0
2145,2145,0,0,0.13656949996948242,0.00232696533203125,0.13424253463745117,210_2145,1.0,1.0
3003,3003,0,0,0.32001733779907227,0.00232696533203125,0.317690372467041,210_3003,1.0,1.0
378,378,0,0,0.026730775833129883,0.00232696533203125,0.024403810501098633,210_378,1.0,1.0
4095,4095,0,0,0.3977689743041992,0.00232696533203125,0.39544200897216797,210_4095,1.0,1.0
45,45,0,0,0.00878453254699707,0.00232696533203125,0.00645756721496582,210_45,1.0,1.0
630,630,0,0,0.041849613189697266,0.00232696533203125,0.039522647857666016,210_630,1.0,1.0
990,990,0,0,0.06562089920043945,0.00232696533203125,0.0632939338684082,210_990,1.0,1.0
105,105,0,0,0.017911672592163086,0.010776519775390625,0.007135152816772461,2145_105,1.0,1.0
1485,1485,0,0,0.10351276397705078,0.010776519775390625,0.09273624420166016,2145_1485,1.0,1.0
210,210,0,0,0.027586936950683594,0.010776519775390625,0.01681041717529297,2145_210,1.0,1.0
3003,3003,0,0,0.3354203701019287,0.010776519775390625,0.3246438503265381,2145_3003,1.0,1.0
378,378,0,0,0.037109375,0.010776519775390625,0.026332855224609375,2145_378,1.0,1.0
4095,4095,0,0,0.4070765972137451,0.010776519775390625,0.3963000774383545,2145_4095,1.0,1.0
45,45,0,0,0.01667165756225586,0.010776519775390625,0.005895137786865234,2145_45,1.0,1.0
630,630,0,0,0.04971051216125488,0.010776519775390625,0.03893399238586426,2145_630,1.0,1.0
990,990,0,0,0.07411623001098633,0.010776519775390625,0.0633397102355957,2145_990,1.0,1.0
105,105,0,0,0.021802902221679688,0.014681816101074219,0.007121086120605469,3003_105,1.0,1.0
