CL,TP,FP,FN,T,T_T,T_P,Instances,Precision,Recall
1232,1214,18,0,235.67692255973816,19.24117636680603,216.43574619293213,1208_1214,0.9853896103896104,1.0
1405,1405,0,0,164.27870297431946,19.24117636680603,145.03752660751343,1208_1405,1.0,1.0
1480,1480,0,0,145.73696398735046,19.24117636680603,126.49578762054443,1208_1480,1.0,1.0
2198,1566,632,0,431.99134612083435,19.24117636680603,412.7501697540283,1208_1566,0.7124658780709736,1.0
1772,1706,66,0,431.0187633037567,19.24117636680603,411.7775869369507,1208_1706,0.9627539503386005,1.0
3380,2016,1364,0,692.2067861557007,19.24117636680603,672.9656097888947,1208_2016,0.5964497041420118,1.0
2339,2315,24,0,410.1700031757355,19.24117636680603,390.92882680892944,1208_2315,0.9897392047883711,1.0
2492,2432,60,0,678.0530185699463,19.24117636680603,658.8118422031403,1208_2432,0.9759229534510433,1.0
664,516,148,0,68.14706254005432,19.24117636680603,48.90588617324829,1208_516,0.7771084337349398,1.0
1208,1208,0,0,338.99863266944885,33.2129602432251,305.78567242622375,1214_1208,1.0,1.0
1405,1405,0,0,207.99774026870728,33.2129602432251,174.78478002548218,1214_1405,1.0,1.0
1480,1480,0,0,219.37446928024292,33.2129602432251,186.16150903701782,1214_1480,1.0,1.0
1566,1566,0,0,603.479983329773,33.2129602432251,570.2670230865479,1214_1566,1.0,1.0
1706,1706,0,0,606.2265260219574,33.2129602432251,573.0135657787323,1214_1706,1.0,1.0
2016,2016,0,0,943.116735458374,33.2129602432251,909.9037752151489,1214_2016,1.0,1.0
2315,2315,0,0,507.0040626525879,33.2129602432251,473.7911024093628,1214_2315,1.0,1.0
2432,2432,0,0,1078.063439130783,33.2129602432251,1044.850478887558,1214_2432,1.0,1.0
516,516,0,0,108.73914837837219,33.2129602432251,75.5261881351471,1214_516,1.0,1.0
1968,1208,760,0,159.9482033252716,14.534921407699585,145.41328191757202,1405_1208,0.6138211382113821,1.0
1265,1214,51,0,192.13255667686462,14.534921407699585,177.59763526916504,1405_1214,0.9596837944664032,1.0
2152,1480,672,0,118.0961184501648,14.534921407699585,103.56119704246521,1405_1480,0.6877323420074349,1.0
2907,1566,1341,0,351.9739694595337,14.534921407699585,337.4390480518341,1405_1566,0.5386996904024768,1.0
1893,1706,187,0,352.59477400779724,14.534921407699585,338.05985260009766,1405_1706,0.90121500264131,1.0
4383,2016,2367,0,565.2671916484833,14.534921407699585,550.7322702407837,1405_2016,0.459958932238193,1.0
2381,2315,66,0,336.24672174453735,14.534921407699585,321.71180033683777,1405_2315,0.9722805543889123,1.0
4308,2432,1876,0,554.706384897232,14.534921407699585,540.1714634895325,1405_2432,0.564531104921077,1.0
840,516,324,0,54.661407709121704,14.534921407699585,40.12648630142212,1405_516,0.6142857142857143,1.0
1304,1208,96,0,172.84428215026855,15.827053546905518,157.01722860336304,1480_1208,0.9263803680981595,1.0
1214,1214,0,0,206.15408205986023,15.827053546905518,190.3270285129547,1480_1214,1.0,1.0
1405,1405,0,0,143.78963923454285,15.827053546905518,127.96258568763733,1480_1405,1.0,1.0
2166,1566,600,0,379.3016345500946,15.827053546905518,363.4745810031891,1480_1566,0.7229916897506925,1.0
1706,1706,0,0,377.71320104599,15.827053546905518,361.8861474990845,1480_1706,1.0,1.0
2796,2016,780,0,607.8012700080872,15.827053546905518,591.9742164611816,1480_2016,0.721030042918455,1.0
2315,2315,0,0,359.97338581085205,15.827053546905518,344.14633226394653,1480_2315,1.0,1.0
2636,2432,204,0,593.776974439621,15.827053546905518,577.9499208927155,1480_2432,0.9226100151745068,1.0
696,516,180,0,59.05464768409729,15.827053546905518,43.22759413719177,1480_516,0.7413793103448276,1.0
1720,1208,512,0,396.0441906452179,46.21468377113342,349.8295068740845,1566_1208,0.7023255813953488,1.0
1214,1214,0,0,407.58796644210815,46.21468377113342,361.37328267097473,1566_1214,1.0,1.0
1405,1405,0,0,246.39108085632324,46.21468377113342,200.17639708518982,1566_1405,1.0,1.0
2080,1480,600,0,260.4501140117645,46.21468377113342,214.2354302406311,1566_1480,0.7115384615384616,1.0
1706,1706,0,0,705.2710609436035,46.21468377113342,659.0563771724701,1566_1706,1.0,1.0
2016,2016,0,0,1102.8113114833832,46.21468377113342,1056.5966277122498,1566_2016,1.0,1.0
2315,2315,0,0,595.0738115310669,46.21468377113342,548.8591277599335,1566_2315,1.0,1.0
3520,2432,1088,0,1240.409991979599,46.21468377113342,1194.1953082084656,1566_2432,0.6909090909090909,1.0
525,516,9,0,132.80977153778076,46.21468377113342,86.59508776664734,1566_516,0.9828571428571429,1.0
1688,1208,480,0,413.41086292266846,52.032074213027954,361.3787887096405,1706_1208,0.7156398104265402,1.0
1214,1214,0,0,405.5935173034668,52.032074213027954,353.56144309043884,1706_1214,1.0,1.0
1405,1405,0,0,259.0290195941925,52.032074213027954,206.99694538116455,1706_1405,1.0,1.0
1960,1480,480,0,271.54921102523804,52.032074213027954,219.51713681221008,1706_1480,0.7551020408163265,1.0
2166,1566,600,0,730.1533849239349,52.032074213027954,678.121310710907,1706_1566,0.7229916897506925,1.0
2796,2016,780,0,1130.1068542003632,52.032074213027954,1078.0747799873352,1706_2016,0.721030042918455,1.0
2315,2315,0,0,611.1546952724457,52.032074213027954,559.1226210594177,1706_2315,1.0,1.0
3452,2432,1020,0,1279.898112297058,52.032074213027954,1227.8660380840302,1706_2432,0.7045191193511008,1.0
696,516,180,0,141.53680539131165,52.032074213027954,89.50473117828369,1706_516,0.7413793103448276,1.0
1720,1208,512,0,418.0193204879761,61.88250803947449,356.1368124485016,2016_1208,0.7023255813953488,1.0
1214,1214,0,0,433.12962555885315,61.88250803947449,371.24711751937866,2016_1214,1.0,1.0
1405,1405,0,0,266.8313217163086,61.88250803947449,204.9488136768341,2016_1405,1.0,1.0
2080,1480,600,0,278.28892397880554,61.88250803947449,216.40641593933105,2016_1480,0.7115384615384616,1.0
1566,1566,0,0,728.7714610099792,61.88250803947449,666.8889529705048,2016_1566,1.0,1.0
1706,1706,0,0,731.5477166175842,61.88250803947449,669.6652085781097,2016_1706,1.0,1.0
2315,2315,0,0,621.8760004043579,61.88250803947449,559.9934923648834,2016_2315,1.0,1.0
3520,2432,1088,0,1266.8822989463806,61.88250803947449,1204.9997909069061,2016_2432,0.6909090909090909,1.0
516,516,0,0,150.7977683544159,61.88250803947449,88.9152603149414,2016_516,1.0,1.0
1960,1208,752,0,412.6719310283661,48.70897054672241,363.9629604816437,2315_1208,0.6163265306122448,1.0
1215,1214,1,0,403.6621766090393,48.70897054672241,354.9532060623169,2315_1214,0.9991769547325103,1.0
1410,1405,5,0,257.74241828918457,48.70897054672241,209.03344774246216,2315_1405,0.9964539007092199,1.0
2133,1480,653,0,269.17027592658997,48.70897054672241,220.46130537986755,2315_1480,0.6938584153774027,1.0
2925,1566,1359,0,727.7300646305084,48.70897054672241,679.021094083786,2315_1566,0.5353846153846153,1.0
1740,1706,34,0,727.419929265976,48.70897054672241,678.7109587192535,2315_1706,0.9804597701149426,1.0
3861,2016,1845,0,1125.5816385746002,48.70897054672241,1076.8726680278778,2315_2016,0.5221445221445221,1.0
4084,2432,1652,0,1281.166805267334,48.70897054672241,1232.4578347206116,2315_2432,0.5954946131243879,1.0
897,516,381,0,138.5571837425232,48.70897054672241,89.84821319580078,2315_516,0.5752508361204013,1.0
1208,1208,0,0,253.1853723526001,42.63748097419739,210.5478913784027,2432_1208,1.0,1.0
1214,1214,0,0,299.51854157447815,42.63748097419739,256.88106060028076,2432_1214,1.0,1.0
1405,1405,0,0,214.83797955513,42.63748097419739,172.20049858093262,2432_1405,1.0,1.0
1480,1480,0,0,192.84613847732544,42.63748097419739,150.20865750312805,2432_1480,1.0,1.0
2126,1566,560,0,531.3330676555634,42.63748097419739,488.69558668136597,2432_1566,0.7365945437441204,1.0
1706,1706,0,0,532.4506690502167,42.63748097419739,489.8131880760193,2432_1706,1.0,1.0
2834,2016,818,0,840.945867061615,42.63748097419739,798.3083860874176,2432_2016,0.7113620324629499,1.0
2315,2315,0,0,509.3530766963959,42.63748097419739,466.7155957221985,2432_2315,1.0,1.0
678,516,162,0,100.80631852149963,42.63748097419739,58.168837547302246,2432_516,0.7610619469026548,1.0
1624,1208,416,0,124.23345923423767,8.438008546829224,115.79545068740845,516_1208,0.7438423645320197,1.0
1214,1214,0,0,150.14293265342712,8.438008546829224,141.7049241065979,516_1214,1.0,1.0
1405,1405,0,0,103.1877989768982,8.438008546829224,94.74979043006897,516_1405,1.0,1.0
