CL,TP,FP,FN,T,T_T,T_P,Instances,Precision,Recall
1214,1214,0,0,181.34335613250732,0.5742592811584473,180.76909685134888,1208_1214,1.0,1.0
1405,1405,0,0,151.84095454216003,0.5742592811584473,151.2666952610016,1208_1405,1.0,1.0
1480,1480,0,0,109.65793561935425,0.5742592811584473,109.0836763381958,1208_1480,1.0,1.0
1926,1566,360,0,354.84475350379944,0.5742592811584473,354.270494222641,1208_1566,0.8130841121495327,1.0
1706,1706,0,0,355.57086873054504,0.5742592811584473,354.9966094493866,1208_1706,1.0,1.0
2484,2016,468,0,587.8401572704315,0.5742592811584473,587.2658979892731,1208_2016,0.8115942028985508,1.0
2315,2315,0,0,406.45095896720886,0.5742592811584473,405.8766996860504,1208_2315,1.0,1.0
2432,2432,0,0,466.1045169830322,0.5742592811584473,465.5302577018738,1208_2432,1.0,1.0
624,516,108,0,39.799148082733154,0.5742592811584473,39.22488880157471,1208_516,0.8269230769230769,1.0
1208,1208,0,0,118.5300235748291,0.7781457901000977,117.751877784729,1214_1208,1.0,1.0
1405,1405,0,0,155.84841442108154,0.7781457901000977,155.07026863098145,1214_1405,1.0,1.0
1480,1480,0,0,111.8621814250946,0.7781457901000977,111.0840356349945,1214_1480,1.0,1.0
1926,1566,360,0,362.25490951538086,0.7781457901000977,361.47676372528076,1214_1566,0.8130841121495327,1.0
1706,1706,0,0,361.39038014411926,0.7781457901000977,360.61223435401917,1214_1706,1.0,1.0
2484,2016,468,0,601.4386494159698,0.7781457901000977,600.6605036258698,1214_2016,0.8115942028985508,1.0
2315,2315,0,0,413.2525284290314,0.7781457901000977,412.4743826389313,1214_2315,1.0,1.0
2432,2432,0,0,477.4634985923767,0.7781457901000977,476.6853528022766,1214_2432,1.0,1.0
624,516,108,0,41.016834020614624,0.7781457901000977,40.238688230514526,1214_516,0.8269230769230769,1.0
1208,1208,0,0,117.0405044555664,0.4571244716644287,116.58337998390198,1405_1208,1.0,1.0
1214,1214,0,0,181.75363850593567,0.4571244716644287,181.29651403427124,1405_1214,1.0,1.0
1480,1480,0,0,109.96012210845947,0.4571244716644287,109.50299763679504,1405_1480,1.0,1.0
1926,1566,360,0,360.02330112457275,0.4571244716644287,359.5661766529083,1405_1566,0.8130841121495327,1.0
1706,1706,0,0,355.32013607025146,0.4571244716644287,354.86301159858704,1405_1706,1.0,1.0
2484,2016,468,0,593.516613483429,0.4571244716644287,593.0594890117645,1405_2016,0.8115942028985508,1.0
2315,2315,0,0,407.4022750854492,0.4571244716644287,406.9451506137848,1405_2315,1.0,1.0
2432,2432,0,0,465.674519777298,0.4571244716644287,465.21739530563354,1405_2432,1.0,1.0
624,516,108,0,40.130446434020996,0.4571244716644287,39.67332196235657,1405_516,0.8269230769230769,1.0
1211,1208,3,0,116.47959446907043,0.42719101905822754,116.0524034500122,1480_1208,0.9975227085053675,1.0
1216,1214,2,0,182.5501470565796,0.42719101905822754,182.12295603752136,1480_1214,0.9983552631578947,1.0
1407,1405,2,0,151.75380206108093,0.42719101905822754,151.3266110420227,1480_1405,0.9985785358919688,1.0
1935,1566,369,0,355.28704380989075,0.42719101905822754,354.8598527908325,1480_1566,0.8093023255813954,1.0
1718,1706,12,0,359.3877532482147,0.42719101905822754,358.9605622291565,1480_1706,0.9930151338766007,1.0
2529,2016,513,0,587.765284538269,0.42719101905822754,587.3380935192108,1480_2016,0.797153024911032,1.0
2317,2315,2,0,409.70414757728577,0.42719101905822754,409.27695655822754,1480_2315,0.9991368148467846,1.0
2441,2432,9,0,469.88783502578735,0.42719101905822754,469.4606440067291,1480_2432,0.9963129864809505,1.0
627,516,111,0,39.68786954879761,0.42719101905822754,39.26067852973938,1480_516,0.8229665071770335,1.0
1208,1208,0,0,119.22960567474365,1.4536139965057373,117.77599167823792,1566_1208,1.0,1.0
1214,1214,0,0,185.18008255958557,1.4536139965057373,183.72646856307983,1566_1214,1.0,1.0
1405,1405,0,0,155.11958622932434,1.4536139965057373,153.6659722328186,1566_1405,1.0,1.0
1480,1480,0,0,112.33252763748169,1.4536139965057373,110.87891364097595,1566_1480,1.0,1.0
1706,1706,0,0,361.6716604232788,1.4536139965057373,360.21804642677307,1566_1706,1.0,1.0
2016,2016,0,0,597.6574060916901,1.4536139965057373,596.2037920951843,1566_2016,1.0,1.0
2315,2315,0,0,413.9101502895355,1.4536139965057373,412.4565362930298,1566_2315,1.0,1.0
2432,2432,0,0,473.3645374774933,1.4536139965057373,471.91092348098755,1566_2432,1.0,1.0
516,516,0,0,41.234702348709106,1.4536139965057373,39.78108835220337,1566_516,1.0,1.0
1208,1208,0,0,120.56875658035278,1.4515509605407715,119.11720561981201,1706_1208,1.0,1.0
1214,1214,0,0,187.3378188610077,1.4515509605407715,185.88626790046692,1706_1214,1.0,1.0
1405,1405,0,0,156.43684029579163,1.4515509605407715,154.98528933525085,1706_1405,1.0,1.0
1480,1480,0,0,113.41127800941467,1.4515509605407715,111.9597270488739,1706_1480,1.0,1.0
1926,1566,360,0,364.67226552963257,1.4515509605407715,363.2207145690918,1706_1566,0.8130841121495327,1.0
2484,2016,468,0,602.336391210556,1.4515509605407715,600.8848402500153,1706_2016,0.8115942028985508,1.0
2315,2315,0,0,417.21506214141846,1.4515509605407715,415.7635111808777,1706_2315,1.0,1.0
2432,2432,0,0,474.38349080085754,1.4515509605407715,472.9319398403168,1706_2432,1.0,1.0
624,516,108,0,42.27668237686157,1.4515509605407715,40.8251314163208,1706_516,0.8269230769230769,1.0
1208,1208,0,0,121.84439706802368,2.49234676361084,119.35205030441284,2016_1208,1.0,1.0
1214,1214,0,0,187.8717143535614,2.49234676361084,185.37936758995056,2016_1214,1.0,1.0
1405,1405,0,0,157.9373848438263,2.49234676361084,155.44503808021545,2016_1405,1.0,1.0
1480,1480,0,0,114.45191931724548,2.49234676361084,111.95957255363464,2016_1480,1.0,1.0
1567,1566,1,0,367.4932818412781,2.49234676361084,365.00093507766724,2016_1566,0.9993618379068283,1.0
1706,1706,0,0,365.98558735847473,2.49234676361084,363.4932405948639,2016_1706,1.0,1.0
2315,2315,0,0,419.10631704330444,2.49234676361084,416.6139702796936,2016_2315,1.0,1.0
2432,2432,0,0,478.8871476650238,2.49234676361084,476.39480090141296,2016_2432,1.0,1.0
517,516,1,0,42.697824001312256,2.49234676361084,40.205477237701416,2016_516,0.9980657640232108,1.0
1208,1208,0,0,120.21825861930847,1.4418559074401855,118.77640271186829,2315_1208,1.0,1.0
