CL,TP,FP,FN,T,T_T,T_P,Instances,Precision,Recall
2016,2016,0,0,0.3092164993286133,0.15341401100158691,0.15580248832702637,2016_2016,1.0,1.0
216,216,0,0,0.1718287467956543,0.15341401100158691,0.018414735794067383,2016_216,1.0,1.0
3136,3136,0,0,0.5528314113616943,0.15341401100158691,0.3994174003601074,2016_3136,1.0,1.0
4050,4050,0,0,0.5820567607879639,0.15341401100158691,0.42864274978637695,2016_4050,1.0,1.0
4992,4992,0,0,0.5169875621795654,0.15341401100158691,0.3635735511779785,2016_4992,1.0,1.0
544,544,0,0,0.18561768531799316,0.15341401100158691,0.03220367431640625,2016_544,1.0,1.0
56,56,0,0,0.16713213920593262,0.15341401100158691,0.013718128204345703,2016_56,1.0,1.0
810,810,0,0,0.21386194229125977,0.15341401100158691,0.06044793128967285,2016_810,1.0,1.0
2016,2016,0,0,0.41084957122802734,0.08674049377441406,0.3241090774536133,216_2016,1.0,1.0
3136,3136,0,0,0.6798114776611328,0.08674049377441406,0.5930709838867188,216_3136,1.0,1.0
4050,4050,0,0,0.8606092929840088,0.08674049377441406,0.7738687992095947,216_4050,1.0,1.0
4992,4992,0,0,1.1467785835266113,0.08674049377441406,1.0600380897521973,216_4992,1.0,1.0
544,544,0,0,0.16188740730285645,0.08674049377441406,0.07514691352844238,216_544,1.0,1.0
56,56,0,0,0.10170793533325195,0.08674049377441406,0.01496744155883789,216_56,1.0,1.0
810,810,0,0,0.20058631896972656,0.08674049377441406,0.1138458251953125,216_810,1.0,1.0
2016,2016,0,0,1.1047205924987793,0.7652604579925537,0.3394601345062256,3136_2016,1.0,1.0
216,216,0,0,0.8031353950500488,0.7652604579925537,0.03787493705749512,3136_216,1.0,1.0
3136,3136,0,0,1.451916217803955,0.7652604579925537,0.6866557598114014,3136_3136,1.0,1.0
4050,4050,0,0,1.5156714916229248,0.7652604579925537,0.7504110336303711,3136_4050,1.0,1.0
4992,4992,0,0,1.8212263584136963,0.7652604579925537,1.0559659004211426,3136_4992,1.0,1.0
544,544,0,0,0.8579251766204834,0.7652604579925537,0.09266471862792969,3136_544,1.0,1.0
56,56,0,0,0.7825875282287598,0.7652604579925537,0.017327070236206055,3136_56,1.0,1.0
810,810,0,0,0.8883712291717529,0.7652604579925537,0.12311077117919922,3136_810,1.0,1.0
2016,2016,0,0,0.6096837520599365,0.2501349449157715,0.35954880714416504,4050_2016,1.0,1.0
216,216,0,0,0.28398680686950684,0.2501349449157715,0.03385186195373535,4050_216,1.0,1.0
3136,3136,0,0,1.1132783889770508,0.2501349449157715,0.8631434440612793,4050_3136,1.0,1.0
4992,4992,0,0,1.2488293647766113,0.2501349449157715,0.9986944198608398,4050_4992,1.0,1.0
544,544,0,0,0.3247213363647461,0.2501349449157715,0.07458639144897461,4050_544,1.0,1.0
56,56,0,0,0.2668919563293457,0.2501349449157715,0.01675701141357422,4050_56,1.0,1.0
