CL,TP,FP,FN,T,T_T,T_P,Instances,Precision,Recall
1431,1431,0,135,26.198716640472412,2.6193184852600098,23.579398155212402,144_1566,1.0,0.9137931034482759
190,190,0,40,5.119121551513672,2.6193184852600098,2.499803066253662,144_230,1.0,0.8260869565217391
435,435,0,75,9.028166055679321,2.6193184852600098,6.4088475704193115,144_510,1.0,0.8529411764705882
496,496,0,48,9.892892837524414,2.6193184852600098,7.273574352264404,144_544,1.0,0.9117647058823529
630,630,0,54,11.889127731323242,2.6193184852600098,9.269809246063232,144_684,1.0,0.9210526315789473
780,780,0,60,15.56912112236023,2.6193184852600098,12.94980263710022,144_840,1.0,0.9285714285714286
861,861,0,105,13.646334171295166,2.6193184852600098,11.027015686035156,144_966,1.0,0.8913043478260869
120,120,0,24,14.496431350708008,13.595085859298706,0.9013454914093018,1566_144,1.0,0.8333333333333334
1431,1431,0,135,31.84395122528076,13.595085859298706,18.248865365982056,1566_1566,1.0,0.9137931034482759
190,190,0,40,16.080355644226074,13.595085859298706,2.485269784927368,1566_230,1.0,0.8260869565217391
435,435,0,75,19.94791841506958,13.595085859298706,6.352832555770874,1566_510,1.0,0.8529411764705882
496,496,0,48,20.841854095458984,13.595085859298706,7.246768236160278,1566_544,1.0,0.9117647058823529
630,630,0,54,22.848388671875,13.595085859298706,9.253302812576294,1566_684,1.0,0.9210526315789473
780,780,0,60,26.491100311279297,13.595085859298706,12.89601445198059,1566_840,1.0,0.9285714285714286
861,861,0,105,24.58228850364685,13.595085859298706,10.987202644348145,1566_966,1.0,0.8913043478260869
120,120,0,24,3.521209478378296,2.6186773777008057,0.9025321006774902,230_144,1.0,0.8333333333333334
1431,1431,0,135,26.624592065811157,2.6186773777008057,24.00591468811035,230_1566,1.0,0.9137931034482759
435,435,0,75,8.990240573883057,2.6186773777008057,6.371563196182251,230_510,1.0,0.8529411764705882
496,496,0,48,9.869325160980225,2.6186773777008057,7.250647783279419,230_544,1.0,0.9117647058823529
630,630,0,54,11.876792669296265,2.6186773777008057,9.258115291595459,230_684,1.0,0.9210526315789473
780,780,0,60,15.689496040344238,2.6186773777008057,13.070818662643433,230_840,1.0,0.9285714285714286
861,861,0,105,13.639029264450073,2.6186773777008057,11.020351886749268,230_966,1.0,0.8913043478260869
120,120,0,24,8.885414838790894,7.977693796157837,0.9077210426330566,510_144,1.0,0.8333333333333334
1431,1431,0,135,31.68321704864502,7.977693796157837,23.705523252487183,510_1566,1.0,0.9137931034482759
190,190,0,40,10.478489637374878,7.977693796157837,2.500795841217041,510_230,1.0,0.8260869565217391
496,496,0,48,15.289206504821777,7.977693796157837,7.31151270866394,510_544,1.0,0.9117647058823529
