CL,TP,FP,FN,T,T_T,T_P,Instances,Precision,Recall
1485,1485,0,0,2.151632308959961,0.0018215179443359375,2.149810791015625,105_1485,1.0,1.0
210,210,0,0,0.284867525100708,0.0018215179443359375,0.28304600715637207,105_210,1.0,1.0
2145,2145,0,0,2.8924646377563477,0.0018215179443359375,2.8906431198120117,105_2145,1.0,1.0
3003,3003,0,0,4.194915294647217,0.0018215179443359375,4.193093776702881,105_3003,1.0,1.0
378,378,0,0,0.5109221935272217,0.0018215179443359375,0.5091006755828857,105_378,1.0,1.0
4095,4095,0,0,5.670560598373413,0.0018215179443359375,5.668739080429077,105_4095,1.0,1.0
45,45,0,0,0.0663442611694336,0.0018215179443359375,0.06452274322509766,105_45,1.0,1.0
630,630,0,0,0.849294900894165,0.0018215179443359375,0.8474733829498291,105_630,1.0,1.0
990,990,0,0,1.337674617767334,0.0018215179443359375,1.335853099822998,105_990,1.0,1.0
105,105,0,0,0.15230345726013184,0.008888006210327148,0.1434154510498047,1485_105,1.0,1.0
210,210,0,0,0.2957289218902588,0.008888006210327148,0.28684091567993164,1485_210,1.0,1.0
2145,2145,0,0,2.949728012084961,0.008888006210327148,2.940840005874634,1485_2145,1.0,1.0
3003,3003,0,0,4.249925136566162,0.008888006210327148,4.241037130355835,1485_3003,1.0,1.0
378,378,0,0,0.5300424098968506,0.008888006210327148,0.5211544036865234,1485_378,1.0,1.0
4095,4095,0,0,5.76188063621521,0.008888006210327148,5.752992630004883,1485_4095,1.0,1.0
45,45,0,0,0.07405257225036621,0.008888006210327148,0.06516456604003906,1485_45,1.0,1.0
630,630,0,0,0.8684093952178955,0.008888006210327148,0.8595213890075684,1485_630,1.0,1.0
990,990,0,0,1.3626775741577148,0.008888006210327148,1.3537895679473877,1485_990,1.0,1.0
105,105,0,0,0.1443789005279541,0.0023720264434814453,0.14200687408447266,210_105,1.0,1.0
1485,1485,0,0,2.0032074451446533,0.0023720264434814453,2.000835418701172,210_1485,1.0,1.0
2145,2145,0,0,3.0469772815704346,0.0023720264434814453,3.044605255126953,210_2145,1.0,1.0
3003,3003,0,0,4.046521902084351,0.0023720264434814453,4.044149875640869,210_3003,1.0,1.0
378,378,0,0,0.511437177658081,0.0023720264434814453,0.5090651512145996,210_378,1.0,1.0
4095,4095,0,0,5.670215845108032,0.0023720264434814453,5.667843818664551,210_4095,1.0,1.0
45,45,0,0,0.0674293041229248,0.0023720264434814453,0.06505727767944336,210_45,1.0,1.0
630,630,0,0,0.8569319248199463,0.0023720264434814453,0.8545598983764648,210_630,1.0,1.0
990,990,0,0,1.3386468887329102,0.0023720264434814453,1.3362748622894287,210_990,1.0,1.0
105,105,0,0,0.1604139804840088,0.012303829193115234,0.14811015129089355,2145_105,1.0,1.0
1485,1485,0,0,2.061643123626709,0.012303829193115234,2.0493392944335938,2145_1485,1.0,1.0
210,210,0,0,0.3017888069152832,0.012303829193115234,0.28948497772216797,2145_210,1.0,1.0
3003,3003,0,0,4.148809194564819,0.012303829193115234,4.136505365371704,2145_3003,1.0,1.0
378,378,0,0,0.5368380546569824,0.012303829193115234,0.5245342254638672,2145_378,1.0,1.0
4095,4095,0,0,5.820076942443848,0.012303829193115234,5.807773113250732,2145_4095,1.0,1.0
45,45,0,0,0.0781698226928711,0.012303829193115234,0.06586599349975586,2145_45,1.0,1.0
630,630,0,0,0.8800621032714844,0.012303829193115234,0.8677582740783691,2145_630,1.0,1.0
990,990,0,0,1.5284478664398193,0.012303829193115234,1.516144037246704,2145_990,1.0,1.0
105,105,0,0,0.16220951080322266,0.016736507415771484,0.14547300338745117,3003_105,1.0,1.0
1485,1485,0,0,2.083566665649414,0.016736507415771484,2.0668301582336426,3003_1485,1.0,1.0
210,210,0,0,0.3082425594329834,0.016736507415771484,0.2915060520172119,3003_210,1.0,1.0
2145,2145,0,0,2.990912675857544,0.016736507415771484,2.9741761684417725,3003_2145,1.0,1.0
378,378,0,0,0.5401649475097656,0.016736507415771484,0.5234284400939941,3003_378,1.0,1.0
4095,4095,0,0,5.6919105052948,0.016736507415771484,5.675173997879028,3003_4095,1.0,1.0
45,45,0,0,0.08260202407836914,0.016736507415771484,0.06586551666259766,3003_45,1.0,1.0
630,630,0,0,0.8883209228515625,0.016736507415771484,0.871584415435791,3003_630,1.0,1.0
990,990,0,0,1.390077829360962,0.016736507415771484,1.3733413219451904,3003_990,1.0,1.0
105,105,0,0,0.1466972827911377,0.003173828125,0.1435234546661377,378_105,1.0,1.0
1485,1485,0,0,2.1498594284057617,0.003173828125,2.1466856002807617,378_1485,1.0,1.0
210,210,0,0,0.28917479515075684,0.003173828125,0.28600096702575684,378_210,1.0,1.0
2145,2145,0,0,2.901034116744995,0.003173828125,2.897860288619995,378_2145,1.0,1.0
3003,3003,0,0,4.202199220657349,0.003173828125,4.199025392532349,378_3003,1.0,1.0
4095,4095,0,0,5.727899074554443,0.003173828125,5.724725246429443,378_4095,1.0,1.0
45,45,0,0,0.06847834587097168,0.003173828125,0.06530451774597168,378_45,1.0,1.0
630,630,0,0,0.8656976222991943,0.003173828125,0.8625237941741943,378_630,1.0,1.0
990,990,0,0,1.3471183776855469,0.003173828125,1.3439445495605469,378_990,1.0,1.0
105,105,0,0,0.17036938667297363,0.02274298667907715,0.14762639999389648,4095_105,1.0,1.0
1485,1485,0,0,2.263599157333374,0.02274298667907715,2.240856170654297,4095_1485,1.0,1.0
210,210,0,0,0.31732630729675293,0.02274298667907715,0.2945833206176758,4095_210,1.0,1.0
2145,2145,0,0,3.0430150032043457,0.02274298667907715,3.0202720165252686,4095_2145,1.0,1.0
3003,3003,0,0,4.395878076553345,0.02274298667907715,4.373135089874268,4095_3003,1.0,1.0
378,378,0,0,0.5587847232818604,0.02274298667907715,0.5360417366027832,4095_378,1.0,1.0
45,45,0,0,0.08726096153259277,0.02274298667907715,0.06451797485351562,4095_45,1.0,1.0
630,630,0,0,0.9092147350311279,0.02274298667907715,0.8864717483520508,4095_630,1.0,1.0
990,990,0,0,1.435847282409668,0.02274298667907715,1.4131042957305908,4095_990,1.0,1.0
105,105,0,0,0.14432120323181152,0.001583099365234375,0.14273810386657715,45_105,1.0,1.0
1485,1485,0,0,2.007542848587036,0.001583099365234375,2.0059597492218018,45_1485,1.0,1.0
210,210,0,0,0.28985047340393066,0.001583099365234375,0.2882673740386963,45_210,1.0,1.0
2145,2145,0,0,3.0419933795928955,0.001583099365234375,3.040410280227661,45_2145,1.0,1.0
3003,3003,0,0,4.0413901805877686,0.001583099365234375,4.039807081222534,45_3003,1.0,1.0
378,378,0,0,0.5116322040557861,0.001583099365234375,0.5100491046905518,45_378,1.0,1.0
4095,4095,0,0,5.6554787158966064,0.001583099365234375,5.653895616531372,45_4095,1.0,1.0
630,630,0,0,0.8503780364990234,0.001583099365234375,0.8487949371337891,45_630,1.0,1.0
990,990,0,0,1.3349549770355225,0.001583099365234375,1.333371877670288,45_990,1.0,1.0
105,105,0,0,0.1472022533416748,0.004499912261962891,0.14270234107971191,630_105,1.0,1.0
1485,1485,0,0,2.0155537128448486,0.004499912261962891,2.0110538005828857,630_1485,1.0,1.0
210,210,0,0,0.2891237735748291,0.004499912261962891,0.2846238613128662,630_210,1.0,1.0
2145,2145,0,0,3.062548875808716,0.004499912261962891,3.058048963546753,630_2145,1.0,1.0
3003,3003,0,0,4.067955732345581,0.004499912261962891,4.063455820083618,630_3003,1.0,1.0
378,378,0,0,0.5157794952392578,0.004499912261962891,0.5112795829772949,630_378,1.0,1.0
4095,4095,0,0,5.686730623245239,0.004499912261962891,5.682230710983276,630_4095,1.0,1.0
45,45,0,0,0.06978893280029297,0.004499912261962891,0.06528902053833008,630_45,1.0,1.0
990,990,0,0,1.3535044193267822,0.004499912261962891,1.3490045070648193,630_990,1.0,1.0
105,105,0,0,0.14930486679077148,0.006371974945068359,0.14293289184570312,990_105,1.0,1.0
1485,1485,0,0,2.0268983840942383,0.006371974945068359,2.02052640914917,990_1485,1.0,1.0
210,210,0,0,0.29204797744750977,0.006371974945068359,0.2856760025024414,990_210,1.0,1.0
2145,2145,0,0,2.9252607822418213,0.006371974945068359,2.918888807296753,990_2145,1.0,1.0
3003,3003,0,0,4.08481240272522,0.006371974945068359,4.078440427780151,990_3003,1.0,1.0
378,378,0,0,0.5200743675231934,0.006371974945068359,0.513702392578125,990_378,1.0,1.0
4095,4095,0,0,5.724149942398071,0.006371974945068359,5.717777967453003,990_4095,1.0,1.0
45,45,0,0,0.07137870788574219,0.006371974945068359,0.06500673294067383,990_45,1.0,1.0
630,630,0,0,0.8619990348815918,0.006371974945068359,0.8556270599365234,990_630,1.0,1.0
1308.6,1308.6,0.0,0.0,1.8240504317813448,0.008049368858337402,1.8160010629230074,average_results,1.0,1.0
