CL,TP,FP,FN,T,T_T,T_P,Instances,Precision,Recall
1485,1485,0,0,0.10223579406738281,0.008548974990844727,0.09368681907653809,105_1485,1.0,1.0
210,210,0,0,0.02203965187072754,0.008548974990844727,0.013490676879882812,105_210,1.0,1.0
2145,2145,0,0,0.1452929973602295,0.008548974990844727,0.13674402236938477,105_2145,1.0,1.0
3003,3003,0,0,0.3422274589538574,0.008548974990844727,0.3336784839630127,105_3003,1.0,1.0
378,378,0,0,0.16919708251953125,0.008548974990844727,0.16064810752868652,105_378,1.0,1.0
4095,4095,0,0,0.26599764823913574,0.008548974990844727,0.257448673248291,105_4095,1.0,1.0
45,45,0,0,0.013951539993286133,0.008548974990844727,0.005402565002441406,105_45,1.0,1.0
630,630,0,0,0.04868507385253906,0.008548974990844727,0.040136098861694336,105_630,1.0,1.0
990,990,0,0,0.07203865051269531,0.008548974990844727,0.06348967552185059,105_990,1.0,1.0
105,105,0,0,0.12327766418457031,0.11646676063537598,0.006810903549194336,1485_105,1.0,1.0
210,210,0,0,0.12998151779174805,0.11646676063537598,0.01351475715637207,1485_210,1.0,1.0
2145,2145,0,0,0.4093668460845947,0.11646676063537598,0.29290008544921875,1485_2145,1.0,1.0
3003,3003,0,0,0.3045198917388916,0.11646676063537598,0.18805313110351562,1485_3003,1.0,1.0
378,378,0,0,0.14066863059997559,0.11646676063537598,0.02420186996459961,1485_378,1.0,1.0
4095,4095,0,0,0.5280873775482178,0.11646676063537598,0.4116206169128418,1485_4095,1.0,1.0
45,45,0,0,0.12176251411437988,0.11646676063537598,0.005295753479003906,1485_45,1.0,1.0
630,630,0,0,0.1565089225769043,0.11646676063537598,0.04004216194152832,1485_630,1.0,1.0
990,990,0,0,0.17971563339233398,0.11646676063537598,0.06324887275695801,1485_990,1.0,1.0
105,105,0,0,0.023300886154174805,0.016563892364501953,0.0067369937896728516,210_105,1.0,1.0
1485,1485,0,0,0.11065340042114258,0.016563892364501953,0.09408950805664062,210_1485,1.0,1.0
2145,2145,0,0,0.3063786029815674,0.016563892364501953,0.28981471061706543,210_2145,1.0,1.0
3003,3003,0,0,0.20574688911437988,0.016563892364501953,0.18918299674987793,210_3003,1.0,1.0
378,378,0,0,0.041017770767211914,0.016563892364501953,0.02445387840270996,210_378,1.0,1.0
4095,4095,0,0,0.42303895950317383,0.016563892364501953,0.4064750671386719,210_4095,1.0,1.0
45,45,0,0,0.021970510482788086,0.016563892364501953,0.005406618118286133,210_45,1.0,1.0
630,630,0,0,0.056183576583862305,0.016563892364501953,0.03961968421936035,210_630,1.0,1.0
990,990,0,0,0.08008289337158203,0.016563892364501953,0.06351900100708008,210_990,1.0,1.0
105,105,0,0,0.17673897743225098,0.16964459419250488,0.007094383239746094,2145_105,1.0,1.0
1485,1485,0,0,0.26280951499938965,0.16964459419250488,0.09316492080688477,2145_1485,1.0,1.0
210,210,0,0,0.18290233612060547,0.16964459419250488,0.013257741928100586,2145_210,1.0,1.0
3003,3003,0,0,0.3579847812652588,0.16964459419250488,0.1883401870727539,2145_3003,1.0,1.0
378,378,0,0,0.19369983673095703,0.16964459419250488,0.02405524253845215,2145_378,1.0,1.0
4095,4095,0,0,0.5837428569793701,0.16964459419250488,0.41409826278686523,2145_4095,1.0,1.0
45,45,0,0,0.17495465278625488,0.16964459419250488,0.00531005859375,2145_45,1.0,1.0
630,630,0,0,0.20939302444458008,0.16964459419250488,0.039748430252075195,2145_630,1.0,1.0
990,990,0,0,0.38596272468566895,0.16964459419250488,0.21631813049316406,2145_990,1.0,1.0
105,105,0,0,0.24349284172058105,0.2366037368774414,0.0068891048431396484,3003_105,1.0,1.0
1485,1485,0,0,0.32991886138916016,0.2366037368774414,0.09331512451171875,3003_1485,1.0,1.0
210,210,0,0,0.2508723735809326,0.2366037368774414,0.014268636703491211,3003_210,1.0,1.0
2145,2145,0,0,0.3710618019104004,0.2366037368774414,0.13445806503295898,3003_2145,1.0,1.0
