CL,TP,FP,FN,T,T_T,T_P,Instances,Precision,Recall
1032,990,42,224,17.762009143829346,0.10647344589233398,17.65553569793701,1208_1214,0.9593023255813954,0.8154859967051071
1155,1155,0,250,14.863003492355347,0.10647344589233398,14.756530046463013,1208_1405,1.0,0.8220640569395018
1330,1330,0,150,10.755738973617554,0.10647344589233398,10.64926552772522,1208_1480,1.0,0.8986486486486487
1476,1386,90,180,34.76145792007446,0.10647344589233398,34.65498447418213,1208_1566,0.9390243902439024,0.8850574712643678
1540,1386,154,320,34.74375867843628,0.10647344589233398,34.637285232543945,1208_1706,0.9,0.8124267291910903
2304,1782,522,234,57.23248887062073,0.10647344589233398,57.126015424728394,1208_2016,0.7734375,0.8839285714285714
1974,1890,84,425,39.66527009010315,0.10647344589233398,39.558796644210815,1208_2315,0.9574468085106383,0.816414686825054
2160,2160,0,272,45.47488212585449,0.10647344589233398,45.36840867996216,1208_2432,1.0,0.8881578947368421
462,462,0,54,3.986067295074463,0.10647344589233398,3.879593849182129,1208_516,1.0,0.8953488372093024
1488,1080,408,128,13.207654237747192,0.17567801475524902,13.031976222991943,1214_1208,0.7258064516129032,0.8940397350993378
1155,1155,0,250,17.07937526702881,0.17567801475524902,16.90369725227356,1214_1405,1.0,0.8220640569395018
1474,1330,144,150,12.380390882492065,0.17567801475524902,12.204712867736816,1214_1480,0.9023066485753053,0.8986486486486487
1386,1386,0,180,39.82456016540527,0.17567801475524902,39.648882150650024,1214_1566,1.0,0.8850574712643678
2786,1610,1176,96,39.95261287689209,0.17567801475524902,39.77693486213684,1214_1706,0.5778894472361809,0.943728018757327
1782,1782,0,234,65.59003114700317,0.17567801475524902,65.41435313224792,1214_2016,1.0,0.8839285714285714
3810,2190,1620,125,45.60550832748413,0.17567801475524902,45.42983031272888,1214_2315,0.5748031496062992,0.9460043196544277
4728,2160,2568,272,52.360994815826416,0.17567801475524902,52.18531680107117,1214_2432,0.45685279187817257,0.8881578947368421
462,462,0,54,4.563103675842285,0.17567801475524902,4.387425661087036,1214_516,1.0,0.8953488372093024
1272,1112,160,96,11.43298053741455,0.08646512031555176,11.346515417098999,1405_1208,0.8742138364779874,0.9205298013245033
990,990,0,224,17.743111848831177,0.08646512031555176,17.656646728515625,1405_1214,1.0,0.8154859967051071
1474,1330,144,150,10.757749319076538,0.08646512031555176,10.671284198760986,1405_1480,0.9023066485753053,0.8986486486486487
1656,1386,270,180,34.68628406524658,0.08646512031555176,34.59981894493103,1405_1566,0.8369565217391305,0.8850574712643678
1386,1386,0,320,34.68475341796875,0.08646512031555176,34.5982882976532,1405_1706,1.0,0.8124267291910903
3348,1782,1566,234,57.20566725730896,0.08646512031555176,57.11920213699341,1405_2016,0.532258064516129,0.8839285714285714
1890,1890,0,425,39.73330783843994,0.08646512031555176,39.64684271812439,1405_2315,1.0,0.816414686825054
3188,2228,960,204,45.54348134994507,0.08646512031555176,45.45701622962952,1405_2432,0.698870765370138,0.9161184210526315
462,462,0,54,3.9120678901672363,0.08646512031555176,3.8256027698516846,1405_516,1.0,0.8953488372093024
1080,1080,0,128,11.402055025100708,0.07503056526184082,11.327024459838867,1480_1208,1.0,0.8940397350993378
990,990,0,224,17.71553063392639,0.07503056526184082,17.64050006866455,1480_1214,1.0,0.8154859967051071
1155,1155,0,250,14.853930950164795,0.07503056526184082,14.778900384902954,1480_1405,1.0,0.8220640569395018
1566,1386,180,180,34.66152215003967,0.07503056526184082,34.58649158477783,1480_1566,0.8850574712643678,0.8850574712643678
1386,1386,0,320,34.6529324054718,0.07503056526184082,34.57790184020996,1480_1706,1.0,0.8124267291910903
2826,1782,1044,234,57.236159801483154,0.07503056526184082,57.16112923622131,1480_2016,0.6305732484076433,0.8839285714285714
1890,1890,0,425,39.66765093803406,0.07503056526184082,39.59262037277222,1480_2315,1.0,0.816414686825054
2280,2160,120,272,45.55163264274597,0.07503056526184082,45.47660207748413,1480_2432,0.9473684210526315,0.8881578947368421
462,462,0,54,3.893864154815674,0.07503056526184082,3.818833589553833,1480_516,1.0,0.8953488372093024
1296,1080,216,128,13.37412691116333,0.3467223644256592,13.027404546737671,1566_1208,0.8333333333333334,0.8940397350993378
990,990,0,224,20.616780519485474,0.3467223644256592,20.270058155059814,1566_1214,1.0,0.8154859967051071
1155,1155,0,250,17.207823753356934,0.3467223644256592,16.861101388931274,1566_1405,1.0,0.8220640569395018
1666,1330,336,150,12.534057140350342,0.3467223644256592,12.187334775924683,1566_1480,0.7983193277310925,0.8986486486486487
1386,1386,0,320,39.958757638931274,0.3467223644256592,39.612035274505615,1566_1706,1.0,0.8124267291910903
3906,1944,1962,72,66.03974986076355,0.3467223644256592,65.69302749633789,1566_2016,0.4976958525345622,0.9642857142857143
1890,1890,0,425,45.48729133605957,0.3467223644256592,45.14056897163391,1566_2315,1.0,0.816414686825054
2712,2160,552,272,52.55487036705017,0.3467223644256592,52.20814800262451,1566_2432,0.7964601769911505,0.8881578947368421
462,462,0,54,4.745513916015625,0.3467223644256592,4.398791551589966,1566_516,1.0,0.8953488372093024
1308,1112,196,96,13.355180501937866,0.3428635597229004,13.012316942214966,1706_1208,0.8501529051987767,0.9205298013245033
2230,1150,1080,64,20.53443479537964,0.3428635597229004,20.19157123565674,1706_1214,0.515695067264574,0.9472817133443163
1155,1155,0,250,17.38787817955017,0.3428635597229004,17.04501461982727,1706_1405,1.0,0.8220640569395018
1528,1330,198,150,12.523899793624878,0.3428635597229004,12.181036233901978,1706_1480,0.8704188481675392,0.8986486486486487
1386,1386,0,180,39.90251040458679,0.3428635597229004,39.55964684486389,1706_1566,1.0,0.8850574712643678
1782,1782,0,234,65.95203518867493,0.3428635597229004,65.60917162895203,1706_2016,1.0,0.8839285714285714
4230,2190,2040,125,45.49924063682556,0.3428635597229004,45.15637707710266,1706_2315,0.5177304964539007,0.9460043196544277
2724,2228,496,204,52.343329429626465,0.3428635597229004,52.000465869903564,1706_2432,0.8179148311306902,0.9161184210526315
462,462,0,54,4.731570482254028,0.3428635597229004,4.388706922531128,1706_516,1.0,0.8953488372093024
1326,1080,246,128,13.560864210128784,0.5614476203918457,12.999416589736938,2016_1208,0.8144796380090498,0.8940397350993378
1014,990,24,224,20.744319915771484,0.5614476203918457,20.18287229537964,2016_1214,0.9763313609467456,0.8154859967051071
1195,1155,40,250,17.378593921661377,0.5614476203918457,16.81714630126953,2016_1405,0.9665271966527197,0.8220640569395018
1726,1330,396,150,12.74323034286499,0.5614476203918457,12.181782722473145,2016_1480,0.7705677867902665,0.8986486486486487
3423,1512,1911,54,40.25032114982605,0.5614476203918457,39.688873529434204,2016_1566,0.44171779141104295,0.9655172413793104
1410,1386,24,320,40.20592975616455,0.5614476203918457,39.644482135772705,2016_1706,0.9829787234042553,0.8124267291910903
1930,1890,40,425,45.72250461578369,0.5614476203918457,45.161056995391846,2016_2315,0.9792746113989638,0.816414686825054
2742,2160,582,272,52.780577659606934,0.5614476203918457,52.21913003921509,2016_2432,0.787746170678337,0.8881578947368421
462,462,0,54,4.936393976211548,0.5614476203918457,4.374946355819702,2016_516,1.0,0.8953488372093024
1488,1080,408,128,13.377233266830444,0.2825913429260254,13.094641923904419,2315_1208,0.7258064516129032,0.8940397350993378
1990,1150,840,64,20.509921312332153,0.2825913429260254,20.227329969406128,2315_1214,0.5778894472361809,0.9472817133443163
