CL,TP,FP,FN,T,T_T,T_P,Instances,Precision,Recall
1214,1214,0,0,0.6023845672607422,0.10078907012939453,0.5015954971313477,1208_1214,1.0,1.0
1405,1405,0,0,0.5311288833618164,0.10078907012939453,0.4303398132324219,1208_1405,1.0,1.0
1480,1480,0,0,0.42344236373901367,0.10078907012939453,0.32265329360961914,1208_1480,1.0,1.0
1926,1566,360,0,1.1300692558288574,0.10078907012939453,1.029280185699463,1208_1566,0.8130841121495327,1.0
1706,1706,0,0,1.070979356765747,0.10078907012939453,0.9701902866363525,1208_1706,1.0,1.0
2484,2016,468,0,1.685488224029541,0.10078907012939453,1.5846991539001465,1208_2016,0.8115942028985508,1.0
2315,2315,0,0,1.2727160453796387,0.10078907012939453,1.1719269752502441,1208_2315,1.0,1.0
2432,2432,0,0,1.3581101894378662,0.10078907012939453,1.2573211193084717,1208_2432,1.0,1.0
624,516,108,0,0.22389841079711914,0.10078907012939453,0.12310934066772461,1208_516,0.8269230769230769,1.0
1208,1208,0,0,0.5643775463104248,0.17060470581054688,0.39377284049987793,1214_1208,1.0,1.0
1405,1405,0,0,0.6780579090118408,0.17060470581054688,0.507453203201294,1214_1405,1.0,1.0
1480,1480,0,0,0.554152250289917,0.17060470581054688,0.3835475444793701,1214_1480,1.0,1.0
1926,1566,360,0,1.3588201999664307,0.17060470581054688,1.1882154941558838,1214_1566,0.8130841121495327,1.0
1706,1706,0,0,1.354346752166748,0.17060470581054688,1.1837420463562012,1214_1706,1.0,1.0
2484,2016,468,0,2.0575788021087646,0.17060470581054688,1.8869740962982178,1214_2016,0.8115942028985508,1.0
2315,2315,0,0,1.5316212177276611,0.17060470581054688,1.3610165119171143,1214_2315,1.0,1.0
2432,2432,0,0,1.7031636238098145,0.17060470581054688,1.5325589179992676,1214_2432,1.0,1.0
624,516,108,0,0.3153204917907715,0.17060470581054688,0.1447157859802246,1214_516,0.8269230769230769,1.0
1208,1208,0,0,0.4160740375518799,0.08235716819763184,0.33371686935424805,1405_1208,1.0,1.0
1214,1214,0,0,0.6551945209503174,0.08235716819763184,0.5728373527526855,1405_1214,1.0,1.0
1480,1480,0,0,0.4028956890106201,0.08235716819763184,0.3205385208129883,1405_1480,1.0,1.0
1926,1566,360,0,1.0449936389923096,0.08235716819763184,0.9626364707946777,1405_1566,0.8130841121495327,1.0
1706,1706,0,0,1.0504870414733887,0.08235716819763184,0.9681298732757568,1405_1706,1.0,1.0
2484,2016,468,0,1.7343931198120117,0.08235716819763184,1.6520359516143799,1405_2016,0.8115942028985508,1.0
2315,2315,0,0,1.1972224712371826,0.08235716819763184,1.1148653030395508,1405_2315,1.0,1.0
2432,2432,0,0,1.4124655723571777,0.08235716819763184,1.330108404159546,1405_2432,1.0,1.0
624,516,108,0,0.20577311515808105,0.08235716819763184,0.12341594696044922,1405_516,0.8269230769230769,1.0
1208,1208,0,0,0.4060099124908447,0.07324814796447754,0.3327617645263672,1480_1208,1.0,1.0
1214,1214,0,0,0.5783653259277344,0.07324814796447754,0.5051171779632568,1480_1214,1.0,1.0
1405,1405,0,0,0.5694987773895264,0.07324814796447754,0.49625062942504883,1480_1405,1.0,1.0
1926,1566,360,0,1.0415761470794678,0.07324814796447754,0.9683279991149902,1480_1566,0.8130841121495327,1.0
1706,1706,0,0,1.0446460247039795,0.07324814796447754,0.971397876739502,1480_1706,1.0,1.0
2484,2016,468,0,1.6622610092163086,0.07324814796447754,1.589012861251831,1480_2016,0.8115942028985508,1.0
2315,2315,0,0,1.2522547245025635,0.07324814796447754,1.179006576538086,1480_2315,1.0,1.0
2432,2432,0,0,1.4052398204803467,0.07324814796447754,1.3319916725158691,1480_2432,1.0,1.0
624,516,108,0,0.2004704475402832,0.07324814796447754,0.12722229957580566,1480_516,0.8269230769230769,1.0
1208,1208,0,0,0.9551470279693604,0.33434295654296875,0.6208040714263916,1566_1208,1.0,1.0
1214,1214,0,0,1.2475049495697021,0.33434295654296875,0.9131619930267334,1566_1214,1.0,1.0
1405,1405,0,0,1.1227948665618896,0.33434295654296875,0.7884519100189209,1566_1405,1.0,1.0
1480,1480,0,0,1.0049521923065186,0.33434295654296875,0.6706092357635498,1566_1480,1.0,1.0
1706,1706,0,0,2.1340744495391846,0.33434295654296875,1.7997314929962158,1566_1706,1.0,1.0
2016,2016,0,0,3.290663242340088,0.33434295654296875,2.956320285797119,1566_2016,1.0,1.0
2315,2315,0,0,2.41121506690979,0.33434295654296875,2.0768721103668213,1566_2315,1.0,1.0
2432,2432,0,0,2.758212089538574,0.33434295654296875,2.4238691329956055,1566_2432,1.0,1.0
516,516,0,0,0.5652825832366943,0.33434295654296875,0.23093962669372559,1566_516,1.0,1.0
1208,1208,0,0,0.7412421703338623,0.3368411064147949,0.4044010639190674,1706_1208,1.0,1.0
1214,1214,0,0,1.0061531066894531,0.3368411064147949,0.6693120002746582,1706_1214,1.0,1.0
1405,1405,0,0,0.8505392074584961,0.3368411064147949,0.5136981010437012,1706_1405,1.0,1.0
1480,1480,0,0,0.726027250289917,0.3368411064147949,0.38918614387512207,1706_1480,1.0,1.0
1926,1566,360,0,1.5395281314849854,0.3368411064147949,1.2026870250701904,1706_1566,0.8130841121495327,1.0
2484,2016,468,0,2.2730116844177246,0.3368411064147949,1.9361705780029297,1706_2016,0.8115942028985508,1.0
2315,2315,0,0,1.6402246952056885,0.3368411064147949,1.3033835887908936,1706_2315,1.0,1.0
2432,2432,0,0,1.890998363494873,0.3368411064147949,1.5541572570800781,1706_2432,1.0,1.0
624,516,108,0,0.4841785430908203,0.3368411064147949,0.1473374366760254,1706_516,0.8269230769230769,1.0
1208,1208,0,0,1.2316865921020508,0.5433776378631592,0.6883089542388916,2016_1208,1.0,1.0
1214,1214,0,0,1.4555127620697021,0.5433776378631592,0.912135124206543,2016_1214,1.0,1.0
1405,1405,0,0,1.331810474395752,0.5433776378631592,0.7884328365325928,2016_1405,1.0,1.0
1480,1480,0,0,1.1416997909545898,0.5433776378631592,0.5983221530914307,2016_1480,1.0,1.0
