CL,TP,FP,FN,T,T_T,T_P,Instances,Precision,Recall
1214,1214,0,0,23.602834939956665,0.1188201904296875,23.484014749526978,1208_1214,1.0,1.0
1405,1405,0,0,19.58429765701294,0.1188201904296875,19.465477466583252,1208_1405,1.0,1.0
1480,1480,0,0,14.265231609344482,0.1188201904296875,14.146411418914795,1208_1480,1.0,1.0
1926,1566,360,0,46.119497776031494,0.1188201904296875,46.00067758560181,1208_1566,0.8130841121495327,1.0
1706,1706,0,0,46.160123348236084,0.1188201904296875,46.0413031578064,1208_1706,1.0,1.0
2484,2016,468,0,76.98997926712036,0.1188201904296875,76.87115907669067,1208_2016,0.8115942028985508,1.0
2315,2315,0,0,52.39486575126648,0.1188201904296875,52.27604556083679,1208_2315,1.0,1.0
2432,2432,0,0,61.15445876121521,0.1188201904296875,61.03563857078552,1208_2432,1.0,1.0
624,516,108,0,5.2155232429504395,0.1188201904296875,5.096703052520752,1208_516,0.8269230769230769,1.0
1208,1208,0,0,17.863029956817627,0.19710278511047363,17.665927171707153,1214_1208,1.0,1.0
1405,1405,0,0,21.866863012313843,0.19710278511047363,21.66976022720337,1214_1405,1.0,1.0
1480,1480,0,0,16.140315532684326,0.19710278511047363,15.943212747573853,1214_1480,1.0,1.0
1926,1566,360,0,51.74231171607971,0.19710278511047363,51.54520893096924,1214_1566,0.8130841121495327,1.0
1706,1706,0,0,51.69812846183777,0.19710278511047363,51.501025676727295,1214_1706,1.0,1.0
2484,2016,468,0,85.32980942726135,0.19710278511047363,85.13270664215088,1214_2016,0.8115942028985508,1.0
2315,2315,0,0,57.9147629737854,0.19710278511047363,57.71766018867493,1214_2315,1.0,1.0
2432,2432,0,0,69.74622702598572,0.19710278511047363,69.54912424087524,1214_2432,1.0,1.0
624,516,108,0,5.954242944717407,0.19710278511047363,5.757140159606934,1214_516,0.8269230769230769,1.0
1208,1208,0,0,15.386428356170654,0.09461593627929688,15.291812419891357,1405_1208,1.0,1.0
1214,1214,0,0,23.570569038391113,0.09461593627929688,23.475953102111816,1405_1214,1.0,1.0
1480,1480,0,0,14.321571350097656,0.09461593627929688,14.22695541381836,1405_1480,1.0,1.0
1926,1566,360,0,46.09253406524658,0.09461593627929688,45.997918128967285,1405_1566,0.8130841121495327,1.0
