CL,TP,FP,FN,T,T_T,T_P,Instances,Precision,Recall
1872,1872,0,144,3.6362152099609375,3.5497519969940186,0.08646321296691895,2016_2016,1.0,0.9285714285714286
216,216,0,0,3.5935468673706055,3.5497519969940186,0.043794870376586914,2016_216,1.0,1.0
2744,2744,0,392,3.660168409347534,3.5497519969940186,0.11041641235351562,2016_3136,1.0,0.875
3600,3600,0,450,3.681208610534668,3.5497519969940186,0.13145661354064941,2016_4050,1.0,0.8888888888888888
4352,4352,0,640,3.691993474960327,3.5497519969940186,0.1422414779663086,2016_4992,1.0,0.8717948717948718
544,544,0,0,3.60129451751709,3.5497519969940186,0.05154252052307129,2016_544,1.0,1.0
56,56,0,0,3.5881009101867676,3.5497519969940186,0.03834891319274902,2016_56,1.0,1.0
810,810,0,0,3.6095190048217773,3.5497519969940186,0.05976700782775879,2016_810,1.0,1.0
2016,2016,0,0,2.4528698921203613,2.3653719425201416,0.08749794960021973,216_2016,1.0,1.0
2744,2744,0,392,2.475464105606079,2.3653719425201416,0.1100921630859375,216_3136,1.0,0.875
3600,3600,0,450,2.4954049587249756,2.3653719425201416,0.13003301620483398,216_4050,1.0,0.8888888888888888
4352,4352,0,640,2.5064265727996826,2.3653719425201416,0.14105463027954102,216_4992,1.0,0.8717948717948718
544,544,0,0,2.417039394378662,2.3653719425201416,0.05166745185852051,216_544,1.0,1.0
56,56,0,0,2.4039385318756104,2.3653719425201416,0.03856658935546875,216_56,1.0,1.0
810,810,0,0,2.4239094257354736,2.3653719425201416,0.05853748321533203,216_810,1.0,1.0
1872,1872,0,144,8.65126919746399,8.561662912368774,0.08960628509521484,3136_2016,1.0,0.9285714285714286
216,216,0,0,8.603574752807617,8.561662912368774,0.04191184043884277,3136_216,1.0,1.0
2744,2744,0,392,8.677427291870117,8.561662912368774,0.11576437950134277,3136_3136,1.0,0.875
4050,4050,0,0,8.724451780319214,8.561662912368774,0.16278886795043945,3136_4050,1.0,1.0
4608,4608,0,384,8.729594469070435,8.561662912368774,0.16793155670166016,3136_4992,1.0,0.9230769230769231
512,512,0,32,8.6129732131958,8.561662912368774,0.05131030082702637,3136_544,1.0,0.9411764705882353
56,56,0,0,8.597483158111572,8.561662912368774,0.03582024574279785,3136_56,1.0,1.0
810,810,0,0,8.624467849731445,8.561662912368774,0.0628049373626709,3136_810,1.0,1.0
1872,1872,0,144,5.457257270812988,5.379224538803101,0.0780327320098877,4050_2016,1.0,0.9285714285714286
216,216,0,0,5.41676926612854,5.379224538803101,0.03754472732543945,4050_216,1.0,1.0
2884,2884,0,252,5.486191034317017,5.379224538803101,0.10696649551391602,4050_3136,1.0,0.9196428571428571
4352,4352,0,640,5.5185770988464355,5.379224538803101,0.13935256004333496,4050_4992,1.0,0.8717948717948718
512,512,0,32,5.423840045928955,5.379224538803101,0.04461550712585449,4050_544,1.0,0.9411764705882353
56,56,0,0,5.414786100387573,5.379224538803101,0.035561561584472656,4050_56,1.0,1.0
810,810,0,0,5.435006856918335,5.379224538803101,0.055782318115234375,4050_810,1.0,1.0
2232,1872,360,144,9.549308061599731,9.454627752304077,0.0946803092956543,4992_2016,0.8387096774193549,0.9285714285714286
252,204,48,12,9.493372917175293,9.454627752304077,0.03874516487121582,4992_216,0.8095238095238095,0.9444444444444444
2646,2632,14,504,9.5256187915802,9.454627752304077,0.07099103927612305,4992_3136,0.9947089947089947,0.8392857142857143
3600,3480,120,570,9.645864009857178,9.454627752304077,0.19123625755310059,4992_4050,0.9666666666666667,0.8592592592592593
576,512,64,32,9.509347915649414,9.454627752304077,0.054720163345336914,4992_544,0.8888888888888888,0.9411764705882353
56,56,0,0,9.486998796463013,9.454627752304077,0.03237104415893555,4992_56,1.0,1.0
