CL,TP,FP,FN,T,T_T,T_P,Instances,Precision,Recall
3028,1936,1092,80,17.375028371810913,1.1643354892730713,16.210692882537842,2016_2016,0.6393659180977543,0.9603174603174603
245,212,33,4,2.2471835613250732,1.1643354892730713,1.082848072052002,2016_216,0.8653061224489796,0.9814814814814815
8443,3126,5317,10,31.932740688323975,1.1643354892730713,30.768405199050903,2016_3136,0.37024754234276913,0.9968112244897959
6314,3834,2480,216,40.22707676887512,1.1643354892730713,39.06274127960205,2016_4050,0.6072220462464365,0.9466666666666667
10056,4992,5064,0,52.562572717666626,1.1643354892730713,51.398237228393555,2016_4992,0.4964200477326969,1.0
644,544,100,0,4.429529428482056,1.1643354892730713,3.2651939392089844,2016_544,0.84472049689441,1.0
80,56,24,0,1.4912950992584229,1.1643354892730713,0.32695960998535156,2016_56,0.7,1.0
1269,810,459,0,6.349864721298218,1.1643354892730713,5.1855292320251465,2016_810,0.6382978723404256,1.0
2224,2016,208,0,16.32564878463745,0.16527915000915527,16.160369634628296,216_2016,0.9064748201438849,1.0
10000,3126,6874,10,30.685551404953003,0.16527915000915527,30.520272254943848,216_3136,0.3126,0.9968112244897959
6348,3858,2490,192,39.305882930755615,0.16527915000915527,39.14060378074646,216_4050,0.6077504725897921,0.9525925925925925
9672,4992,4680,0,51.514347553253174,0.16527915000915527,51.34906840324402,216_4992,0.5161290322580645,1.0
588,544,44,0,3.432976722717285,0.16527915000915527,3.26769757270813,216_544,0.9251700680272109,1.0
80,56,24,0,0.4935762882232666,0.16527915000915527,0.32829713821411133,216_56,0.7,1.0
1215,810,405,0,5.338655471801758,0.16527915000915527,5.1733763217926025,216_810,0.6666666666666666,1.0
3006,1988,1018,28,19.04436182975769,2.791875123977661,16.25248670578003,3136_2016,0.6613439787092482,0.9861111111111112
408,216,192,0,3.8814659118652344,2.791875123977661,1.0895907878875732,3136_216,0.5294117647058824,1.0
10686,3136,7550,0,33.52293920516968,2.791875123977661,30.731064081192017,3136_3136,0.29346808908852706,1.0
5107,4038,1069,12,42.20864725112915,2.791875123977661,39.41677212715149,3136_4050,0.7906794595653025,0.997037037037037
8504,4992,3512,0,54.532174825668335,2.791875123977661,51.740299701690674,3136_4992,0.5870178739416745,1.0
1160,544,616,0,6.076517581939697,2.791875123977661,3.284642457962036,3136_544,0.4689655172413793,1.0
82,56,26,0,3.1196510791778564,2.791875123977661,0.3277759552001953,3136_56,0.6829268292682927,1.0
1215,810,405,0,7.994752407073975,2.791875123977661,5.2028772830963135,3136_810,0.6666666666666666,1.0
2892,1982,910,34,18.748733282089233,2.6636908054351807,16.085042476654053,4050_2016,0.6853388658367912,0.9831349206349206
394,216,178,0,3.746349811553955,2.6636908054351807,1.0826590061187744,4050_216,0.5482233502538071,1.0
4261,3038,1223,98,33.34413242340088,2.6636908054351807,30.6804416179657,4050_3136,0.7129781741375264,0.96875
9664,4992,4672,0,54.200825691223145,2.6636908054351807,51.537134885787964,4050_4992,0.5165562913907285,1.0
1044,544,500,0,5.923713684082031,2.6636908054351807,3.2600228786468506,4050_544,0.5210727969348659,1.0
80,56,24,0,2.9898104667663574,2.6636908054351807,0.32611966133117676,4050_56,0.7,1.0
1134,810,324,0,7.8615663051605225,2.6636908054351807,5.197875499725342,4050_810,0.7142857142857143,1.0
2788,1944,844,72,20.217981576919556,4.1474220752716064,16.07055950164795,4992_2016,0.697274031563845,0.9642857142857143
279,210,69,6,5.2300426959991455,4.1474220752716064,1.082620620727539,4992_216,0.7526881720430108,0.9722222222222222
5325,2990,2335,146,34.66044759750366,4.1474220752716064,30.513025522232056,4992_3136,0.5615023474178403,0.9534438775510204
5769,3753,2016,297,43.29750108718872,4.1474220752716064,39.150079011917114,4992_4050,0.6505460218408736,0.9266666666666666
748,544,204,0,7.4118711948394775,4.1474220752716064,3.264449119567871,4992_544,0.7272727272727273,1.0
68,56,12,0,4.4735071659088135,4.1474220752716064,0.32608509063720703,4992_56,0.8235294117647058,1.0
1107,810,297,0,9.321306228637695,4.1474220752716064,5.173884153366089,4992_810,0.7317073170731707,1.0
2184,1944,240,72,16.529512882232666,0.3262016773223877,16.20331120491028,544_2016,0.8901098901098901,0.9642857142857143
227,210,17,6,1.41796875,0.3262016773223877,1.0917670726776123,544_216,0.9251101321585903,0.9722222222222222
9586,3126,6460,10,31.16037678718567,0.3262016773223877,30.83417510986328,544_3136,0.32610056332151055,0.9968112244897959
5694,3768,1926,282,39.37226963043213,0.3262016773223877,39.04606795310974,544_4050,0.6617492096944152,0.9303703703703704
9424,4992,4432,0,52.07547426223755,0.3262016773223877,51.74927258491516,544_4992,0.5297113752122241,1.0
80,56,24,0,0.654212236404419,0.3262016773223877,0.32801055908203125,544_56,0.7,1.0
1143,810,333,0,5.530446529388428,0.3262016773223877,5.20424485206604,544_810,0.7086614173228346,1.0
3796,1976,1820,40,16.305692434310913,0.15456056594848633,16.151131868362427,56_2016,0.5205479452054794,0.9801587301587301
325,212,113,4,1.2424330711364746,0.15456056594848633,1.0878725051879883,56_216,0.6523076923076923,0.9814814814814815
12106,3056,9050,80,30.574957847595215,0.15456056594848633,30.42039728164673,56_3136,0.2524368081942838,0.9744897959183674
8731,3908,4823,142,39.285433769226074,0.15456056594848633,39.13087320327759,56_4050,0.4476005039514374,0.9649382716049383
18864,4992,13872,0,51.717154026031494,0.15456056594848633,51.56259346008301,56_4992,0.26463104325699743,1.0
890,544,346,0,3.4123051166534424,0.15456056594848633,3.257744550704956,56_544,0.6112359550561798,1.0
1422,810,612,0,5.322680711746216,0.15456056594848633,5.1681201457977295,56_810,0.569620253164557,1.0
2762,1944,818,72,16.679770946502686,0.46004605293273926,16.219724893569946,810_2016,0.7038377986965967,0.9642857142857143
285,212,73,4,1.547511100769043,0.46004605293273926,1.0874650478363037,810_216,0.743859649122807,0.9814814814814815
6077,3028,3049,108,31.25332808494568,0.46004605293273926,30.79328203201294,810_3136,0.49827217376995225,0.9655612244897959
5757,3765,1992,285,39.71750235557556,0.46004605293273926,39.25745630264282,810_4050,0.6539864512767066,0.9296296296296296
9244,4992,4252,0,52.306071043014526,0.46004605293273926,51.84602499008179,810_4992,0.5400259627866725,1.0
760,544,216,0,3.7484729290008545,0.46004605293273926,3.2884268760681152,810_544,0.7157894736842105,1.0
66,56,10,0,0.7875685691833496,0.46004605293273926,0.32752251625061035,810_56,0.8484848484848485,1.0
3885.344827586207,1958.3103448275863,1927.0344827586207,39.827586206896555,20.106230567241536,1.5012083999041854,18.605022167337353,average_results,0.6307569940270612,0.9860697941373229
