CL,TP,FP,FN,T,T_T,T_P,Instances,Precision,Recall
2016,2016,0,0,1.3793833255767822,1.2190282344818115,0.1603550910949707,2016_2016,1.0,1.0
216,216,0,0,1.2362031936645508,1.2190282344818115,0.017174959182739258,2016_216,1.0,1.0
3136,3136,0,0,1.6350562572479248,1.2190282344818115,0.4160280227661133,2016_3136,1.0,1.0
4050,4050,0,0,1.5969820022583008,1.2190282344818115,0.37795376777648926,2016_4050,1.0,1.0
4992,4992,0,0,1.6124718189239502,1.2190282344818115,0.39344358444213867,2016_4992,1.0,1.0
544,544,0,0,1.2509043216705322,1.2190282344818115,0.0318760871887207,2016_544,1.0,1.0
56,56,0,0,1.2297582626342773,1.2190282344818115,0.01073002815246582,2016_56,1.0,1.0
810,810,0,0,1.274954080581665,1.2190282344818115,0.055925846099853516,2016_810,1.0,1.0
2016,2016,0,0,0.409196138381958,0.16648578643798828,0.24271035194396973,216_2016,1.0,1.0
3136,3136,0,0,0.589240550994873,0.16648578643798828,0.42275476455688477,216_3136,1.0,1.0
4050,4050,0,0,0.7168805599212646,0.16648578643798828,0.5503947734832764,216_4050,1.0,1.0
4992,4992,0,0,0.8785080909729004,0.16648578643798828,0.7120223045349121,216_4992,1.0,1.0
544,544,0,0,0.22655963897705078,0.16648578643798828,0.0600738525390625,216_544,1.0,1.0
56,56,0,0,0.18056750297546387,0.16648578643798828,0.014081716537475586,216_56,1.0,1.0
810,810,0,0,0.2563138008117676,0.16648578643798828,0.0898280143737793,216_810,1.0,1.0
2016,2016,0,0,2.9446604251861572,2.8927621841430664,0.05189824104309082,3136_2016,1.0,1.0
216,216,0,0,2.90506911277771,2.8927621841430664,0.012306928634643555,3136_216,1.0,1.0
3136,3136,0,0,2.967597007751465,2.8927621841430664,0.07483482360839844,3136_3136,1.0,1.0
4050,4050,0,0,2.983269453048706,2.8927621841430664,0.09050726890563965,3136_4050,1.0,1.0
4992,4992,0,0,3.001610517501831,2.8927621841430664,0.10884833335876465,3136_4992,1.0,1.0
544,544,0,0,2.9114341735839844,2.8927621841430664,0.01867198944091797,3136_544,1.0,1.0
56,56,0,0,2.9005134105682373,2.8927621841430664,0.0077512264251708984,3136_56,1.0,1.0
810,810,0,0,2.918041467666626,2.8927621841430664,0.02527928352355957,3136_810,1.0,1.0
2016,2016,0,0,3.1002793312072754,2.858973741531372,0.24130558967590332,4050_2016,1.0,1.0
216,216,0,0,2.8849480152130127,2.858973741531372,0.025974273681640625,4050_216,1.0,1.0
3136,3136,0,0,3.2865889072418213,2.858973741531372,0.4276151657104492,4050_3136,1.0,1.0
4992,4992,0,0,3.642164468765259,2.858973741531372,0.7831907272338867,4050_4992,1.0,1.0
544,544,0,0,2.9185361862182617,2.858973741531372,0.05956244468688965,4050_544,1.0,1.0
56,56,0,0,2.871968984603882,2.858973741531372,0.012995243072509766,4050_56,1.0,1.0
810,810,0,0,2.946694850921631,2.858973741531372,0.08772110939025879,4050_810,1.0,1.0
1872,1776,96,240,4.359884977340698,4.310112714767456,0.04977226257324219,4992_2016,0.9487179487179487,0.8809523809523809
198,192,6,24,4.319941997528076,4.310112714767456,0.009829282760620117,4992_216,0.9696969696969697,0.8888888888888888
6076,3052,3024,84,4.499033212661743,4.310112714767456,0.1889204978942871,4992_3136,0.5023041474654378,0.9732142857142857
4950,3810,1140,240,4.446106433868408,4.310112714767456,0.13599371910095215,4992_4050,0.7696969696969697,0.9407407407407408
480,480,0,64,4.338422060012817,4.310112714767456,0.028309345245361328,4992_544,1.0,0.8823529411764706
56,56,0,0,4.318204641342163,4.310112714767456,0.008091926574707031,4992_56,1.0,1.0
810,810,0,0,4.337449789047241,4.310112714767456,0.027337074279785156,4992_810,1.0,1.0
2016,2016,0,0,0.3935832977294922,0.34287142753601074,0.050711870193481445,544_2016,1.0,1.0
216,216,0,0,0.3553905487060547,0.34287142753601074,0.012519121170043945,544_216,1.0,1.0
3136,3136,0,0,0.4171428680419922,0.34287142753601074,0.07427144050598145,544_3136,1.0,1.0
4050,4050,0,0,0.43397951126098633,0.34287142753601074,0.09110808372497559,544_4050,1.0,1.0
4992,4992,0,0,0.45714783668518066,0.34287142753601074,0.11427640914916992,544_4992,1.0,1.0
56,56,0,0,0.3560187816619873,0.34287142753601074,0.013147354125976562,544_56,1.0,1.0
810,810,0,0,0.36800432205200195,0.34287142753601074,0.02513289451599121,544_810,1.0,1.0
2016,2016,0,0,0.20790791511535645,0.1537153720855713,0.054192543029785156,56_2016,1.0,1.0
216,216,0,0,0.16560745239257812,0.1537153720855713,0.011892080307006836,56_216,1.0,1.0
3136,3136,0,0,0.23384499549865723,0.1537153720855713,0.08012962341308594,56_3136,1.0,1.0
4050,4050,0,0,0.2651805877685547,0.1537153720855713,0.1114652156829834,56_4050,1.0,1.0
4992,4992,0,0,0.27617359161376953,0.1537153720855713,0.12245821952819824,56_4992,1.0,1.0
544,544,0,0,0.1745598316192627,0.1537153720855713,0.020844459533691406,56_544,1.0,1.0
810,810,0,0,0.1911630630493164,0.1537153720855713,0.03744769096374512,56_810,1.0,1.0
2232,1872,360,144,0.842047929763794,0.47902870178222656,0.3630192279815674,810_2016,0.8387096774193549,0.9285714285714286
252,204,48,12,0.515538215637207,0.47902870178222656,0.03650951385498047,810_216,0.8095238095238095,0.9444444444444444
2646,2632,14,504,0.9680769443511963,0.47902870178222656,0.4890482425689697,810_3136,0.9947089947089947,0.8392857142857143
3600,3480,120,570,1.193239450454712,0.47902870178222656,0.7142107486724854,810_4050,0.9666666666666667,0.8592592592592593
4992,4992,0,0,1.5377302169799805,0.47902870178222656,1.058701515197754,810_4992,1.0,1.0
736,544,192,0,0.5767972469329834,0.47902870178222656,0.09776854515075684,810_544,0.7391304347826086,1.0
56,56,0,0,0.4951517581939697,0.47902870178222656,0.016123056411743164,810_56,1.0,1.0
2051.896551724138,1965.6896551724137,86.20689655172414,32.44827586206897,1.73620147129585,1.5702178889307483,0.16598358236510177,average_results,0.9748130279082545,0.9851329324833383
