CL,TP,FP,FN,T,T_T,T_P,Instances,Precision,Recall
1944,1944,0,72,24.864470958709717,1.1451468467712402,23.719324111938477,2016_2016,1.0,0.9642857142857143
216,216,0,0,3.201098918914795,1.1451468467712402,2.0559520721435547,2016_216,1.0,1.0
3199,2968,231,168,48.78361129760742,1.1451468467712402,47.63846445083618,2016_3136,0.9277899343544858,0.9464285714285714
3900,3900,0,150,57.433598279953,1.1451468467712402,56.28845143318176,2016_4050,1.0,0.9629629629629629
4992,4992,0,0,78.20915293693542,1.1451468467712402,77.06400609016418,2016_4992,1.0,1.0
544,544,0,0,6.427680015563965,1.1451468467712402,5.282533168792725,2016_544,1.0,1.0
62,56,6,0,2.33512544631958,1.1451468467712402,1.1899785995483398,2016_56,0.9032258064516129,1.0
810,810,0,0,9.221073389053345,1.1451468467712402,8.075926542282104,2016_810,1.0,1.0
2016,2016,0,0,22.754706144332886,0.1572413444519043,22.59746479988098,216_2016,1.0,1.0
3185,3052,133,84,45.50466179847717,0.1572413444519043,45.34742045402527,216_3136,0.9582417582417583,0.9732142857142857
3915,3915,0,135,54.21208596229553,0.1572413444519043,54.05484461784363,216_4050,1.0,0.9666666666666667
5088,4992,96,0,73.89741516113281,0.1572413444519043,73.74017381668091,216_4992,0.9811320754716981,1.0
560,544,16,0,5.17339563369751,0.1572413444519043,5.0161542892456055,216_544,0.9714285714285714,1.0
60,56,4,0,1.2034409046173096,0.1572413444519043,1.0461995601654053,216_56,0.9333333333333333,1.0
828,810,18,0,7.824598550796509,0.1572413444519043,7.6673572063446045,216_810,0.9782608695652174,1.0
1872,1872,0,144,42.18047857284546,2.7390685081481934,39.441410064697266,3136_2016,1.0,0.9285714285714286
222,216,6,0,6.392918348312378,2.7390685081481934,3.6538498401641846,3136_216,0.972972972972973,1.0
4132,2996,1136,140,82.92156839370728,2.7390685081481934,80.18249988555908,3136_3136,0.7250726040658277,0.9553571428571429
4050,4050,0,0,97.43566083908081,2.7390685081481934,94.69659233093262,3136_4050,1.0,1.0
4992,4992,0,0,132.9192590713501,2.7390685081481934,130.1801905632019,3136_4992,1.0,1.0
520,512,8,32,11.705594539642334,2.7390685081481934,8.96652603149414,3136_544,0.9846153846153847,0.9411764705882353
63,56,7,0,5.207207441329956,2.7390685081481934,2.4681389331817627,3136_56,0.8888888888888888,1.0
810,810,0,0,16.326409339904785,2.7390685081481934,13.587340831756592,3136_810,1.0,1.0
1872,1872,0,144,27.317238807678223,2.696113109588623,24.6211256980896,4050_2016,1.0,0.9285714285714286
222,216,6,0,4.908384323120117,2.696113109588623,2.212271213531494,4050_216,0.972972972972973,1.0
3185,2940,245,196,53.08810567855835,2.696113109588623,50.39199256896973,4050_3136,0.9230769230769231,0.9375
4992,4992,0,0,83.81675410270691,2.696113109588623,81.12064099311829,4050_4992,1.0,1.0
520,512,8,32,8.299606084823608,2.696113109588623,5.603492975234985,4050_544,0.9846153846153847,0.9411764705882353
69,56,13,0,4.065808534622192,2.696113109588623,1.3696954250335693,4050_56,0.8115942028985508,1.0
810,810,0,0,11.200415134429932,2.696113109588623,8.504302024841309,4050_810,1.0,1.0
2156,1944,212,72,44.87238264083862,4.06841254234314,40.80397009849548,4992_2016,0.9016697588126159,0.9642857142857143
264,216,48,0,7.843523025512695,4.06841254234314,3.7751104831695557,4992_216,0.8181818181818182,1.0
3550,2828,722,308,86.68147325515747,4.06841254234314,82.61306071281433,4992_3136,0.7966197183098591,0.9017857142857143
4095,3615,480,435,101.53680086135864,4.06841254234314,97.4683883190155,4992_4050,0.8827838827838828,0.8925925925925926
576,512,64,32,13.345510244369507,4.06841254234314,9.277097702026367,4992_544,0.8888888888888888,0.9411764705882353
62,56,6,0,6.718038082122803,4.06841254234314,2.649625539779663,4992_56,0.9032258064516129,1.0
810,810,0,0,18.13198733329773,4.06841254234314,14.06357479095459,4992_810,1.0,1.0
2024,1944,80,72,23.210712671279907,0.3140523433685303,22.896660327911377,544_2016,0.9604743083003953,0.9642857142857143
222,216,6,0,2.285245418548584,0.3140523433685303,1.9711930751800537,544_216,0.972972972972973,1.0
4519,2926,1593,210,46.36466932296753,0.3140523433685303,46.050616979599,544_3136,0.6474883823854836,0.9330357142857143
4014,3630,384,420,55.30813503265381,0.3140523433685303,54.99408268928528,544_4050,0.9043348281016442,0.8962962962962963
4992,4992,0,0,75.45418095588684,0.3140523433685303,75.14012861251831,544_4992,1.0,1.0
56,56,0,0,1.418905258178711,0.3140523433685303,1.1048529148101807,544_56,1.0,1.0
810,810,0,0,8.097474336624146,0.3140523433685303,7.783421993255615,544_810,1.0,1.0
1824,1792,32,224,23.144480228424072,0.14831805229187012,22.996162176132202,56_2016,0.9824561403508771,0.8888888888888888
198,196,2,20,2.138087034225464,0.14831805229187012,1.9897689819335938,56_216,0.98989898989899,0.9074074074074074
3284,2750,534,386,46.57238459587097,0.14831805229187012,46.4240665435791,56_3136,0.8373934226552984,0.8769132653061225
3568,3436,132,614,55.3182008266449,0.14831805229187012,55.16988277435303,56_4050,0.9630044843049327,0.8483950617283951
4992,4992,0,0,75.25553870201111,0.14831805229187012,75.10722064971924,56_4992,1.0,1.0
496,496,0,48,5.301316022872925,0.14831805229187012,5.152997970581055,56_544,1.0,0.9117647058823529
810,810,0,0,7.996929407119751,0.14831805229187012,7.848611354827881,56_810,1.0,1.0
2156,1944,212,72,23.96666693687439,0.447493314743042,23.519173622131348,810_2016,0.9016697588126159,0.9642857142857143
264,216,48,0,2.4339137077331543,0.447493314743042,1.9864203929901123,810_216,0.8181818181818182,1.0
3458,2800,658,336,47.635114431381226,0.447493314743042,47.187621116638184,810_3136,0.8097165991902834,0.8928571428571429
4095,3615,480,435,55.558976888656616,0.447493314743042,55.111483573913574,810_4050,0.8827838827838828,0.8925925925925926
4992,4992,0,0,76.71643114089966,0.447493314743042,76.26893782615662,810_4992,1.0,1.0
576,512,64,32,5.637279033660889,0.447493314743042,5.189785718917847,810_544,0.8888888888888888,0.9411764705882353
62,56,6,0,1.5710294246673584,0.447493314743042,1.1235361099243164,810_56,0.9032258064516129,1.0
2044.396551724138,1911.7068965517242,132.68965517241378,86.43103448275862,33.60942950741998,1.4809506514976765,32.1284788559223,average_results,0.940880721373482,0.9666146656619226
