CL,TP,FP,FN,T,T_T,T_P,Instances,Precision,Recall
2016,2016,0,0,21.005736351013184,5.294462442398071,15.711273908615112,2016_2016,1.0,1.0
216,216,0,0,6.356385231018066,5.294462442398071,1.0619227886199951,2016_216,1.0,1.0
3136,3136,0,0,35.15428686141968,5.294462442398071,29.859824419021606,2016_3136,1.0,1.0
4050,4050,0,0,43.19600486755371,5.294462442398071,37.90154242515564,2016_4050,1.0,1.0
4992,4992,0,0,55.35735321044922,5.294462442398071,50.06289076805115,2016_4992,1.0,1.0
544,544,0,0,8.48920750617981,5.294462442398071,3.1947450637817383,2016_544,1.0,1.0
56,56,0,0,5.976975679397583,5.294462442398071,0.6825132369995117,2016_56,1.0,1.0
810,810,0,0,10.428710222244263,5.294462442398071,5.134247779846191,2016_810,1.0,1.0
2016,2016,0,0,18.602628707885742,2.954637050628662,15.64799165725708,216_2016,1.0,1.0
3136,3136,0,0,32.82407546043396,2.954637050628662,29.869438409805298,216_3136,1.0,1.0
4050,4050,0,0,40.97196984291077,2.954637050628662,38.017332792282104,216_4050,1.0,1.0
4992,4992,0,0,53.142114877700806,2.954637050628662,50.187477827072144,216_4992,1.0,1.0
544,544,0,0,6.140113353729248,2.954637050628662,3.185476303100586,216_544,1.0,1.0
56,56,0,0,3.6374642848968506,2.954637050628662,0.6828272342681885,216_56,1.0,1.0
810,810,0,0,8.008913516998291,2.954637050628662,5.054276466369629,216_810,1.0,1.0
2016,2016,0,0,27.392488956451416,11.77946662902832,15.613022327423096,3136_2016,1.0,1.0
216,216,0,0,12.84125304222107,11.77946662902832,1.061786413192749,3136_216,1.0,1.0
3136,3136,0,0,41.487051248550415,11.77946662902832,29.707584619522095,3136_3136,1.0,1.0
4050,4050,0,0,49.56849122047424,11.77946662902832,37.78902459144592,3136_4050,1.0,1.0
4992,4992,0,0,61.82599234580994,11.77946662902832,50.046525716781616,3136_4992,1.0,1.0
544,544,0,0,14.963428258895874,11.77946662902832,3.1839616298675537,3136_544,1.0,1.0
56,56,0,0,12.506797313690186,11.77946662902832,0.7273306846618652,3136_56,1.0,1.0
810,810,0,0,16.818416595458984,11.77946662902832,5.038949966430664,3136_810,1.0,1.0
2016,2016,0,0,23.057899951934814,7.414827108383179,15.643072843551636,4050_2016,1.0,1.0
216,216,0,0,8.477384090423584,7.414827108383179,1.0625569820404053,4050_216,1.0,1.0
3136,3136,0,0,37.16962504386902,7.414827108383179,29.75479793548584,4050_3136,1.0,1.0
