CL,TP,FP,FN,T,T_T,T_P,Instances,Precision,Recall
2016,2016,0,0,121.082754611969,1.466719627380371,119.61603498458862,2016_2016,1.0,1.0
216,216,0,0,8.874725580215454,1.466719627380371,7.408005952835083,2016_216,1.0,1.0
3136,3136,0,0,224.88532733917236,1.466719627380371,223.418607711792,2016_3136,1.0,1.0
4050,4050,0,0,288.60541796684265,1.466719627380371,287.1386983394623,2016_4050,1.0,1.0
4992,4992,0,0,376.8876883983612,1.466719627380371,375.42096877098083,2016_4992,1.0,1.0
544,544,0,0,24.9136745929718,1.466719627380371,23.44695496559143,2016_544,1.0,1.0
56,56,0,0,3.0553600788116455,1.466719627380371,1.5886404514312744,2016_56,1.0,1.0
810,810,0,0,39.051751136779785,1.466719627380371,37.585031509399414,2016_810,1.0,1.0
2016,2016,0,0,119.78041911125183,0.39879512786865234,119.38162398338318,216_2016,1.0,1.0
3136,3136,0,0,223.53418350219727,0.39879512786865234,223.1353883743286,216_3136,1.0,1.0
4050,4050,0,0,290.3902187347412,0.39879512786865234,289.99142360687256,216_4050,1.0,1.0
4992,4992,0,0,379.9555938243866,0.39879512786865234,379.55679869651794,216_4992,1.0,1.0
544,544,0,0,24.0272274017334,0.39879512786865234,23.628432273864746,216_544,1.0,1.0
56,56,0,0,1.9893994331359863,0.39879512786865234,1.590604305267334,216_56,1.0,1.0
810,810,0,0,38.21157908439636,0.39879512786865234,37.81278395652771,216_810,1.0,1.0
2016,2016,0,0,123.34447026252747,3.9613704681396484,119.38309979438782,3136_2016,1.0,1.0
216,216,0,0,11.363636016845703,3.9613704681396484,7.402265548706055,3136_216,1.0,1.0
3136,3136,0,0,227.7906620502472,3.9613704681396484,223.82929158210754,3136_3136,1.0,1.0
4050,4050,0,0,291.5166223049164,3.9613704681396484,287.55525183677673,3136_4050,1.0,1.0
4992,4992,0,0,380.073410987854,3.9613704681396484,376.11204051971436,3136_4992,1.0,1.0
544,544,0,0,27.551047325134277,3.9613704681396484,23.58967685699463,3136_544,1.0,1.0
56,56,0,0,5.54508113861084,3.9613704681396484,1.5837106704711914,3136_56,1.0,1.0
810,810,0,0,41.86822581291199,3.9613704681396484,37.90685534477234,3136_810,1.0,1.0
2016,2016,0,0,122.47675728797913,3.1493732929229736,119.32738399505615,4050_2016,1.0,1.0
216,216,0,0,10.62280797958374,3.1493732929229736,7.473434686660767,4050_216,1.0,1.0
3136,3136,0,0,226.68310594558716,3.1493732929229736,223.53373265266418,4050_3136,1.0,1.0
4992,4992,0,0,381.841050863266,3.1493732929229736,378.691677570343,4050_4992,1.0,1.0
544,544,0,0,26.872071743011475,3.1493732929229736,23.7226984500885,4050_544,1.0,1.0
56,56,0,0,4.741902828216553,3.1493732929229736,1.592529535293579,4050_56,1.0,1.0
810,810,0,0,41.01313090324402,3.1493732929229736,37.863757610321045,4050_810,1.0,1.0
