CL,TP,FP,FN,T,T_T,T_P,Instances,Precision,Recall
1971,1566,405,0,0.6549108028411865,0.6059656143188477,0.04894518852233887,144_1566,0.7945205479452054,1.0
350,230,120,0,0.6257219314575195,0.6059656143188477,0.019756317138671875,144_230,0.6571428571428571,1.0
735,510,225,0,0.6347205638885498,0.6059656143188477,0.02875494956970215,144_510,0.6938775510204082,1.0
640,544,96,0,0.6299192905426025,0.6059656143188477,0.023953676223754883,144_544,0.85,1.0
792,684,108,0,0.6314349174499512,0.6059656143188477,0.025469303131103516,144_684,0.8636363636363636,1.0
1020,840,180,0,0.6419992446899414,0.6059656143188477,0.03603363037109375,144_840,0.8235294117647058,1.0
1281,966,315,0,0.6436116695404053,0.6059656143188477,0.03764605522155762,144_966,0.7540983606557377,1.0
168,144,24,0,1.2533314228057861,1.2373690605163574,0.01596236228942871,1566_144,0.8571428571428571,1.0
1701,1566,135,0,1.2717223167419434,1.2373690605163574,0.03435325622558594,1566_1566,0.9206349206349206,1.0
270,230,40,0,1.2556393146514893,1.2373690605163574,0.018270254135131836,1566_230,0.8518518518518519,1.0
585,510,75,0,1.2610344886779785,1.2373690605163574,0.023665428161621094,1566_510,0.8717948717948718,1.0
592,544,48,0,1.2594990730285645,1.2373690605163574,0.02213001251220703,1566_544,0.918918918918919,1.0
738,684,54,0,1.2602901458740234,1.2373690605163574,0.022921085357666016,1566_684,0.926829268292683,1.0
900,840,60,0,1.2628178596496582,1.2373690605163574,0.02544879913330078,1566_840,0.9333333333333333,1.0
1071,966,105,0,1.26735258102417,1.2373690605163574,0.0299835205078125,1566_966,0.9019607843137255,1.0
168,144,24,0,0.6180012226104736,0.5990490913391113,0.018952131271362305,230_144,0.8571428571428571,1.0
1701,1566,135,0,0.6322767734527588,0.5990490913391113,0.03322768211364746,230_1566,0.9206349206349206,1.0
510,510,0,0,0.6257467269897461,0.5990490913391113,0.026697635650634766,230_510,1.0,1.0
592,544,48,0,0.619889497756958,0.5990490913391113,0.02084040641784668,230_544,0.918918918918919,1.0
738,684,54,0,0.6298542022705078,0.5990490913391113,0.030805110931396484,230_684,0.926829268292683,1.0
900,840,60,0,0.6313533782958984,0.5990490913391113,0.03230428695678711,230_840,0.9333333333333333,1.0
1071,966,105,0,0.6270778179168701,0.5990490913391113,0.02802872657775879,230_966,0.9019607843137255,1.0
168,144,24,0,0.7658069133758545,0.7505967617034912,0.015210151672363281,510_144,0.8571428571428571,1.0
1701,1566,135,0,0.7835342884063721,0.7505967617034912,0.03293752670288086,510_1566,0.9206349206349206,1.0
230,230,0,0,0.768801212310791,0.7505967617034912,0.018204450607299805,510_230,1.0,1.0
592,544,48,0,0.7712419033050537,0.7505967617034912,0.0206451416015625,510_544,0.918918918918919,1.0
738,684,54,0,0.7723021507263184,0.7505967617034912,0.02170538902282715,510_684,0.926829268292683,1.0
900,840,60,0,0.773895263671875,0.7505967617034912,0.02329850196838379,510_840,0.9333333333333333,1.0
1071,966,105,0,0.7835328578948975,0.7505967617034912,0.03293609619140625,510_966,0.9019607843137255,1.0
144,144,0,0,0.6900143623352051,0.6737115383148193,0.016302824020385742,544_144,1.0,1.0
1701,1566,135,0,0.7095959186553955,0.6737115383148193,0.03588438034057617,544_1566,0.9206349206349206,1.0
270,230,40,0,0.6919584274291992,0.6737115383148193,0.018246889114379883,544_230,0.8518518518518519,1.0
585,510,75,0,0.6965737342834473,0.6737115383148193,0.02286219596862793,544_510,0.8717948717948718,1.0
592,544,48,0,0.6990466117858887,0.6737115383148193,0.025335073471069336,544_544,0.918918918918919,1.0
738,684,54,0,0.6998882293701172,0.6737115383148193,0.02617669105529785,544_684,0.926829268292683,1.0
900,840,60,0,0.7020969390869141,0.6737115383148193,0.028385400772094727,544_840,0.9333333333333333,1.0
1071,966,105,0,0.7013742923736572,0.6737115383148193,0.02766275405883789,544_966,0.9019607843137255,1.0
144,144,0,0,0.7668805122375488,0.7482197284698486,0.018660783767700195,684_144,1.0,1.0
1701,1566,135,0,0.8401391506195068,0.7482197284698486,0.0919194221496582,684_1566,0.9206349206349206,1.0
270,230,40,0,0.7628707885742188,0.7482197284698486,0.014651060104370117,684_230,0.8518518518518519,1.0
585,510,75,0,0.7675609588623047,0.7482197284698486,0.019341230392456055,684_510,0.8717948717948718,1.0
592,544,48,0,0.763730525970459,0.7482197284698486,0.015510797500610352,684_544,0.918918918918919,1.0
900,840,60,0,0.7718081474304199,0.7482197284698486,0.02358841896057129,684_840,0.9333333333333333,1.0
1071,966,105,0,0.7768270969390869,0.7482197284698486,0.02860736846923828,684_966,0.9019607843137255,1.0
144,144,0,0,2.0531671047210693,2.0435264110565186,0.009640693664550781,840_144,1.0,1.0
1566,1566,0,0,2.068197011947632,2.0435264110565186,0.02467060089111328,840_1566,1.0,1.0
230,230,0,0,2.1203229427337646,2.0435264110565186,0.0767965316772461,840_230,1.0,1.0
510,510,0,0,2.057793140411377,2.0435264110565186,0.014266729354858398,840_510,1.0,1.0
544,544,0,0,2.057274341583252,2.0435264110565186,0.013747930526733398,840_544,1.0,1.0
