CL,TP,FP,FN,T,T_T,T_P,Instances,Precision,Recall
1523,1440,83,126,26.144471168518066,0.026050567626953125,26.118420600891113,144_1566,0.9455022980958634,0.9195402298850575
262,202,60,28,2.7337100505828857,0.026050567626953125,2.7076594829559326,144_230,0.7709923664122137,0.8782608695652174
519,450,69,60,7.084718704223633,0.026050567626953125,7.05866813659668,144_510,0.8670520231213873,0.8823529411764706
496,496,0,48,8.059916973114014,0.026050567626953125,8.03386640548706,144_544,1.0,0.9117647058823529
630,630,0,54,10.29708480834961,0.026050567626953125,10.271034240722656,144_684,1.0,0.9210526315789473
1084,800,284,40,14.345792531967163,0.026050567626953125,14.31974196434021,144_840,0.7380073800738007,0.9523809523809523
861,861,0,105,12.30651307106018,0.026050567626953125,12.280462503433228,144_966,1.0,0.8913043478260869
120,120,0,24,1.1645853519439697,0.17231512069702148,0.9922702312469482,1566_144,1.0,0.8333333333333334
1431,1431,0,135,20.470544576644897,0.17231512069702148,20.298229455947876,1566_1566,1.0,0.9137931034482759
190,190,0,40,2.8705127239227295,0.17231512069702148,2.698197603225708,1566_230,1.0,0.8260869565217391
435,435,0,75,7.242019414901733,0.17231512069702148,7.069704294204712,1566_510,1.0,0.8529411764705882
496,496,0,48,8.219069719314575,0.17231512069702148,8.046754598617554,1566_544,1.0,0.9117647058823529
630,630,0,54,10.453041315078735,0.17231512069702148,10.280726194381714,1566_684,1.0,0.9210526315789473
780,780,0,60,14.423128843307495,0.17231512069702148,14.250813722610474,1566_840,1.0,0.9285714285714286
861,861,0,105,12.37228274345398,0.17231512069702148,12.199967622756958,1566_966,1.0,0.8913043478260869
180,132,48,12,1.024198293685913,0.02942967414855957,0.9947686195373535,230_144,0.7333333333333333,0.9166666666666666
2173,1494,679,72,26.02804136276245,0.02942967414855957,25.99861168861389,230_1566,0.6875287620800736,0.9540229885057471
479,455,24,55,7.107048511505127,0.02942967414855957,7.077618837356567,230_510,0.9498956158663883,0.8921568627450981
688,512,176,32,8.114830255508423,0.02942967414855957,8.085400581359863,230_544,0.7441860465116279,0.9411764705882353
882,648,234,36,10.273149490356445,0.02942967414855957,10.243719816207886,230_684,0.7346938775510204,0.9473684210526315
780,780,0,60,14.297428607940674,0.02942967414855957,14.267998933792114,230_840,1.0,0.9285714285714286
1527,924,603,42,12.258925199508667,0.02942967414855957,12.229495525360107,230_966,0.6051080550098232,0.9565217391304348
132,124,8,20,1.0539882183074951,0.058225154876708984,0.9957630634307861,510_144,0.9393939393939394,0.8611111111111112
1431,1431,0,135,26.100227117538452,0.058225154876708984,26.042001962661743,510_1566,1.0,0.9137931034482759
190,190,0,40,2.779020071029663,0.058225154876708984,2.720794916152954,510_230,1.0,0.8260869565217391
496,496,0,48,8.114619493484497,0.058225154876708984,8.056394338607788,510_544,1.0,0.9117647058823529
630,630,0,54,10.32608675956726,0.058225154876708984,10.267861604690552,510_684,1.0,0.9210526315789473
780,780,0,60,14.325654745101929,0.058225154876708984,14.26742959022522,510_840,1.0,0.9285714285714286
861,861,0,105,12.295240879058838,0.058225154876708984,12.237015724182129,510_966,1.0,0.8913043478260869
120,120,0,24,1.269902229309082,0.07393503189086914,1.195967197418213,544_144,1.0,0.8333333333333334
1431,1431,0,135,30.54185128211975,0.07393503189086914,30.467916250228882,544_1566,1.0,0.9137931034482759
190,190,0,40,3.2462198734283447,0.07393503189086914,3.1722848415374756,544_230,1.0,0.8260869565217391
435,435,0,75,8.326139450073242,0.07393503189086914,8.252204418182373,544_510,1.0,0.8529411764705882
496,496,0,48,9.511143445968628,0.07393503189086914,9.437208414077759,544_544,1.0,0.9117647058823529
630,630,0,54,12.107030868530273,0.07393503189086914,12.033095836639404,544_684,1.0,0.9210526315789473
780,780,0,60,16.78871488571167,0.07393503189086914,16.7147798538208,544_840,1.0,0.9285714285714286
861,861,0,105,14.322700023651123,0.07393503189086914,14.248764991760254,544_966,1.0,0.8913043478260869
120,120,0,24,1.0932440757751465,0.0945591926574707,0.9986848831176758,684_144,1.0,0.8333333333333334
1431,1431,0,135,26.125312089920044,0.0945591926574707,26.030752897262573,684_1566,1.0,0.9137931034482759
190,190,0,40,2.814115524291992,0.0945591926574707,2.7195563316345215,684_230,1.0,0.8260869565217391
435,435,0,75,7.16965126991272,0.0945591926574707,7.075092077255249,684_510,1.0,0.8529411764705882
496,496,0,48,8.14656138420105,0.0945591926574707,8.052002191543579,684_544,1.0,0.9117647058823529
780,780,0,60,14.37383222579956,0.0945591926574707,14.27927303314209,684_840,1.0,0.9285714285714286
861,861,0,105,12.318116664886475,0.0945591926574707,12.223557472229004,684_966,1.0,0.8913043478260869
126,120,6,24,1.8439254760742188,0.3921387195587158,1.451786756515503,840_144,0.9523809523809523,0.8333333333333334
1431,1431,0,135,35.16792368888855,0.3921387195587158,34.775784969329834,840_1566,1.0,0.9137931034482759
190,190,0,40,4.032796859741211,0.3921387195587158,3.640658140182495,840_230,1.0,0.8260869565217391
435,435,0,75,9.801147937774658,0.3921387195587158,9.409009218215942,840_510,1.0,0.8529411764705882
516,496,20,48,11.092556715011597,0.3921387195587158,10.70041799545288,840_544,0.9612403100775194,0.9117647058823529
630,630,0,54,14.105188608169556,0.3921387195587158,13.71304988861084,840_684,1.0,0.9210526315789473
861,861,0,105,16.579665422439575,0.3921387195587158,16.18752670288086,840_966,1.0,0.8913043478260869
120,120,0,24,1.0878047943115234,0.09333324432373047,0.994471549987793,966_144,1.0,0.8333333333333334
1431,1431,0,135,26.180564165115356,0.09333324432373047,26.087230920791626,966_1566,1.0,0.9137931034482759
190,190,0,40,2.805859327316284,0.09333324432373047,2.7125260829925537,966_230,1.0,0.8260869565217391
435,435,0,75,7.14947247505188,0.09333324432373047,7.056139230728149,966_510,1.0,0.8529411764705882
496,496,0,48,8.141135931015015,0.09333324432373047,8.047802686691284,966_544,1.0,0.9117647058823529
630,630,0,54,10.380576848983765,0.09333324432373047,10.287243604660034,966_684,1.0,0.9210526315789473
780,780,0,60,14.43081021308899,0.09333324432373047,14.337476968765259,966_840,1.0,0.9285714285714286
673.6896551724138,634.1379310344828,39.55172413793103,64.10344827586206,11.090341633763806,0.11769236367324303,10.972649270090564,average_results,0.9591261199984127,0.8931057853565961
