CL,TP,FP,FN,T,T_T,T_P,Instances,Precision,Recall
1836,1431,405,135,0.07599663734436035,0.024168968200683594,0.05182766914367676,144_1566,0.7794117647058824,0.9137931034482759
310,190,120,40,0.061098337173461914,0.024168968200683594,0.03692936897277832,144_230,0.6129032258064516,0.8260869565217391
660,435,225,75,0.06929373741149902,0.024168968200683594,0.04512476921081543,144_510,0.6590909090909091,0.8529411764705882
640,544,96,0,0.07230973243713379,0.024168968200683594,0.048140764236450195,144_544,0.85,1.0
792,684,108,0,0.07436919212341309,0.024168968200683594,0.05020022392272949,144_684,0.8636363636363636,1.0
960,780,180,60,0.07028985023498535,0.024168968200683594,0.04612088203430176,144_840,0.8125,0.9285714285714286
1176,861,315,105,0.07900524139404297,0.024168968200683594,0.054836273193359375,144_966,0.7321428571428571,0.8913043478260869
168,144,24,0,0.18526744842529297,0.16794228553771973,0.017325162887573242,1566_144,0.8571428571428571,1.0
1701,1566,135,0,0.20331573486328125,0.16794228553771973,0.03537344932556152,1566_1566,0.9206349206349206,1.0
270,230,40,0,0.1887044906616211,0.16794228553771973,0.020762205123901367,1566_230,0.8518518518518519,1.0
585,510,75,0,0.19112348556518555,0.16794228553771973,0.02318120002746582,1566_510,0.8717948717948718,1.0
592,544,48,0,0.19134235382080078,0.16794228553771973,0.023400068283081055,1566_544,0.918918918918919,1.0
738,684,54,0,0.19149494171142578,0.16794228553771973,0.023552656173706055,1566_684,0.926829268292683,1.0
900,840,60,0,0.19501376152038574,0.16794228553771973,0.027071475982666016,1566_840,0.9333333333333333,1.0
1071,966,105,0,0.1966865062713623,0.16794228553771973,0.028744220733642578,1566_966,0.9019607843137255,1.0
168,144,24,0,0.05057072639465332,0.027597665786743164,0.022973060607910156,230_144,0.8571428571428571,1.0
1701,1566,135,0,0.10988473892211914,0.027597665786743164,0.08228707313537598,230_1566,0.9206349206349206,1.0
510,510,0,0,0.06609582901000977,0.027597665786743164,0.0384981632232666,230_510,1.0,1.0
592,544,48,0,0.06721925735473633,0.027597665786743164,0.039621591567993164,230_544,0.918918918918919,1.0
738,684,54,0,0.07319760322570801,0.027597665786743164,0.045599937438964844,230_684,0.926829268292683,1.0
900,840,60,0,0.07993245124816895,0.027597665786743164,0.05233478546142578,230_840,0.9333333333333333,1.0
1071,966,105,0,0.0848989486694336,0.027597665786743164,0.05730128288269043,230_966,0.9019607843137255,1.0
