CL,TP,FP,FN,T,T_T,T_P,Instances,Precision,Recall
1961,1556,405,10,45.67398715019226,0.049565792083740234,45.62442135810852,144_1566,0.7934727180010199,0.9936143039591315
344,224,120,6,6.267261028289795,0.049565792083740234,6.217695236206055,144_230,0.6511627906976745,0.9739130434782609
729,504,225,6,16.751296281814575,0.049565792083740234,16.701730489730835,144_510,0.691358024691358,0.9882352941176471
624,528,96,16,14.822038412094116,0.049565792083740234,14.772472620010376,144_544,0.8461538461538461,0.9705882352941176
786,678,108,6,20.128846406936646,0.049565792083740234,20.079280614852905,144_684,0.8625954198473282,0.9912280701754386
1006,826,180,14,29.63996696472168,0.049565792083740234,29.59040117263794,144_840,0.8210735586481114,0.9833333333333333
1277,962,315,4,22.07223629951477,0.049565792083740234,22.02267050743103,144_966,0.7533281127642913,0.9958592132505176
168,144,24,0,2.0000555515289307,0.3401672840118408,1.6598882675170898,1566_144,0.8571428571428571,1.0
1701,1566,135,0,32.970946073532104,0.3401672840118408,32.630778789520264,1566_1566,0.9206349206349206,1.0
270,230,40,0,4.500670671463013,0.3401672840118408,4.160503387451172,1566_230,0.8518518518518519,1.0
585,510,75,0,10.923556327819824,0.3401672840118408,10.583389043807983,1566_510,0.8717948717948718,1.0
592,544,48,0,12.399646282196045,0.3401672840118408,12.059478998184204,1566_544,0.918918918918919,1.0
738,684,54,0,16.182908058166504,0.3401672840118408,15.842740774154663,1566_684,0.926829268292683,1.0
900,840,60,0,21.64338254928589,0.3401672840118408,21.303215265274048,1566_840,0.9333333333333333,1.0
1071,966,105,0,18.545218229293823,0.3401672840118408,18.205050945281982,1566_966,0.9019607843137255,1.0
168,144,24,0,1.6591551303863525,0.03464341163635254,1.62451171875,230_144,0.8571428571428571,1.0
1701,1566,135,0,45.11997604370117,0.03464341163635254,45.08533263206482,230_1566,0.9206349206349206,1.0
510,510,0,0,10.661444187164307,0.03464341163635254,10.626800775527954,230_510,1.0,1.0
570,522,48,22,12.573598861694336,0.03464341163635254,12.538955450057983,230_544,0.9157894736842105,0.9595588235294118
738,684,54,0,18.46756076812744,0.03464341163635254,18.43291735649109,230_684,0.926829268292683,1.0
858,798,60,42,25.409449577331543,0.03464341163635254,25.37480616569519,230_840,0.9300699300699301,0.95
1045,940,105,26,21.776183366775513,0.03464341163635254,21.74153995513916,230_966,0.8995215311004785,0.9730848861283644
168,144,24,0,2.0113942623138428,0.07499194145202637,1.9364023208618164,510_144,0.8571428571428571,1.0
1701,1566,135,0,50.11646389961243,0.07499194145202637,50.0414719581604,510_1566,0.9206349206349206,1.0
230,230,0,0,4.944397687911987,0.07499194145202637,4.869405746459961,510_230,1.0,1.0
592,544,48,0,13.795332431793213,0.07499194145202637,13.720340490341187,510_544,0.918918918918919,1.0
738,684,54,0,17.983410358428955,0.07499194145202637,17.90841841697693,510_684,0.926829268292683,1.0
900,840,60,0,27.840027809143066,0.07499194145202637,27.76503586769104,510_840,0.9333333333333333,1.0
1071,966,105,0,21.14310050010681,0.07499194145202637,21.068108558654785,510_966,0.9019607843137255,1.0
144,144,0,0,2.362208843231201,0.09577202796936035,2.266436815261841,544_144,1.0,1.0
1701,1566,135,0,49.51519536972046,0.09577202796936035,49.4194233417511,544_1566,0.9206349206349206,1.0
270,230,40,0,5.18855357170105,0.09577202796936035,5.0927815437316895,544_230,0.8518518518518519,1.0
585,510,75,0,13.036665678024292,0.09577202796936035,12.940893650054932,544_510,0.8717948717948718,1.0
592,544,48,0,15.20528769493103,0.09577202796936035,15.10951566696167,544_544,0.918918918918919,1.0
738,684,54,0,19.14525318145752,0.09577202796936035,19.04948115348816,544_684,0.926829268292683,1.0
900,840,60,0,24.90886378288269,0.09577202796936035,24.81309175491333,544_840,0.9333333333333333,1.0
1071,966,105,0,21.32150435447693,0.09577202796936035,21.22573232650757,544_966,0.9019607843137255,1.0
144,144,0,0,1.7461838722229004,0.11841511726379395,1.6277687549591064,684_144,1.0,1.0
1701,1566,135,0,38.88117957115173,0.11841511726379395,38.76276445388794,684_1566,0.9206349206349206,1.0
270,230,40,0,4.845486640930176,0.11841511726379395,4.727071523666382,684_230,0.8518518518518519,1.0
585,510,75,0,10.546172142028809,0.11841511726379395,10.427757024765015,684_510,0.8717948717948718,1.0
592,544,48,0,12.419596433639526,0.11841511726379395,12.301181316375732,684_544,0.918918918918919,1.0
900,840,60,0,21.759015321731567,0.11841511726379395,21.640600204467773,684_840,0.9333333333333333,1.0
1071,966,105,0,18.33561062812805,0.11841511726379395,18.217195510864258,684_966,0.9019607843137255,1.0
144,144,0,0,3.990588903427124,0.657447338104248,3.333141565322876,840_144,1.0,1.0
1566,1566,0,0,51.508216381073,0.657447338104248,50.85076904296875,840_1566,1.0,1.0
230,230,0,0,6.799153089523315,0.657447338104248,6.141705751419067,840_230,1.0,1.0
510,510,0,0,14.06246042251587,0.657447338104248,13.405013084411621,840_510,1.0,1.0
544,544,0,0,15.576316833496094,0.657447338104248,14.918869495391846,840_544,1.0,1.0
684,684,0,0,22.039922952651978,0.657447338104248,21.38247561454773,840_684,1.0,1.0
966,966,0,0,23.517435312271118,0.657447338104248,22.85998797416687,840_966,1.0,1.0
168,144,24,0,1.7401838302612305,0.11650919914245605,1.6236746311187744,966_144,0.8571428571428571,1.0
1701,1566,135,0,44.543872356414795,0.11650919914245605,44.42736315727234,966_1566,0.9206349206349206,1.0
270,230,40,0,4.169890880584717,0.11650919914245605,4.053381681442261,966_230,0.8518518518518519,1.0
585,510,75,0,10.607850313186646,0.11650919914245605,10.49134111404419,966_510,0.8717948717948718,1.0
