CL,TP,FP,FN,T,T_T,T_P,Instances,Precision,Recall
1773,1521,252,45,26.810536861419678,2.5090949535369873,24.30144190788269,144_1566,0.8578680203045685,0.9712643678160919
298,210,88,20,5.098711729049683,2.5090949535369873,2.5896167755126953,144_230,0.7046979865771812,0.9130434782608695
665,460,205,50,9.066072702407837,2.5090949535369873,6.55697774887085,144_510,0.6917293233082706,0.9019607843137255
600,520,80,24,9.970213174819946,2.5090949535369873,7.461118221282959,144_544,0.8666666666666667,0.9558823529411765
747,684,63,0,12.030438423156738,2.5090949535369873,9.521343469619751,144_684,0.9156626506024096,1.0
1070,830,240,10,15.840468883514404,2.5090949535369873,13.331373929977417,144_840,0.7757009345794392,0.9880952380952381
1113,868,245,98,13.878983497619629,2.5090949535369873,11.369888544082642,144_966,0.779874213836478,0.8985507246376812
120,120,0,24,16.397289991378784,15.471746444702148,0.9255435466766357,1566_144,1.0,0.8333333333333334
1431,1431,0,135,34.276496171951294,15.471746444702148,18.804749727249146,1566_1566,1.0,0.9137931034482759
190,190,0,40,18.01690411567688,15.471746444702148,2.5451576709747314,1566_230,1.0,0.8260869565217391
435,435,0,75,22.021257877349854,15.471746444702148,6.549511432647705,1566_510,1.0,0.8529411764705882
496,496,0,48,23.40454125404358,15.471746444702148,7.932794809341431,1566_544,1.0,0.9117647058823529
630,630,0,54,24.981884717941284,15.471746444702148,9.510138273239136,1566_684,1.0,0.9210526315789473
780,780,0,60,28.723642587661743,15.471746444702148,13.251896142959595,1566_840,1.0,0.9285714285714286
861,861,0,105,26.76853632926941,15.471746444702148,11.29678988456726,1566_966,1.0,0.8913043478260869
120,120,0,24,5.463942766189575,4.53476095199585,0.9291818141937256,230_144,1.0,0.8333333333333334
1431,1431,0,135,28.658570289611816,4.53476095199585,24.123809337615967,230_1566,1.0,0.9137931034482759
435,435,0,75,11.103373050689697,4.53476095199585,6.568612098693848,230_510,1.0,0.8529411764705882
496,496,0,48,11.98612380027771,4.53476095199585,7.45136284828186,230_544,1.0,0.9117647058823529
630,630,0,54,14.047924757003784,4.53476095199585,9.513163805007935,230_684,1.0,0.9210526315789473
780,780,0,60,20.382816314697266,4.53476095199585,15.848055362701416,230_840,1.0,0.9285714285714286
861,861,0,105,21.766703128814697,4.53476095199585,17.231942176818848,230_966,1.0,0.8913043478260869
144,120,24,24,19.09473180770874,18.156981229782104,0.9377505779266357,510_144,0.8333333333333334,0.8333333333333334
1566,1431,135,135,42.36920189857483,18.156981229782104,24.212220668792725,510_1566,0.9137931034482759,0.9137931034482759
230,230,0,0,20.734283447265625,18.156981229782104,2.5773022174835205,510_230,1.0,1.0
544,496,48,48,25.628127574920654,18.156981229782104,7.47114634513855,510_544,0.9117647058823529,0.9117647058823529
684,630,54,54,27.710960388183594,18.156981229782104,9.55397915840149,510_684,0.9210526315789473,0.9210526315789473
840,780,60,60,33.55173134803772,18.156981229782104,15.394750118255615,510_840,0.9285714285714286,0.9285714285714286
966,861,105,105,29.491045713424683,18.156981229782104,11.334064483642578,510_966,0.8913043478260869,0.8913043478260869
132,132,0,12,7.014152765274048,5.554412603378296,1.459740161895752,544_144,1.0,0.9166666666666666
1314,1251,63,315,33.99825477600098,5.554412603378296,28.44384217262268,544_1566,0.952054794520548,0.7988505747126436
148,140,8,90,8.535583734512329,5.554412603378296,2.981171131134033,544_230,0.9459459459459459,0.6086956521739131
393,363,30,147,13.269657611846924,5.554412603378296,7.715245008468628,544_510,0.9236641221374046,0.711764705882353
512,496,16,48,14.354146718978882,5.554412603378296,8.799734115600586,544_544,0.96875,0.9117647058823529
648,630,18,54,16.809165239334106,5.554412603378296,11.25475263595581,544_684,0.9722222222222222,0.9210526315789473
652,652,0,188,21.208062171936035,5.554412603378296,15.65364956855774,544_840,1.0,0.7761904761904762
924,861,63,105,18.868393659591675,5.554412603378296,13.313981056213379,544_966,0.9318181818181818,0.8913043478260869
144,132,12,12,10.584638833999634,9.65243911743164,0.9321997165679932,684_144,0.9166666666666666,0.9166666666666666
1728,1521,207,45,36.080745697021484,9.65243911743164,26.428306579589844,684_1566,0.8802083333333334,0.9712643678160919
282,210,72,20,12.209623336791992,9.65243911743164,2.5571842193603516,684_230,0.7446808510638298,0.9130434782608695
640,460,180,50,16.23381209373474,9.65243911743164,6.581372976303101,684_510,0.71875,0.9019607843137255
576,520,56,24,17.145188331604004,9.65243911743164,7.492749214172363,684_544,0.9027777777777778,0.9558823529411765
1070,830,240,10,22.978715896606445,9.65243911743164,13.326276779174805,684_840,0.7757009345794392,0.9880952380952381
1078,868,210,98,21.462349891662598,9.65243911743164,11.809910774230957,684_966,0.8051948051948052,0.8985507246376812
120,120,0,24,10.41163945198059,8.377973556518555,2.033665895462036,840_144,1.0,0.8333333333333334
1431,1431,0,135,40.765636920928955,8.377973556518555,32.3876633644104,840_1566,1.0,0.9137931034482759
190,190,0,40,11.816595077514648,8.377973556518555,3.4386215209960938,840_230,1.0,0.8260869565217391
435,435,0,75,17.209762573242188,8.377973556518555,8.831789016723633,840_510,1.0,0.8529411764705882
496,496,0,48,18.375468254089355,8.377973556518555,9.9974946975708,840_544,1.0,0.9117647058823529
630,630,0,54,25.92649555206299,8.377973556518555,17.548521995544434,840_684,1.0,0.9210526315789473
861,861,0,105,24.053466320037842,8.377973556518555,15.675492763519287,840_966,1.0,0.8913043478260869
168,144,24,0,21.83078408241272,20.886598110198975,0.9441859722137451,966_144,0.8571428571428571,1.0
1503,1368,135,198,45.27472448348999,20.886598110198975,24.388126373291016,966_1566,0.9101796407185628,0.8735632183908046
208,168,40,62,23.476037740707397,20.886598110198975,2.589439630508423,966_230,0.8076923076923077,0.7304347826086957
498,423,75,87,27.500974416732788,20.886598110198975,6.6143763065338135,966_510,0.8493975903614458,0.8294117647058824
512,464,48,80,28.397117137908936,20.886598110198975,7.510519027709961,966_544,0.90625,0.8529411764705882
738,684,54,0,30.503328323364258,20.886598110198975,9.616730213165283,966_684,0.926829268292683,1.0
772,712,60,128,34.2917640209198,20.886598110198975,13.405165910720825,966_840,0.9222797927461139,0.8476190476190476
685.1551724137931,629.8103448275862,55.3448275862069,68.43103448275862,21.204513788223267,10.638520824498144,10.565992963725122,average_results,0.9243142317022337,0.891831457343969
