CL,TP,FP,FN,T,T_T,T_P,Instances,Precision,Recall
1971,1566,405,0,0.06385064125061035,0.037363290786743164,0.026487350463867188,144_1566,0.7945205479452054,1.0
350,230,120,0,0.0437774658203125,0.037363290786743164,0.006414175033569336,144_230,0.6571428571428571,1.0
735,510,225,0,0.10681605339050293,0.037363290786743164,0.06945276260375977,144_510,0.6938775510204082,1.0
640,544,96,0,0.04741716384887695,0.037363290786743164,0.010053873062133789,144_544,0.85,1.0
792,684,108,0,0.049605607986450195,0.037363290786743164,0.012242317199707031,144_684,0.8636363636363636,1.0
1020,840,180,0,0.05088019371032715,0.037363290786743164,0.013516902923583984,144_840,0.8235294117647058,1.0
1281,966,315,0,0.056160926818847656,0.037363290786743164,0.018797636032104492,144_966,0.7540983606557377,1.0
168,144,24,0,0.28299474716186523,0.2803232669830322,0.002671480178833008,1566_144,0.8571428571428571,1.0
1701,1566,135,0,0.29964208602905273,0.2803232669830322,0.019318819046020508,1566_1566,0.9206349206349206,1.0
270,230,40,0,0.28436827659606934,0.2803232669830322,0.004045009613037109,1566_230,0.8518518518518519,1.0
585,510,75,0,0.28847837448120117,0.2803232669830322,0.008155107498168945,1566_510,0.8717948717948718,1.0
592,544,48,0,0.28732895851135254,0.2803232669830322,0.0070056915283203125,1566_544,0.918918918918919,1.0
738,684,54,0,0.2889738082885742,0.2803232669830322,0.008650541305541992,1566_684,0.926829268292683,1.0
900,840,60,0,0.2903604507446289,0.2803232669830322,0.01003718376159668,1566_840,0.9333333333333333,1.0
1071,966,105,0,0.29319119453430176,0.2803232669830322,0.012867927551269531,1566_966,0.9019607843137255,1.0
168,144,24,0,0.05625343322753906,0.0535888671875,0.0026645660400390625,230_144,0.8571428571428571,1.0
1701,1566,135,0,0.07274770736694336,0.0535888671875,0.01915884017944336,230_1566,0.9206349206349206,1.0
510,510,0,0,0.06202864646911621,0.0535888671875,0.008439779281616211,230_510,1.0,1.0
592,544,48,0,0.06058788299560547,0.0535888671875,0.006999015808105469,230_544,0.918918918918919,1.0
738,684,54,0,0.062273263931274414,0.0535888671875,0.008684396743774414,230_684,0.926829268292683,1.0
900,840,60,0,0.06362581253051758,0.0535888671875,0.010036945343017578,230_840,0.9333333333333333,1.0
1071,966,105,0,0.06651854515075684,0.0535888671875,0.012929677963256836,230_966,0.9019607843137255,1.0
168,144,24,0,0.10968017578125,0.10708308219909668,0.0025970935821533203,510_144,0.8571428571428571,1.0
1701,1566,135,0,0.1263265609741211,0.10708308219909668,0.019243478775024414,510_1566,0.9206349206349206,1.0
230,230,0,0,0.11151361465454102,0.10708308219909668,0.004430532455444336,510_230,1.0,1.0
592,544,48,0,0.11424732208251953,0.10708308219909668,0.0071642398834228516,510_544,0.918918918918919,1.0
738,684,54,0,0.1155540943145752,0.10708308219909668,0.008471012115478516,510_684,0.926829268292683,1.0
900,840,60,0,0.11732649803161621,0.10708308219909668,0.010243415832519531,510_840,0.9333333333333333,1.0
1071,966,105,0,0.11999869346618652,0.10708308219909668,0.012915611267089844,510_966,0.9019607843137255,1.0
144,144,0,0,0.10968947410583496,0.10690021514892578,0.0027892589569091797,544_144,1.0,1.0
1701,1566,135,0,0.12615036964416504,0.10690021514892578,0.019250154495239258,544_1566,0.9206349206349206,1.0
270,230,40,0,0.1110842227935791,0.10690021514892578,0.00418400764465332,544_230,0.8518518518518519,1.0
585,510,75,0,0.11481666564941406,0.10690021514892578,0.007916450500488281,544_510,0.8717948717948718,1.0
592,544,48,0,0.11385273933410645,0.10690021514892578,0.006952524185180664,544_544,0.918918918918919,1.0
738,684,54,0,0.11534380912780762,0.10690021514892578,0.008443593978881836,544_684,0.926829268292683,1.0
900,840,60,0,0.11708235740661621,0.10690021514892578,0.01018214225769043,544_840,0.9333333333333333,1.0
1071,966,105,0,0.12006616592407227,0.10690021514892578,0.013165950775146484,544_966,0.9019607843137255,1.0
144,144,0,0,0.13355302810668945,0.1307663917541504,0.0027866363525390625,684_144,1.0,1.0
1701,1566,135,0,0.14966320991516113,0.1307663917541504,0.018896818161010742,684_1566,0.9206349206349206,1.0
270,230,40,0,0.13490986824035645,0.1307663917541504,0.004143476486206055,684_230,0.8518518518518519,1.0
585,510,75,0,0.13849425315856934,0.1307663917541504,0.007727861404418945,684_510,0.8717948717948718,1.0
592,544,48,0,0.13785672187805176,0.1307663917541504,0.007090330123901367,684_544,0.918918918918919,1.0
900,840,60,0,0.14121723175048828,0.1307663917541504,0.01045083999633789,684_840,0.9333333333333333,1.0
1071,966,105,0,0.14357399940490723,0.1307663917541504,0.012807607650756836,684_966,0.9019607843137255,1.0
144,144,0,0,0.15770268440246582,0.15575313568115234,0.0019495487213134766,840_144,1.0,1.0
1566,1566,0,0,0.1712474822998047,0.15575313568115234,0.015494346618652344,840_1566,1.0,1.0
230,230,0,0,0.15880298614501953,0.15575313568115234,0.0030498504638671875,840_230,1.0,1.0
510,510,0,0,0.21780848503112793,0.15575313568115234,0.062055349349975586,840_510,1.0,1.0
544,544,0,0,0.16149520874023438,0.15575313568115234,0.005742073059082031,840_544,1.0,1.0
684,684,0,0,0.16272211074829102,0.15575313568115234,0.006968975067138672,840_684,1.0,1.0
966,966,0,0,0.16599178314208984,0.15575313568115234,0.0102386474609375,840_966,1.0,1.0
168,144,24,0,0.18630599975585938,0.18375849723815918,0.0025475025177001953,966_144,0.8571428571428571,1.0
1701,1566,135,0,0.2031543254852295,0.18375849723815918,0.019395828247070312,966_1566,0.9206349206349206,1.0
270,230,40,0,0.1882174015045166,0.18375849723815918,0.004458904266357422,966_230,0.8518518518518519,1.0
585,510,75,0,0.19151067733764648,0.18375849723815918,0.007752180099487305,966_510,0.8717948717948718,1.0
592,544,48,0,0.19078302383422852,0.18375849723815918,0.007024526596069336,966_544,0.918918918918919,1.0
738,684,54,0,0.19222521781921387,0.18375849723815918,0.008466720581054688,966_684,0.926829268292683,1.0
900,840,60,0,0.19388246536254883,0.18375849723815918,0.010123968124389648,966_840,0.9333333333333333,1.0
771.6551724137931,698.2413793103449,73.41379310344827,0.0,0.14554710634823503,0.13406863294798751,0.011478473400247508,average_results,0.9058833916496322,1.0
