CL,TP,FP,FN,T,T_T,T_P,Instances,Precision,Recall
1919,1919,0,1,36.50202918052673,0.14044475555419922,36.361584424972534,1248_1920,1.0,0.9994791666666667
1971,1566,405,0,294.186594247818,0.19506025314331055,293.9915339946747,144_1566,0.7945205479452054,1.0
350,230,120,0,30.80292057991028,0.19506025314331055,30.607860326766968,144_230,0.6571428571428571,1.0
735,510,225,0,79.85877871513367,0.19506025314331055,79.66371846199036,144_510,0.6938775510204082,1.0
640,544,96,0,91.11312413215637,0.19506025314331055,90.91806387901306,144_544,0.85,1.0
792,684,108,0,115.532541513443,0.19506025314331055,115.33748126029968,144_684,0.8636363636363636,1.0
1020,840,180,0,161.03279852867126,0.19506025314331055,160.83773827552795,144_840,0.8235294117647058,1.0
1281,966,315,0,137.94825077056885,0.19506025314331055,137.75319051742554,144_966,0.7540983606557377,1.0
168,144,24,0,11.707382678985596,0.6502213478088379,11.057161331176758,1566_144,0.8571428571428571,1.0
1701,1566,135,0,228.93617272377014,0.6502213478088379,228.2859513759613,1566_1566,0.9206349206349206,1.0
270,230,40,0,31.06607699394226,0.6502213478088379,30.415855646133423,1566_230,0.8518518518518519,1.0
585,510,75,0,80.65430235862732,0.6502213478088379,80.00408101081848,1566_510,0.8717948717948718,1.0
592,544,48,0,91.402259349823,0.6502213478088379,90.75203800201416,1566_544,0.918918918918919,1.0
738,684,54,0,116.17245125770569,0.6502213478088379,115.52222990989685,1566_684,0.926829268292683,1.0
900,840,60,0,161.61593055725098,0.6502213478088379,160.96570920944214,1566_840,0.9333333333333333,1.0
1071,966,105,0,138.40071845054626,0.6502213478088379,137.75049710273743,1566_966,0.9019607843137255,1.0
1248,1248,0,0,23.13275694847107,0.11608052253723145,23.016676425933838,230_1248,1.0,1.0
168,144,24,0,11.259796142578125,0.20080971717834473,11.05898642539978,230_144,0.8571428571428571,1.0
1701,1566,135,0,296.0136299133301,0.20080971717834473,295.81282019615173,230_1566,0.9206349206349206,1.0
1920,1920,0,0,36.268444299697876,0.11565351486206055,36.152790784835815,230_1920,1.0,1.0
510,510,0,0,79.92929339408875,0.20080971717834473,79.7284836769104,230_510,1.0,1.0
592,544,48,0,90.9742066860199,0.20080971717834473,90.77339696884155,230_544,0.918918918918919,1.0
738,684,54,0,115.75622177124023,0.20080971717834473,115.55541205406189,230_684,0.926829268292683,1.0
900,840,60,0,162.43062901496887,0.20080971717834473,162.22981929779053,230_840,0.9333333333333333,1.0
1071,966,105,0,139.02375841140747,0.20080971717834473,138.82294869422913,230_966,0.9019607843137255,1.0
168,144,24,0,11.352751970291138,0.308927059173584,11.043824911117554,510_144,0.8571428571428571,1.0
1701,1566,135,0,293.6701149940491,0.308927059173584,293.3611879348755,510_1566,0.9206349206349206,1.0
230,230,0,0,31.15660047531128,0.308927059173584,30.847673416137695,510_230,1.0,1.0
592,544,48,0,90.78365659713745,0.308927059173584,90.47472953796387,510_544,0.918918918918919,1.0
738,684,54,0,115.30533289909363,0.308927059173584,114.99640583992004,510_684,0.926829268292683,1.0
900,840,60,0,160.8848316669464,0.308927059173584,160.57590460777283,510_840,0.9333333333333333,1.0
1071,966,105,0,137.81453394889832,0.308927059173584,137.50560688972473,510_966,0.9019607843137255,1.0
144,144,0,0,11.56656527519226,0.3127124309539795,11.253852844238281,544_144,1.0,1.0
1701,1566,135,0,297.77812671661377,0.3127124309539795,297.4654142856598,544_1566,0.9206349206349206,1.0
270,230,40,0,31.115816116333008,0.3127124309539795,30.80310368537903,544_230,0.8518518518518519,1.0
585,510,75,0,81.33949446678162,0.3127124309539795,81.02678203582764,544_510,0.8717948717948718,1.0
592,544,48,0,92.71697187423706,0.3127124309539795,92.40425944328308,544_544,0.918918918918919,1.0
738,684,54,0,118.09939336776733,0.3127124309539795,117.78668093681335,544_684,0.926829268292683,1.0
900,840,60,0,164.70138597488403,0.3127124309539795,164.38867354393005,544_840,0.9333333333333333,1.0
