CL,TP,FP,FN,T,T_T,T_P,Instances,Precision,Recall
1485,1485,0,0,0.36774253845214844,0.01630091667175293,0.3514416217803955,105_1485,1.0,1.0
210,210,0,0,0.046767473220825195,0.01630091667175293,0.030466556549072266,105_210,1.0,1.0
2145,2145,0,0,0.46329402923583984,0.01630091667175293,0.4469931125640869,105_2145,1.0,1.0
3003,3003,0,0,0.5652506351470947,0.01630091667175293,0.5489497184753418,105_3003,1.0,1.0
378,378,0,0,0.06813287734985352,0.01630091667175293,0.051831960678100586,105_378,1.0,1.0
4095,4095,0,0,0.727489709854126,0.01630091667175293,0.711188793182373,105_4095,1.0,1.0
45,45,0,0,0.027284622192382812,0.01630091667175293,0.010983705520629883,105_45,1.0,1.0
630,630,0,0,0.10138750076293945,0.01630091667175293,0.08508658409118652,105_630,1.0,1.0
990,990,0,0,0.15155792236328125,0.01630091667175293,0.13525700569152832,105_990,1.0,1.0
105,105,0,0,0.0554656982421875,0.03979682922363281,0.015668869018554688,1485_105,1.0,1.0
210,210,0,0,0.06923556327819824,0.03979682922363281,0.02943873405456543,1485_210,1.0,1.0
2145,2145,0,0,0.49465274810791016,0.03979682922363281,0.45485591888427734,1485_2145,1.0,1.0
3003,3003,0,0,0.5971424579620361,0.03979682922363281,0.5573456287384033,1485_3003,1.0,1.0
378,378,0,0,0.09239768981933594,0.03979682922363281,0.052600860595703125,1485_378,1.0,1.0
4095,4095,0,0,0.7450401782989502,0.03979682922363281,0.7052433490753174,1485_4095,1.0,1.0
45,45,0,0,0.05008196830749512,0.03979682922363281,0.010285139083862305,1485_45,1.0,1.0
630,630,0,0,0.12706995010375977,0.03979682922363281,0.08727312088012695,1485_630,1.0,1.0
990,990,0,0,0.1755235195159912,0.03979682922363281,0.1357266902923584,1485_990,1.0,1.0
105,105,0,0,0.035307884216308594,0.018681049346923828,0.016626834869384766,210_105,1.0,1.0
1485,1485,0,0,0.38077545166015625,0.018681049346923828,0.3620944023132324,210_1485,1.0,1.0
2145,2145,0,0,0.46964001655578613,0.018681049346923828,0.4509589672088623,210_2145,1.0,1.0
3003,3003,0,0,0.5694320201873779,0.018681049346923828,0.5507509708404541,210_3003,1.0,1.0
378,378,0,0,0.0718836784362793,0.018681049346923828,0.05320262908935547,210_378,1.0,1.0
4095,4095,0,0,0.7367181777954102,0.018681049346923828,0.7180371284484863,210_4095,1.0,1.0
45,45,0,0,0.03666257858276367,0.018681049346923828,0.017981529235839844,210_45,1.0,1.0
630,630,0,0,0.10517215728759766,0.018681049346923828,0.08649110794067383,210_630,1.0,1.0
990,990,0,0,0.15380525588989258,0.018681049346923828,0.13512420654296875,210_990,1.0,1.0
105,105,0,0,0.06560754776000977,0.05035114288330078,0.015256404876708984,2145_105,1.0,1.0
1485,1485,0,0,0.2517528533935547,0.05035114288330078,0.2014017105102539,2145_1485,1.0,1.0
210,210,0,0,0.22182011604309082,0.05035114288330078,0.17146897315979004,2145_210,1.0,1.0
3003,3003,0,0,0.6002202033996582,0.05035114288330078,0.5498690605163574,2145_3003,1.0,1.0
378,378,0,0,0.10351777076721191,0.05035114288330078,0.05316662788391113,2145_378,1.0,1.0
4095,4095,0,0,0.7581062316894531,0.05035114288330078,0.7077550888061523,2145_4095,1.0,1.0
45,45,0,0,0.06139683723449707,0.05035114288330078,0.011045694351196289,2145_45,1.0,1.0
630,630,0,0,0.14137482643127441,0.05035114288330078,0.09102368354797363,2145_630,1.0,1.0
990,990,0,0,0.3556981086730957,0.05035114288330078,0.3053469657897949,2145_990,1.0,1.0
105,105,0,0,0.08060169219970703,0.06512737274169922,0.015474319458007812,3003_105,1.0,1.0
1485,1485,0,0,0.2658545970916748,0.06512737274169922,0.20072722434997559,3003_1485,1.0,1.0
210,210,0,0,0.09579253196716309,0.06512737274169922,0.030665159225463867,3003_210,1.0,1.0
2145,2145,0,0,0.5068213939666748,0.06512737274169922,0.4416940212249756,3003_2145,1.0,1.0
378,378,0,0,0.11716389656066895,0.06512737274169922,0.05203652381896973,3003_378,1.0,1.0
4095,4095,0,0,0.7781796455383301,0.06512737274169922,0.7130522727966309,3003_4095,1.0,1.0
45,45,0,0,0.07631874084472656,0.06512737274169922,0.011191368103027344,3003_45,1.0,1.0
630,630,0,0,0.15006160736083984,0.06512737274169922,0.08493423461914062,3003_630,1.0,1.0
990,990,0,0,0.20444107055664062,0.06512737274169922,0.1393136978149414,3003_990,1.0,1.0
105,105,0,0,0.03537416458129883,0.02036142349243164,0.015012741088867188,378_105,1.0,1.0
1485,1485,0,0,0.21436429023742676,0.02036142349243164,0.19400286674499512,378_1485,1.0,1.0
210,210,0,0,0.05660057067871094,0.02036142349243164,0.0362391471862793,378_210,1.0,1.0
2145,2145,0,0,0.3000671863555908,0.02036142349243164,0.2797057628631592,378_2145,1.0,1.0
3003,3003,0,0,0.5631420612335205,0.02036142349243164,0.5427806377410889,378_3003,1.0,1.0
4095,4095,0,0,0.8605000972747803,0.02036142349243164,0.8401386737823486,378_4095,1.0,1.0
45,45,0,0,0.03161501884460449,0.02036142349243164,0.011253595352172852,378_45,1.0,1.0
630,630,0,0,0.1027381420135498,0.02036142349243164,0.08237671852111816,378_630,1.0,1.0
990,990,0,0,0.15288519859313965,0.02036142349243164,0.132523775100708,378_990,1.0,1.0
105,105,0,0,0.09766602516174316,0.08234977722167969,0.015316247940063477,4095_105,1.0,1.0
1485,1485,0,0,0.2901802062988281,0.08234977722167969,0.20783042907714844,4095_1485,1.0,1.0
210,210,0,0,0.11155152320861816,0.08234977722167969,0.029201745986938477,4095_210,1.0,1.0
2145,2145,0,0,0.5364871025085449,0.08234977722167969,0.45413732528686523,4095_2145,1.0,1.0
3003,3003,0,0,0.6354210376739502,0.08234977722167969,0.5530712604522705,4095_3003,1.0,1.0
378,378,0,0,0.13433361053466797,0.08234977722167969,0.05198383331298828,4095_378,1.0,1.0
45,45,0,0,0.09088754653930664,0.08234977722167969,0.008537769317626953,4095_45,1.0,1.0
630,630,0,0,0.30922484397888184,0.08234977722167969,0.22687506675720215,4095_630,1.0,1.0
990,990,0,0,0.21700119972229004,0.08234977722167969,0.13465142250061035,4095_990,1.0,1.0
105,105,0,0,0.03112030029296875,0.015447854995727539,0.01567244529724121,45_105,1.0,1.0
1485,1485,0,0,0.21651363372802734,0.015447854995727539,0.2010657787322998,45_1485,1.0,1.0
210,210,0,0,0.052725791931152344,0.015447854995727539,0.037277936935424805,45_210,1.0,1.0
2145,2145,0,0,0.3043844699859619,0.015447854995727539,0.2889366149902344,45_2145,1.0,1.0
3003,3003,0,0,0.5718865394592285,0.015447854995727539,0.556438684463501,45_3003,1.0,1.0
378,378,0,0,0.06756281852722168,0.015447854995727539,0.05211496353149414,45_378,1.0,1.0
4095,4095,0,0,0.8736639022827148,0.015447854995727539,0.8582160472869873,45_4095,1.0,1.0
630,630,0,0,0.10016393661499023,0.015447854995727539,0.0847160816192627,45_630,1.0,1.0
990,990,0,0,0.2997853755950928,0.015447854995727539,0.28433752059936523,45_990,1.0,1.0
105,105,0,0,0.04130840301513672,0.025151729583740234,0.016156673431396484,630_105,1.0,1.0
1485,1485,0,0,0.23354244232177734,0.025151729583740234,0.2083907127380371,630_1485,1.0,1.0
210,210,0,0,0.05550432205200195,0.025151729583740234,0.03035259246826172,630_210,1.0,1.0
2145,2145,0,0,0.3194150924682617,0.025151729583740234,0.2942633628845215,630_2145,1.0,1.0
3003,3003,0,0,0.5692129135131836,0.025151729583740234,0.5440611839294434,630_3003,1.0,1.0
378,378,0,0,0.07671642303466797,0.025151729583740234,0.051564693450927734,630_378,1.0,1.0
4095,4095,0,0,0.9300446510314941,0.025151729583740234,0.9048929214477539,630_4095,1.0,1.0
45,45,0,0,0.03634834289550781,0.025151729583740234,0.011196613311767578,630_45,1.0,1.0
990,990,0,0,0.15914297103881836,0.025151729583740234,0.13399124145507812,630_990,1.0,1.0
105,105,0,0,0.04632139205932617,0.030948400497436523,0.015372991561889648,990_105,1.0,1.0
1485,1485,0,0,0.23131847381591797,0.030948400497436523,0.20037007331848145,990_1485,1.0,1.0
210,210,0,0,0.06027698516845703,0.030948400497436523,0.029328584671020508,990_210,1.0,1.0
2145,2145,0,0,0.48137545585632324,0.030948400497436523,0.4504270553588867,990_2145,1.0,1.0
3003,3003,0,0,0.5818109512329102,0.030948400497436523,0.5508625507354736,990_3003,1.0,1.0
378,378,0,0,0.08426833152770996,0.030948400497436523,0.05331993103027344,990_378,1.0,1.0
4095,4095,0,0,0.8980445861816406,0.030948400497436523,0.8670961856842041,990_4095,1.0,1.0
45,45,0,0,0.04200911521911621,0.030948400497436523,0.011060714721679688,990_45,1.0,1.0
630,630,0,0,0.11632728576660156,0.030948400497436523,0.08537888526916504,990_630,1.0,1.0
1308.6,1308.6,0.0,0.0,0.2726719856262207,0.03645164966583252,0.2362203359603882,average_results,1.0,1.0
