CL,TP,FP,FN,T,T_T,T_P,Instances,Precision,Recall
1485,1485,0,0,1.5681769847869873,0.0031027793884277344,1.5650742053985596,105_1485,1.0,1.0
210,210,0,0,0.22502827644348145,0.0031027793884277344,0.2219254970550537,105_210,1.0,1.0
2145,2145,0,0,2.416769027709961,0.0031027793884277344,2.413666248321533,105_2145,1.0,1.0
3003,3003,0,0,3.163343667984009,0.0031027793884277344,3.160240888595581,105_3003,1.0,1.0
378,378,0,0,0.40189123153686523,0.0031027793884277344,0.3987884521484375,105_378,1.0,1.0
4095,4095,0,0,4.413966655731201,0.0031027793884277344,4.410863876342773,105_4095,1.0,1.0
45,45,0,0,0.053749799728393555,0.0031027793884277344,0.05064702033996582,105_45,1.0,1.0
630,630,0,0,0.6680364608764648,0.0031027793884277344,0.6649336814880371,105_630,1.0,1.0
990,990,0,0,1.0476880073547363,0.0031027793884277344,1.0445852279663086,105_990,1.0,1.0
105,105,0,0,0.12073802947998047,0.009604692459106445,0.11113333702087402,1485_105,1.0,1.0
210,210,0,0,0.23150396347045898,0.009604692459106445,0.22189927101135254,1485_210,1.0,1.0
2145,2145,0,0,2.2682723999023438,0.009604692459106445,2.2586677074432373,1485_2145,1.0,1.0
3003,3003,0,0,3.3210532665252686,0.009604692459106445,3.311448574066162,1485_3003,1.0,1.0
378,378,0,0,0.40799641609191895,0.009604692459106445,0.3983917236328125,1485_378,1.0,1.0
4095,4095,0,0,4.327898740768433,0.009604692459106445,4.318294048309326,1485_4095,1.0,1.0
45,45,0,0,0.06076622009277344,0.009604692459106445,0.05116152763366699,1485_45,1.0,1.0
630,630,0,0,0.6719589233398438,0.009604692459106445,0.6623542308807373,1485_630,1.0,1.0
990,990,0,0,1.0530836582183838,0.009604692459106445,1.0434789657592773,1485_990,1.0,1.0
105,105,0,0,0.11483311653137207,0.003612041473388672,0.1112210750579834,210_105,1.0,1.0
1485,1485,0,0,1.7133071422576904,0.003612041473388672,1.7096951007843018,210_1485,1.0,1.0
2145,2145,0,0,2.2604997158050537,0.003612041473388672,2.256887674331665,210_2145,1.0,1.0
3003,3003,0,0,3.309100389480591,0.003612041473388672,3.305488348007202,210_3003,1.0,1.0
378,378,0,0,0.4019911289215088,0.003612041473388672,0.3983790874481201,210_378,1.0,1.0
4095,4095,0,0,4.313539981842041,0.003612041473388672,4.309927940368652,210_4095,1.0,1.0
45,45,0,0,0.05416607856750488,0.003612041473388672,0.05055403709411621,210_45,1.0,1.0
630,630,0,0,0.8100926876068115,0.003612041473388672,0.8064806461334229,210_630,1.0,1.0
990,990,0,0,1.0471413135528564,0.003612041473388672,1.0435292720794678,210_990,1.0,1.0
105,105,0,0,0.12362933158874512,0.012643814086914062,0.11098551750183105,2145_105,1.0,1.0
1485,1485,0,0,1.7250645160675049,0.012643814086914062,1.7124207019805908,2145_1485,1.0,1.0
210,210,0,0,0.2338392734527588,0.012643814086914062,0.22119545936584473,2145_210,1.0,1.0
3003,3003,0,0,3.1863791942596436,0.012643814086914062,3.1737353801727295,2145_3003,1.0,1.0
378,378,0,0,0.4108614921569824,0.012643814086914062,0.39821767807006836,2145_378,1.0,1.0
4095,4095,0,0,4.329015016555786,0.012643814086914062,4.316371202468872,2145_4095,1.0,1.0
45,45,0,0,0.21410918235778809,0.012643814086914062,0.20146536827087402,2145_45,1.0,1.0
