CL,TP,FP,FN,T,T_T,T_P,Instances,Precision,Recall
1485,1485,0,0,0.09623599052429199,0.001984834671020508,0.09425115585327148,105_1485,1.0,1.0
210,210,0,0,0.016742706298828125,0.001984834671020508,0.014757871627807617,105_210,1.0,1.0
2145,2145,0,0,0.2982635498046875,0.001984834671020508,0.296278715133667,105_2145,1.0,1.0
3003,3003,0,0,0.19123411178588867,0.001984834671020508,0.18924927711486816,105_3003,1.0,1.0
378,378,0,0,0.026997804641723633,0.001984834671020508,0.025012969970703125,105_378,1.0,1.0
4095,4095,0,0,0.4138014316558838,0.001984834671020508,0.4118165969848633,105_4095,1.0,1.0
45,45,0,0,0.008251667022705078,0.001984834671020508,0.00626683235168457,105_45,1.0,1.0
630,630,0,0,0.04346728324890137,0.001984834671020508,0.04148244857788086,105_630,1.0,1.0
990,990,0,0,0.06620121002197266,0.001984834671020508,0.06421637535095215,105_990,1.0,1.0
105,105,0,0,0.015513420104980469,0.008163213729858398,0.00735020637512207,1485_105,1.0,1.0
210,210,0,0,0.021984577178955078,0.008163213729858398,0.01382136344909668,1485_210,1.0,1.0
2145,2145,0,0,0.1443636417388916,0.008163213729858398,0.1362004280090332,1485_2145,1.0,1.0
3003,3003,0,0,0.34604406356811523,0.008163213729858398,0.33788084983825684,1485_3003,1.0,1.0
378,378,0,0,0.03274035453796387,0.008163213729858398,0.02457714080810547,1485_378,1.0,1.0
4095,4095,0,0,0.4120790958404541,0.008163213729858398,0.4039158821105957,1485_4095,1.0,1.0
45,45,0,0,0.014369487762451172,0.008163213729858398,0.0062062740325927734,1485_45,1.0,1.0
630,630,0,0,0.04787111282348633,0.008163213729858398,0.03970789909362793,1485_630,1.0,1.0
990,990,0,0,0.0721902847290039,0.008163213729858398,0.06402707099914551,1485_990,1.0,1.0
105,105,0,0,0.009784936904907227,0.002437591552734375,0.0073473453521728516,210_105,1.0,1.0
1485,1485,0,0,0.09649014472961426,0.002437591552734375,0.09405255317687988,210_1485,1.0,1.0
2145,2145,0,0,0.14114642143249512,0.002437591552734375,0.13870882987976074,210_2145,1.0,1.0
3003,3003,0,0,0.1918644905090332,0.002437591552734375,0.18942689895629883,210_3003,1.0,1.0
378,378,0,0,0.027510643005371094,0.002437591552734375,0.02507305145263672,210_378,1.0,1.0
4095,4095,0,0,0.4044361114501953,0.002437591552734375,0.40199851989746094,210_4095,1.0,1.0
45,45,0,0,0.00881814956665039,0.002437591552734375,0.006380558013916016,210_45,1.0,1.0
630,630,0,0,0.04230093955993652,0.002437591552734375,0.03986334800720215,210_630,1.0,1.0
990,990,0,0,0.06872057914733887,0.002437591552734375,0.06628298759460449,210_990,1.0,1.0
105,105,0,0,0.018452167510986328,0.011074542999267578,0.00737762451171875,2145_105,1.0,1.0
1485,1485,0,0,0.10576772689819336,0.011074542999267578,0.09469318389892578,2145_1485,1.0,1.0
210,210,0,0,0.025088071823120117,0.011074542999267578,0.014013528823852539,2145_210,1.0,1.0
3003,3003,0,0,0.3411543369293213,0.011074542999267578,0.3300797939300537,2145_3003,1.0,1.0
378,378,0,0,0.03585934638977051,0.011074542999267578,0.02478480339050293,2145_378,1.0,1.0
4095,4095,0,0,0.26910972595214844,0.011074542999267578,0.25803518295288086,2145_4095,1.0,1.0
45,45,0,0,0.0171201229095459,0.011074542999267578,0.00604557991027832,2145_45,1.0,1.0
630,630,0,0,0.05117535591125488,0.011074542999267578,0.040100812911987305,2145_630,1.0,1.0
990,990,0,0,0.07581782341003418,0.011074542999267578,0.0647432804107666,2145_990,1.0,1.0
105,105,0,0,0.022157907485961914,0.014855384826660156,0.007302522659301758,3003_105,1.0,1.0
1485,1485,0,0,0.10984563827514648,0.014855384826660156,0.09499025344848633,3003_1485,1.0,1.0
210,210,0,0,0.028868913650512695,0.014855384826660156,0.014013528823852539,3003_210,1.0,1.0
2145,2145,0,0,0.7193772792816162,0.014855384826660156,0.704521894454956,3003_2145,1.0,1.0
378,378,0,0,0.03966927528381348,0.014855384826660156,0.02481389045715332,3003_378,1.0,1.0
4095,4095,0,0,0.42024970054626465,0.014855384826660156,0.4053943157196045,3003_4095,1.0,1.0
45,45,0,0,0.02090620994567871,0.014855384826660156,0.006050825119018555,3003_45,1.0,1.0
630,630,0,0,0.05463385581970215,0.014855384826660156,0.03977847099304199,3003_630,1.0,1.0
990,990,0,0,0.0802772045135498,0.014855384826660156,0.06542181968688965,3003_990,1.0,1.0
105,105,0,0,0.01068115234375,0.003157377243041992,0.007523775100708008,378_105,1.0,1.0
