CL,TP,FP,FN,T,T_T,T_P,Instances,Precision,Recall
1485,1485,0,0,0.2399120330810547,0.008280038833618164,0.23163199424743652,105_1485,1.0,1.0
210,210,0,0,0.15304231643676758,0.008280038833618164,0.14476227760314941,105_210,1.0,1.0
2145,2145,0,0,0.14210271835327148,0.008280038833618164,0.13382267951965332,105_2145,1.0,1.0
3003,3003,0,0,0.33447980880737305,0.008280038833618164,0.3261997699737549,105_3003,1.0,1.0
378,378,0,0,0.03223609924316406,0.008280038833618164,0.0239560604095459,105_378,1.0,1.0
4095,4095,0,0,0.2624082565307617,0.008280038833618164,0.25412821769714355,105_4095,1.0,1.0
45,45,0,0,0.014083623886108398,0.008280038833618164,0.005803585052490234,105_45,1.0,1.0
630,630,0,0,0.047202110290527344,0.008280038833618164,0.03892207145690918,105_630,1.0,1.0
990,990,0,0,0.07068824768066406,0.008280038833618164,0.0624082088470459,105_990,1.0,1.0
105,105,0,0,0.12207293510437012,0.11529541015625,0.006777524948120117,1485_105,1.0,1.0
210,210,0,0,0.12836623191833496,0.11529541015625,0.013070821762084961,1485_210,1.0,1.0
2145,2145,0,0,0.25043511390686035,0.11529541015625,0.13513970375061035,1485_2145,1.0,1.0
3003,3003,0,0,0.3027608394622803,0.11529541015625,0.18746542930603027,1485_3003,1.0,1.0
378,378,0,0,0.13929080963134766,0.11529541015625,0.023995399475097656,1485_378,1.0,1.0
4095,4095,0,0,0.5102460384368896,0.11529541015625,0.39495062828063965,1485_4095,1.0,1.0
45,45,0,0,0.12049531936645508,0.11529541015625,0.005199909210205078,1485_45,1.0,1.0
630,630,0,0,0.15439224243164062,0.11529541015625,0.039096832275390625,1485_630,1.0,1.0
990,990,0,0,0.17795920372009277,0.11529541015625,0.06266379356384277,1485_990,1.0,1.0
105,105,0,0,0.02301812171936035,0.016320466995239258,0.006697654724121094,210_105,1.0,1.0
1485,1485,0,0,0.10882186889648438,0.016320466995239258,0.09250140190124512,210_1485,1.0,1.0
2145,2145,0,0,0.29970765113830566,0.016320466995239258,0.2833871841430664,210_2145,1.0,1.0
3003,3003,0,0,0.2034931182861328,0.016320466995239258,0.18717265129089355,210_3003,1.0,1.0
378,378,0,0,0.04016256332397461,0.016320466995239258,0.02384209632873535,210_378,1.0,1.0
4095,4095,0,0,0.41399717330932617,0.016320466995239258,0.3976767063140869,210_4095,1.0,1.0
45,45,0,0,0.021584272384643555,0.016320466995239258,0.005263805389404297,210_45,1.0,1.0
630,630,0,0,0.055164337158203125,0.016320466995239258,0.03884387016296387,210_630,1.0,1.0
990,990,0,0,0.07899951934814453,0.016320466995239258,0.06267905235290527,210_990,1.0,1.0
105,105,0,0,0.1736447811126709,0.16690945625305176,0.006735324859619141,2145_105,1.0,1.0
1485,1485,0,0,0.25896525382995605,0.16690945625305176,0.0920557975769043,2145_1485,1.0,1.0
210,210,0,0,0.18027353286743164,0.16690945625305176,0.013364076614379883,2145_210,1.0,1.0
3003,3003,0,0,0.493027925491333,0.16690945625305176,0.32611846923828125,2145_3003,1.0,1.0
378,378,0,0,0.1909022331237793,0.16690945625305176,0.02399277687072754,2145_378,1.0,1.0
4095,4095,0,0,0.5623760223388672,0.16690945625305176,0.39546656608581543,2145_4095,1.0,1.0
45,45,0,0,0.17222976684570312,0.16690945625305176,0.005320310592651367,2145_45,1.0,1.0
630,630,0,0,0.2061762809753418,0.16690945625305176,0.03926682472229004,2145_630,1.0,1.0
990,990,0,0,0.2296152114868164,0.16690945625305176,0.06270575523376465,2145_990,1.0,1.0
105,105,0,0,0.24024558067321777,0.23328065872192383,0.006964921951293945,3003_105,1.0,1.0
1485,1485,0,0,0.3253786563873291,0.23328065872192383,0.09209799766540527,3003_1485,1.0,1.0
210,210,0,0,0.24627447128295898,0.23328065872192383,0.012993812561035156,3003_210,1.0,1.0
2145,2145,0,0,0.36684274673461914,0.23328065872192383,0.1335620880126953,3003_2145,1.0,1.0
378,378,0,0,0.2572650909423828,0.23328065872192383,0.023984432220458984,3003_378,1.0,1.0
4095,4095,0,0,0.6321578025817871,0.23328065872192383,0.3988771438598633,3003_4095,1.0,1.0
45,45,0,0,0.238661527633667,0.23328065872192383,0.005380868911743164,3003_45,1.0,1.0
630,630,0,0,0.27260446548461914,0.23328065872192383,0.03932380676269531,3003_630,1.0,1.0
