CL,TP,FP,FN,T,T_T,T_P,Instances,Precision,Recall
1214,1214,0,0,2.0503053665161133,1.4444990158081055,0.6058063507080078,1208_1214,1.0,1.0
1405,1405,0,0,1.9628753662109375,1.4444990158081055,0.518376350402832,1208_1405,1.0,1.0
1480,1480,0,0,1.8216989040374756,1.4444990158081055,0.3771998882293701,1208_1480,1.0,1.0
1926,1566,360,0,2.707746982574463,1.4444990158081055,1.2632479667663574,1208_1566,0.8130841121495327,1.0
1706,1706,0,0,2.672360897064209,1.4444990158081055,1.2278618812561035,1208_1706,1.0,1.0
2484,2016,468,0,3.4878530502319336,1.4444990158081055,2.043354034423828,1208_2016,0.8115942028985508,1.0
2315,2315,0,0,2.8410356044769287,1.4444990158081055,1.3965365886688232,1208_2315,1.0,1.0
2432,2432,0,0,3.03403902053833,1.4444990158081055,1.5895400047302246,1208_2432,1.0,1.0
624,516,108,0,1.6153607368469238,1.4444990158081055,0.17086172103881836,1208_516,0.8269230769230769,1.0
1208,1208,0,0,2.2785744667053223,2.064138412475586,0.21443605422973633,1214_1208,1.0,1.0
1405,1405,0,0,2.3456099033355713,2.064138412475586,0.28147149085998535,1214_1405,1.0,1.0
1480,1480,0,0,2.27428936958313,2.064138412475586,0.21015095710754395,1214_1480,1.0,1.0
1566,1566,0,0,2.733704090118408,2.064138412475586,0.6695656776428223,1214_1566,1.0,1.0
1706,1706,0,0,2.753009557723999,2.064138412475586,0.6888711452484131,1214_1706,1.0,1.0
2016,2016,0,0,3.0930023193359375,2.064138412475586,1.0288639068603516,1214_2016,1.0,1.0
2315,2315,0,0,2.784615993499756,2.064138412475586,0.7204775810241699,1214_2315,1.0,1.0
2432,2432,0,0,2.838834285736084,2.064138412475586,0.774695873260498,1214_2432,1.0,1.0
516,516,0,0,2.152639627456665,2.064138412475586,0.0885012149810791,1214_516,1.0,1.0
1208,1208,0,0,1.4393672943115234,1.2329027652740479,0.20646452903747559,1405_1208,1.0,1.0
1214,1214,0,0,1.6238157749176025,1.2329027652740479,0.3909130096435547,1405_1214,1.0,1.0
1480,1480,0,0,1.432615041732788,1.2329027652740479,0.19971227645874023,1405_1480,1.0,1.0
1566,1566,0,0,1.8109796047210693,1.2329027652740479,0.5780768394470215,1405_1566,1.0,1.0
1706,1706,0,0,1.9113924503326416,1.2329027652740479,0.6784896850585938,1405_1706,1.0,1.0
2016,2016,0,0,2.2498090267181396,1.2329027652740479,1.0169062614440918,1405_2016,1.0,1.0
2315,2315,0,0,1.9349994659423828,1.2329027652740479,0.702096700668335,1405_2315,1.0,1.0
2432,2432,0,0,1.9936871528625488,1.2329027652740479,0.760784387588501,1405_2432,1.0,1.0
516,516,0,0,1.3133549690246582,1.2329027652740479,0.08045220375061035,1405_516,1.0,1.0
1208,1208,0,0,1.402550458908081,1.1954469680786133,0.20710349082946777,1480_1208,1.0,1.0
1214,1214,0,0,1.5180163383483887,1.1954469680786133,0.3225693702697754,1480_1214,1.0,1.0
1405,1405,0,0,1.4779767990112305,1.1954469680786133,0.2825298309326172,1480_1405,1.0,1.0
1566,1566,0,0,1.7845957279205322,1.1954469680786133,0.589148759841919,1480_1566,1.0,1.0
1706,1706,0,0,1.8108439445495605,1.1954469680786133,0.6153969764709473,1480_1706,1.0,1.0
2016,2016,0,0,2.2253832817077637,1.1954469680786133,1.0299363136291504,1480_2016,1.0,1.0
2315,2315,0,0,1.9693410396575928,1.1954469680786133,0.7738940715789795,1480_2315,1.0,1.0
2432,2432,0,0,2.0287060737609863,1.1954469680786133,0.833259105682373,1480_2432,1.0,1.0
516,516,0,0,1.278327465057373,1.1954469680786133,0.08288049697875977,1480_516,1.0,1.0
1208,1208,0,0,3.4314467906951904,2.9540915489196777,0.4773552417755127,1566_1208,1.0,1.0
1214,1214,0,0,3.5684046745300293,2.9540915489196777,0.6143131256103516,1566_1214,1.0,1.0
1405,1405,0,0,3.4852402210235596,2.9540915489196777,0.5311486721038818,1566_1405,1.0,1.0
1480,1480,0,0,3.344752311706543,2.9540915489196777,0.39066076278686523,1566_1480,1.0,1.0
1706,1706,0,0,4.204509496688843,2.9540915489196777,1.250417947769165,1566_1706,1.0,1.0
2016,2016,0,0,4.911586284637451,2.9540915489196777,1.9574947357177734,1566_2016,1.0,1.0
2315,2315,0,0,4.357665300369263,2.9540915489196777,1.403573751449585,1566_2315,1.0,1.0
2432,2432,0,0,4.478428602218628,2.9540915489196777,1.5243370532989502,1566_2432,1.0,1.0
516,516,0,0,3.1322219371795654,2.9540915489196777,0.1781303882598877,1566_516,1.0,1.0
1208,1208,0,0,3.1009607315063477,2.8837320804595947,0.21722865104675293,1706_1208,1.0,1.0
1214,1214,0,0,3.217545747756958,2.8837320804595947,0.3338136672973633,1706_1214,1.0,1.0
1405,1405,0,0,3.2341196537017822,2.8837320804595947,0.3503875732421875,1706_1405,1.0,1.0
1480,1480,0,0,3.089796543121338,2.8837320804595947,0.20606446266174316,1706_1480,1.0,1.0
1566,1566,0,0,3.4791758060455322,2.8837320804595947,0.5954437255859375,1706_1566,1.0,1.0
2016,2016,0,0,3.8506128787994385,2.8837320804595947,0.9668807983398438,1706_2016,1.0,1.0
2315,2315,0,0,3.669548511505127,2.8837320804595947,0.7858164310455322,1706_2315,1.0,1.0
2432,2432,0,0,3.655625343322754,2.8837320804595947,0.7718932628631592,1706_2432,1.0,1.0
516,516,0,0,2.9765210151672363,2.8837320804595947,0.0927889347076416,1706_516,1.0,1.0
1208,1208,0,0,4.583333492279053,4.180560827255249,0.4027726650238037,2016_1208,1.0,1.0
1214,1214,0,0,4.788194417953491,4.180560827255249,0.6076335906982422,2016_1214,1.0,1.0
1405,1405,0,0,4.705445289611816,4.180560827255249,0.5248844623565674,2016_1405,1.0,1.0
1480,1480,0,0,4.640860557556152,4.180560827255249,0.4602997303009033,2016_1480,1.0,1.0
1566,1566,0,0,5.413367509841919,4.180560827255249,1.23280668258667,2016_1566,1.0,1.0
1706,1706,0,0,5.398659706115723,4.180560827255249,1.2180988788604736,2016_1706,1.0,1.0
2315,2315,0,0,5.57308554649353,4.180560827255249,1.3925247192382812,2016_2315,1.0,1.0
2432,2432,0,0,5.641438245773315,4.180560827255249,1.4608774185180664,2016_2432,1.0,1.0
516,516,0,0,4.354285478591919,4.180560827255249,0.17372465133666992,2016_516,1.0,1.0
1208,1208,0,0,2.7390589714050293,2.5280816555023193,0.21097731590270996,2315_1208,1.0,1.0
