CL,TP,FP,FN,T,T_T,T_P,Instances,Precision,Recall
1014,990,24,224,18.426344394683838,0.10499310493469238,18.321351289749146,1208_1214,0.9763313609467456,0.8154859967051071
1155,1155,0,250,15.390254497528076,0.10499310493469238,15.285261392593384,1208_1405,1.0,0.8220640569395018
1330,1330,0,150,11.153127193450928,0.10499310493469238,11.048134088516235,1208_1480,1.0,0.8986486486486487
1476,1386,90,180,36.0900514125824,0.10499310493469238,35.985058307647705,1208_1566,0.9390243902439024,0.8850574712643678
1474,1386,88,320,36.119202613830566,0.10499310493469238,36.014209508895874,1208_1706,0.9402985074626866,0.8124267291910903
2304,1782,522,234,59.58723258972168,0.10499310493469238,59.48223948478699,1208_2016,0.7734375,0.8839285714285714
1938,1890,48,425,41.09051179885864,0.10499310493469238,40.98551869392395,1208_2315,0.9752321981424149,0.816414686825054
2160,2160,0,272,47.268189907073975,0.10499310493469238,47.16319680213928,1208_2432,1.0,0.8881578947368421
462,462,0,54,4.074610710144043,0.10499310493469238,3.9696176052093506,1208_516,1.0,0.8953488372093024
1080,1080,0,128,13.593112230300903,0.17199158668518066,13.421120643615723,1214_1208,1.0,0.8940397350993378
1155,1155,0,250,17.50349712371826,0.17199158668518066,17.33150553703308,1214_1405,1.0,0.8220640569395018
1330,1330,0,150,12.718417167663574,0.17199158668518066,12.546425580978394,1214_1480,1.0,0.8986486486486487
1386,1386,0,180,40.989059925079346,0.17199158668518066,40.817068338394165,1214_1566,1.0,0.8850574712643678
2534,1610,924,96,41.460280656814575,0.17199158668518066,41.288289070129395,1214_1706,0.6353591160220995,0.943728018757327
1782,1782,0,234,67.39064168930054,0.17199158668518066,67.21865010261536,1214_2016,1.0,0.8839285714285714
3450,2190,1260,125,46.69424557685852,0.17199158668518066,46.52225399017334,1214_2315,0.6347826086956522,0.9460043196544277
2160,2160,0,272,54.16497206687927,0.17199158668518066,53.99298048019409,1214_2432,1.0,0.8881578947368421
462,462,0,54,4.676056146621704,0.17199158668518066,4.504064559936523,1214_516,1.0,0.8953488372093024
1272,1112,160,96,11.847439289093018,0.08662915229797363,11.760810136795044,1405_1208,0.8742138364779874,0.9205298013245033
990,990,0,224,18.371177673339844,0.08662915229797363,18.28454852104187,1405_1214,1.0,0.8154859967051071
1474,1330,144,150,11.12331509590149,0.08662915229797363,11.036685943603516,1405_1480,0.9023066485753053,0.8986486486486487
1656,1386,270,180,35.89493227005005,0.08662915229797363,35.808303117752075,1405_1566,0.8369565217391305,0.8850574712643678
1386,1386,0,320,35.925320625305176,0.08662915229797363,35.8386914730072,1405_1706,1.0,0.8124267291910903
3348,1782,1566,234,59.333348751068115,0.08662915229797363,59.24671959877014,1405_2016,0.532258064516129,0.8839285714285714
1890,1890,0,425,41.08955502510071,0.08662915229797363,41.002925872802734,1405_2315,1.0,0.816414686825054
3108,2228,880,204,47.12055325508118,0.08662915229797363,47.0339241027832,1405_2432,0.7168597168597168,0.9161184210526315
462,462,0,54,4.050356864929199,0.08662915229797363,3.9637277126312256,1405_516,1.0,0.8953488372093024
