CL,TP,FP,FN,T,T_T,T_P,Instances,Precision,Recall
1214,1214,0,0,0.6714670658111572,0.1013333797454834,0.5701336860656738,1208_1214,1.0,1.0
1405,1405,0,0,0.5312764644622803,0.1013333797454834,0.4299430847167969,1208_1405,1.0,1.0
1480,1480,0,0,0.4237399101257324,0.1013333797454834,0.322406530380249,1208_1480,1.0,1.0
1926,1566,360,0,1.0887916088104248,0.1013333797454834,0.9874582290649414,1208_1566,0.8130841121495327,1.0
1706,1706,0,0,1.0806901454925537,0.1013333797454834,0.9793567657470703,1208_1706,1.0,1.0
2484,2016,468,0,1.7435572147369385,0.1013333797454834,1.642223834991455,1208_2016,0.8115942028985508,1.0
2315,2315,0,0,1.239424228668213,0.1013333797454834,1.1380908489227295,1208_2315,1.0,1.0
2432,2432,0,0,1.465738296508789,0.1013333797454834,1.3644049167633057,1208_2432,1.0,1.0
624,516,108,0,0.23525094985961914,0.1013333797454834,0.13391757011413574,1208_516,0.8269230769230769,1.0
1208,1208,0,0,0.6466822624206543,0.17281460762023926,0.47386765480041504,1214_1208,1.0,1.0
1405,1405,0,0,0.7516763210296631,0.17281460762023926,0.5788617134094238,1214_1405,1.0,1.0
1480,1480,0,0,0.5624289512634277,0.17281460762023926,0.3896143436431885,1214_1480,1.0,1.0
1926,1566,360,0,1.3061800003051758,0.17281460762023926,1.1333653926849365,1214_1566,0.8130841121495327,1.0
1706,1706,0,0,1.3072664737701416,0.17281460762023926,1.1344518661499023,1214_1706,1.0,1.0
2484,2016,468,0,2.0959737300872803,0.17281460762023926,1.923159122467041,1214_2016,0.8115942028985508,1.0
2315,2315,0,0,1.545384407043457,0.17281460762023926,1.3725697994232178,1214_2315,1.0,1.0
2432,2432,0,0,1.7811133861541748,0.17281460762023926,1.6082987785339355,1214_2432,1.0,1.0
624,516,108,0,0.3186345100402832,0.17281460762023926,0.14581990242004395,1214_516,0.8269230769230769,1.0
1208,1208,0,0,0.5533087253570557,0.08235573768615723,0.47095298767089844,1405_1208,1.0,1.0
1214,1214,0,0,0.6818215847015381,0.08235573768615723,0.5994658470153809,1405_1214,1.0,1.0
1480,1480,0,0,0.47706127166748047,0.08235573768615723,0.39470553398132324,1405_1480,1.0,1.0
1926,1566,360,0,1.2343194484710693,0.08235573768615723,1.151963710784912,1405_1566,0.8130841121495327,1.0
1706,1706,0,0,1.2858350276947021,0.08235573768615723,1.203479290008545,1405_1706,1.0,1.0
2484,2016,468,0,2.0759642124176025,0.08235573768615723,1.9936084747314453,1405_2016,0.8115942028985508,1.0
2315,2315,0,0,1.4669725894927979,0.08235573768615723,1.3846168518066406,1405_2315,1.0,1.0
2432,2432,0,0,1.5731279850006104,0.08235573768615723,1.4907722473144531,1405_2432,1.0,1.0
624,516,108,0,0.22832584381103516,0.08235573768615723,0.14597010612487793,1405_516,0.8269230769230769,1.0
1208,1208,0,0,0.38712167739868164,0.07241177558898926,0.3147099018096924,1480_1208,1.0,1.0
1214,1214,0,0,0.6363208293914795,0.07241177558898926,0.5639090538024902,1480_1214,1.0,1.0
1405,1405,0,0,0.498854398727417,0.07241177558898926,0.42644262313842773,1480_1405,1.0,1.0
1926,1566,360,0,1.10252046585083,0.07241177558898926,1.0301086902618408,1480_1566,0.8130841121495327,1.0
1706,1706,0,0,1.13326096534729,0.07241177558898926,1.0608491897583008,1480_1706,1.0,1.0
2484,2016,468,0,1.8345704078674316,0.07241177558898926,1.7621586322784424,1480_2016,0.8115942028985508,1.0
2315,2315,0,0,1.1933062076568604,0.07241177558898926,1.120894432067871,1480_2315,1.0,1.0
2432,2432,0,0,1.3209798336029053,0.07241177558898926,1.248568058013916,1480_2432,1.0,1.0
624,516,108,0,0.19533991813659668,0.07241177558898926,0.12292814254760742,1480_516,0.8269230769230769,1.0
1208,1208,0,0,0.9583554267883301,0.33624720573425293,0.6221082210540771,1566_1208,1.0,1.0
1214,1214,0,0,1.3268413543701172,0.33624720573425293,0.9905941486358643,1566_1214,1.0,1.0
1405,1405,0,0,1.2015106678009033,0.33624720573425293,0.8652634620666504,1566_1405,1.0,1.0
1480,1480,0,0,0.9329140186309814,0.33624720573425293,0.5966668128967285,1566_1480,1.0,1.0
1706,1706,0,0,2.163287878036499,0.33624720573425293,1.827040672302246,1566_1706,1.0,1.0
2016,2016,0,0,3.237294912338257,0.33624720573425293,2.901047706604004,1566_2016,1.0,1.0
2315,2315,0,0,2.414315938949585,0.33624720573425293,2.078068733215332,1566_2315,1.0,1.0
2432,2432,0,0,2.6881494522094727,0.33624720573425293,2.3519022464752197,1566_2432,1.0,1.0
516,516,0,0,0.5670216083526611,0.33624720573425293,0.2307744026184082,1566_516,1.0,1.0
1208,1208,0,0,0.7386159896850586,0.3369479179382324,0.40166807174682617,1706_1208,1.0,1.0
1214,1214,0,0,0.9429776668548584,0.3369479179382324,0.606029748916626,1706_1214,1.0,1.0
1405,1405,0,0,0.8615736961364746,0.3369479179382324,0.5246257781982422,1706_1405,1.0,1.0
1480,1480,0,0,0.8015038967132568,0.3369479179382324,0.4645559787750244,1706_1480,1.0,1.0
1926,1566,360,0,1.4964189529418945,0.3369479179382324,1.159471035003662,1706_1566,0.8130841121495327,1.0
2484,2016,468,0,2.290861129760742,0.3369479179382324,1.9539132118225098,1706_2016,0.8115942028985508,1.0
2315,2315,0,0,1.7316887378692627,0.3369479179382324,1.3947408199310303,1706_2315,1.0,1.0
2432,2432,0,0,1.9400355815887451,0.3369479179382324,1.6030876636505127,1706_2432,1.0,1.0
624,516,108,0,0.5613291263580322,0.3369479179382324,0.2243812084197998,1706_516,0.8269230769230769,1.0
1208,1208,0,0,1.2451300621032715,0.5444159507751465,0.700714111328125,2016_1208,1.0,1.0
1214,1214,0,0,1.5578789710998535,0.5444159507751465,1.013463020324707,2016_1214,1.0,1.0
1405,1405,0,0,1.339501142501831,0.5444159507751465,0.7950851917266846,2016_1405,1.0,1.0
1480,1480,0,0,1.1658966541290283,0.5444159507751465,0.6214807033538818,2016_1480,1.0,1.0
1566,1566,0,0,2.3681588172912598,0.5444159507751465,1.8237428665161133,2016_1566,1.0,1.0
1706,1706,0,0,2.3722121715545654,0.5444159507751465,1.827796220779419,2016_1706,1.0,1.0
2315,2315,0,0,2.631589412689209,0.5444159507751465,2.0871734619140625,2016_2315,1.0,1.0
2432,2432,0,0,2.8943448066711426,0.5444159507751465,2.349928855895996,2016_2432,1.0,1.0
516,516,0,0,0.7798283100128174,0.5444159507751465,0.2354123592376709,2016_516,1.0,1.0
1208,1208,0,0,0.6877503395080566,0.27703356742858887,0.4107167720794678,2315_1208,1.0,1.0
1214,1214,0,0,0.9542160034179688,0.27703356742858887,0.6771824359893799,2315_1214,1.0,1.0
1405,1405,0,0,0.7974731922149658,0.27703356742858887,0.520439624786377,2315_1405,1.0,1.0
1480,1480,0,0,0.6855943202972412,0.27703356742858887,0.40856075286865234,2315_1480,1.0,1.0
1926,1566,360,0,1.51115083694458,0.27703356742858887,1.2341172695159912,2315_1566,0.8130841121495327,1.0
1706,1706,0,0,1.432006597518921,0.27703356742858887,1.154973030090332,2315_1706,1.0,1.0
2484,2016,468,0,2.240696668624878,0.27703356742858887,1.963663101196289,2315_2016,0.8115942028985508,1.0
2432,2432,0,0,1.8707692623138428,0.27703356742858887,1.593735694885254,2315_2432,1.0,1.0
624,516,108,0,0.42586684226989746,0.27703356742858887,0.1488332748413086,2315_516,0.8269230769230769,1.0
1208,1208,0,0,0.7337846755981445,0.39295411109924316,0.34083056449890137,2432_1208,1.0,1.0
1214,1214,0,0,0.9074115753173828,0.39295411109924316,0.5144574642181396,2432_1214,1.0,1.0
1405,1405,0,0,0.8392148017883301,0.39295411109924316,0.4462606906890869,2432_1405,1.0,1.0
1480,1480,0,0,0.7204663753509521,0.39295411109924316,0.327512264251709,2432_1480,1.0,1.0
